book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
leviticus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.027868091035764042,0.0008344945037931572,0.027033596531970884,33.39517625231908,0.019068839763954362,1.4176843933143863,0.08982035928143713,0.9121756487025948,0.17964071856287425
leviticus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.04802820748409009,0.0001537084775922836,0.04787449900649781,312.4629703996312,0.023393508107136047,2.046486520416063,0.02594810379241517,0.9760479041916168,0.05189620758483034
leviticus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.00973652907385908,-0.00045956166754823337,0.010196090741407312,-21.1865561499147,0.016407442362785577,0.6214308431479547,0.24151696606786427,0.7604790419161677,0.48303393213572854
leviticus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0030635498249924455,0.0016789631355460283,0.0013845866894464172,1.8246677131455453,0.00114327518806556,1.2110703563760183,0.10379241516966067,0.8982035928143712,0.20758483033932135
leviticus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.05004443275733933,0.03902604453952022,0.011018388217819107,1.2823342295594726,0.014467528532998845,0.7615943658025193,0.21956087824351297,0.782435129740519,0.43912175648702595
leviticus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.027868091035764042,0.00032094751509521515,0.027547143520668827,86.83068017366156,0.018894590822568,1.457938082880635,0.07784431137724551,0.9241516966067864,0.15568862275449102
leviticus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.04802820748409009,0.00016781796633248046,0.04786038951775761,286.1922864023793,0.02213425724196175,2.1622767366697397,0.021956087824351298,0.9800399201596807,0.043912175648702596
leviticus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.00973652907385908,0.012568624536943587,-0.002832095463084508,0.7746694194929614,0.015694972479870516,-0.18044602924387368,0.5528942115768463,0.4491017964071856,0.8982035928143712
leviticus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0030635498249924455,0.0030287069269968768,3.4842897995568736e-05,1.0115042157710905,0.0017606470414914986,0.019789825657533403,0.4171656686626746,0.5848303393213573,0.8343313373253493
leviticus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.05004443275733933,0.050868820838544875,-0.0008243880812055446,0.9837938433088097,0.015748287381465685,-0.0523477925717672,0.5109780439121756,0.49101796407185627,0.9820359281437125
leviticus,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.02585539557206995,0.0011215358414615264,0.024733859730608425,23.053561568194343,0.012644567037318184,1.9560859345844623,0.02594810379241517,0.9760479041916168,0.05189620758483034
leviticus,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.03313341595052701,0.00043507295936545725,0.032698342991161554,76.15599921183622,0.01592864352344671,2.0528014794875733,0.01996007984031936,0.9820359281437125,0.03992015968063872
