book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.3298682409308693,-0.0005322553045858922,0.3304004962354552,-619.7556662916022,0.03571280926790379,9.251596360199992,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.29113975675541126,-0.000191888841509826,0.2913316455969211,-1517.2313015423722,0.045889225896324215,6.348584878182858,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.05395775041506368,-0.0011047855070004972,0.05506253592206417,-48.84002376312798,0.030578068344655433,1.800719891833463,0.03792415169660679,0.9640718562874252,0.07584830339321358
genesis,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.012453997520574312,0.0005370520209782245,0.011916945499596088,23.189555264850735,0.0004040695625111897,29.492311733492862,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.4227197730443444,0.08005874269040154,0.34266103035394285,5.280120057331669,0.03117371472962644,10.991985822860226,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.3298682409308693,2.6437371663239784e-05,0.32984180355920606,12477.34627831931,0.03564534943118052,9.253431620751044,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.29113975675541126,-0.001262291112512214,0.29240204786792345,-230.64390921360794,0.044701000088664705,6.541286487728288,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.05395775041506368,0.004888998281121939,0.04906875213394174,11.036565634193948,0.030749808482456453,1.5957417153325266,0.05788423153692615,0.9441117764471058,0.1157684630738523
genesis,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.012453997520574312,0.00045566134685739773,0.011998336173716914,27.331696239909228,0.0003473490021661706,34.542595772239906,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.4227197730443444,0.07264549362698623,0.35007427941735814,5.81894005999724,0.028705396472875105,12.195416974928653,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.06254277891854898,-0.00040113791923340037,0.06294391683778237,-155.9134051402374,0.010588831225484829,5.944368693524093,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.04630180168367948,-0.0006827407324852952,0.04698454241616477,-67.81754695539088,0.01360893602655005,3.452477278495639,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.002197520043862422,-0.0006682798906518182,-0.0015292401532106038,3.288322863821375,0.008706931451215831,-0.17563479875531368,0.5528942115768463,0.4491017964071856,0.8982035928143712
genesis,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.004046842770901334,0.0002359388453050964,0.0038109039255962377,17.152083480226818,0.00017509955148025568,21.764212948460678,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.10314289238222041,0.02261304679797546,0.08052984558424495,4.5612116449276865,0.008841024174321097,9.10865573902006,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.06254277891854898,0.00030792265571526325,0.06223485626283372,203.11197554876387,0.010664240317296686,5.8358452558400185,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.04630180168367948,0.0001599493075753402,0.04614185237610414,289.4779751507843,0.013089869066108996,3.52500488301828,0.003992015968063872,0.998003992015968,0.007984031936127744
genesis,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.002197520043862422,6.737260696953551e-05,-0.0022648926508319575,-32.61741147787401,0.008768084694317772,-0.2583109914870849,0.6227544910179641,0.37924151696606784,0.7584830339321357
genesis,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.004046842770901334,0.0001992712479486886,0.0038475715229526457,20.308212110677285,0.00014603269812319645,26.347328868133,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.10314289238222041,0.020671893127306377,0.08247099925491402,4.989523298472098,0.007952162166781613,10.370890020253643,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.20488360931125515,0.0013122750179985609,0.2035713342932566,156.12856032551542,0.04126539181478362,4.9332218922570785,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.12562791130555717,0.0006894117701353149,0.12493849953542185,182.22478458831569,0.04919691479656254,2.5395596462108125,0.005988023952095809,0.9960079840319361,0.011976047904191617
genesis,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.08786546924295213,0.0012109027313368177,0.08665456651161531,72.5619547871942,0.033455689914456875,2.590129413955685,0.007984031936127744,0.9940119760479041,0.015968063872255488
genesis,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.004418423373673117,0.0004324411420942529,0.0039859822315788645,10.21739826205088,0.0002945323738422606,13.533256733650584,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.25157456634238473,0.07182573410269912,0.17974883223968563,3.5025686752142904,0.026048786174256863,6.900468645150358,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.20488360931125515,-0.002815934725221975,0.20769954403647714,-72.75865007670039,0.03965471244877866,5.237701428418103,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.12562791130555717,-0.002020991705278955,0.12764890301083612,-62.161517524989996,0.04543555974836481,2.8094493325886694,0.003992015968063872,0.998003992015968,0.007984031936127744
genesis,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.08786546924295213,0.0011421175236116432,0.0867233517193405,76.93207347445377,0.03191851866782939,2.717023074343008,0.003992015968063872,0.998003992015968,0.007984031936127744
genesis,major,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.004418423373673117,0.0004043335489854253,0.004014089824687692,10.92766945696209,0.00028424004208839224,14.12218276916593,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.25157456634238473,0.06935713484911928,0.18221743149326547,3.6272341250783273,0.025508250444723737,7.143470379833765,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.024808015358771196,0.00019006479481641225,0.024617950563954785,130.52398989899103,0.011952684000444545,2.059616949886669,0.01996007984031936,0.9820359281437125,0.03992015968063872
genesis,major,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.0042417760425319,4.3982173733790856e-05,0.004197793868798109,96.44307414649235,0.013648827322223266,0.3075571087314722,0.3592814371257485,0.6427145708582834,0.718562874251497
genesis,major,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.0024616443696724444,0.0002947909066300907,0.002166853463042354,8.350475928219058,0.00977224105664002,0.22173557226876073,0.405189620758483,0.5968063872255489,0.810379241516966
genesis,major,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0010753452844570635,0.00019885771849039344,0.00087648756596667,5.4076114953969565,0.00013662573088847767,6.415245212353983,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.05595706189658667,0.0206580272822668,0.035299034614319866,2.708732113284658,0.00754975159933876,4.675522651289813,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.024808015358771196,-0.00034401247900167896,0.025152027837772876,-72.1137077084059,0.011479019399463778,2.191130353778112,0.007984031936127744,0.9940119760479041,0.015968063872255488
genesis,major,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.0042417760425319,0.0002050972076080068,0.004036678834923893,20.681783491850453,0.013415783327074752,0.30089028247626537,0.3812375249500998,0.6207584830339321,0.7624750499001997
genesis,major,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.0024616443696724444,-0.00034295441721828544,0.00280459878689073,-7.177759626596802,0.009066768857221982,0.30932726212125433,0.3972055888223553,0.6047904191616766,0.7944111776447106
