book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
numbers,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.17025934658134045,0.0020830807230268348,0.1681762658583136,81.73439689554802,0.048935234317738045,3.436711159209737,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.07589660148330113,0.002512782149051786,0.07338381933424934,30.204210704036235,0.05869111965448211,1.2503394000023167,0.10379241516966067,0.8982035928143712,0.20758483033932135
numbers,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.003118338549873201,0.0013398445224199712,-0.004458183072293172,-2.327388363122154,0.04146986288803598,-0.1075041671666427,0.5329341317365269,0.469061876247505,0.93812375249501
numbers,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0052662581341355865,0.0005649275998537915,0.004701330534281795,9.3220053959101,0.00039430806922533993,11.922988397163817,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.32683982616260043,0.10191376464617777,0.22492606151642267,3.2070233819476357,0.03797895073001544,5.922387459184321,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.17025934658134045,0.0013988997417761437,0.1688604468395643,121.70947030497479,0.049370071087531824,3.4202998521144363,0.003992015968063872,0.998003992015968,0.007984031936127744
numbers,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.07589660148330113,0.002097429153540851,0.07379917232976028,36.18553759261596,0.060644365005707794,1.2169172242600672,0.10778443113772455,0.8942115768463074,0.2155688622754491
numbers,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.003118338549873201,-0.0072105034094708444,0.004092164859597644,0.43247168370759365,0.04087458870816109,0.10011513238249649,0.46506986027944114,0.5369261477045908,0.9301397205588823
numbers,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0052662581341355865,0.0004829804514570069,0.004783277682678579,10.903667256612287,0.000352906031550902,13.553969768262958,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.32683982616260043,0.09394049532227253,0.2328993308403279,3.4792218738185574,0.03549270364256547,6.561893204467463,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.08319299427416649,-5.377792747277277e-05,0.08324677220163926,-1546.9728601253048,0.012121551270149173,6.867666550785854,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.07065957181427346,-0.00026857293638542787,0.07092814475065888,-263.092673317129,0.014852297244116873,4.775567279920563,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.0255794832175813,-0.00023528612775897795,0.02581476934534028,-108.71649536340014,0.01026610813056127,2.5145623849891137,0.005988023952095809,0.9960079840319361,0.011976047904191617
numbers,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.003203590011469162,0.00021641134438655008,0.002987178667082612,14.803244351862473,0.00014777115181290328,20.214897362813772,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.10452664319764782,0.024057581717995494,0.08046906147965233,4.344852463681337,0.00875997642280869,9.185990646062917,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.08319299427416649,0.00016851914224766995,0.08302447513191882,493.6708860759512,0.011516085762154184,7.20943529308941,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.07065957181427346,0.0007022758267396502,0.06995729598753381,100.61512745257653,0.013936597557305254,5.019682580334233,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.0255794832175813,0.002543531294865086,0.023035951922716215,10.056681146098533,0.009512539151596399,2.4216406950451614,0.011976047904191617,0.9900199600798403,0.023952095808383235
numbers,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.003203590011469162,0.0002590450532353036,0.0029445449582338585,12.366922168396632,0.00017259410685075075,17.060518530798554,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.10452664319764782,0.026506890166566117,0.0780197530310817,3.9433763274686293,0.009229576906968092,8.453231802226904,0.001996007984031936,1.0,0.003992015968063872
numbers,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.16825252982933092,-0.002536399335447835,0.17078892916477875,-66.3351892101106,0.053841140829198116,3.1720897167944053,0.001996007984031936,1.0,0.003992015968063872
numbers,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.131398769887176,-0.0019326393932930942,0.1333314092804691,-67.98928467626901,0.05892090116543679,2.262888154173069,0.011976047904191617,0.9900199600798403,0.023952095808383235
numbers,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.011847093948821996,-0.002725060011402331,-0.009122033937419664,4.347461670293791,0.042384228630435714,-0.2152223653038059,0.5808383233532934,0.42115768463073855,0.8423153692614771
numbers,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.003683426351417665,0.0004596645157256004,0.0032237618356920645,8.013292793774209,0.0003325814936248454,9.693148589104881,0.001996007984031936,1.0,0.003992015968063872
numbers,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.29352702177840717,0.09175264900664387,0.2017743727717633,3.1991122322490404,0.03460945394135985,5.830036299146398,0.001996007984031936,1.0,0.003992015968063872
numbers,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.16825252982933092,0.004677012535870706,0.1635755172934602,35.97435938837137,0.052760864766085595,3.1003191099817924,0.003992015968063872,0.998003992015968,0.007984031936127744
numbers,major,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.131398769887176,0.004088256209044972,0.12731051367813104,32.14054187613431,0.05855474508633733,2.1742134389008996,0.017964071856287425,0.9840319361277445,0.03592814371257485
numbers,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.011847093948821996,0.019305152135840296,-0.031152246084662293,-0.6136752440726791,0.04274265131254258,-0.7288327964699945,0.7644710578842315,0.2375249500998004,0.4750499001996008
numbers,major,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.003683426351417665,0.0005988255708224472,0.0030846007805952176,6.151083939783538,0.00040877919889265333,7.545884890794659,0.001996007984031936,1.0,0.003992015968063872
numbers,major,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.29352702177840717,0.10586538972657548,0.18766163205183167,2.7726438502377024,0.03776311016641287,4.969443227129661,0.001996007984031936,1.0,0.003992015968063872
numbers,major,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.08835523334843687,-0.000635478024467599,0.08899071137290447,-139.03743315508123,0.013121350046340295,6.78213073034547,0.001996007984031936,1.0,0.003992015968063872
numbers,major,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.07445881252414188,-0.0004452213361089602,0.07490403386025084,-167.23999162951026,0.01498483034788119,4.998657450322222,0.001996007984031936,1.0,0.003992015968063872
numbers,major,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.016914761816517965,-0.0006120187249714535,0.017526780541489418,-27.637654088617833,0.010567122242992208,1.6586143453684983,0.0499001996007984,0.9520958083832335,0.0998003992015968
numbers,major,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.004225492464792753,0.00019544933510804485,0.004030043129684708,21.619374977443083,0.00014739822013553502,27.34119262755696,0.001996007984031936,1.0,0.003992015968063872
numbers,major,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.120206785696228,0.022565269931291307,0.0976415157649367,5.327070585117929,0.008641689843906683,11.298891481714588,0.001996007984031936,1.0,0.003992015968063872
numbers,major,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.08835523334843687,0.0004633741126718023,0.08789185923576506,190.6779661016949,0.013240104769456367,6.638305418739814,0.001996007984031936,1.0,0.003992015968063872
numbers,major,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.07445881252414188,0.00020189544311287452,0.07425691708102901,368.7988761713353,0.014611855219300503,5.08196364982761,0.001996007984031936,1.0,0.003992015968063872
numbers,major,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.016914761816517965,0.0019125226274158385,0.015002239189102127,8.844215265245172,0.010797544881631971,1.3894120703886017,0.09381237524950099,0.908183632734531,0.18762475049900199
numbers,major,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.004225492464792753,0.00020998034766733223,0.004015512117125421,20.123275876688794,0.00014652031078175528,27.4058394750923,0.001996007984031936,1.0,0.003992015968063872
numbers,major,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.120206785696228,0.02382141552753632,0.09638537016869168,5.046164681409264,0.008731610558334142,11.038670303119948,0.001996007984031936,1.0,0.003992015968063872
numbers,verse,mean_count,exploratory,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,-0.20905059989567065,-0.0023425143453312354,-0.20670808555033943,89.24197211953917,0.05445531652358043,-3.79592111012393,1.0,0.001996007984031936,0.003992015968063872
numbers,verse,mean_count,exploratory,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,-0.23676640334852606,-0.002275462552502544,-0.2344909407960235,104.05198850147254,0.06095235715056778,-3.847118499728754,1.0,0.001996007984031936,0.003992015968063872
