book,level,coordinate_mode,aggregation,value_mode,equivalence_profile,eligible_segments,bin,normalized_position_midpoint,distance_to_cadence,mean_count,active_rate,n_contributions,n_segments_contributing,n_tokens
leviticus,minor,normalized,segment,raw,STRICT,2152,1,0.1,,0.06412639405204461,0.05157992565055762,2152,2152,2217
leviticus,minor,normalized,segment,raw,STRICT,2152,2,0.3,,0.06337412587412587,0.051573426573426576,1144,1144,1242
leviticus,minor,normalized,segment,raw,STRICT,2152,3,0.5,,0.052564102564102565,0.04455128205128205,1560,1560,1735
leviticus,minor,normalized,segment,raw,STRICT,2152,4,0.7,,0.06381118881118882,0.050699300699300696,1144,1144,1242
leviticus,minor,normalized,segment,raw,STRICT,2152,5,0.9,,0.05607187112763321,0.047785006195786864,2152,2152,2217
leviticus,major,normalized,segment,raw,STRICT,1564,1,0.1,,0.055786445012787726,0.046941602728047746,1564,1564,2108
leviticus,major,normalized,segment,raw,STRICT,1564,2,0.3,,0.07399158624102946,0.05753526354862658,1347,1347,1953
leviticus,major,normalized,segment,raw,STRICT,1564,3,0.5,,0.04954780361757106,0.0439922480620155,1290,1290,1991
leviticus,major,normalized,segment,raw,STRICT,1564,4,0.7,,0.0736822568671121,0.05685473892600841,1347,1347,1953
leviticus,major,normalized,segment,raw,STRICT,1564,5,0.9,,0.0538150042625746,0.046142369991474856,1564,1564,2108
leviticus,verse,normalized,segment,raw,STRICT,855,1,0.1,,0.05421052631578947,0.04348927875243664,855,855,2072
leviticus,verse,normalized,segment,raw,STRICT,855,2,0.3,,0.051001177856301524,0.04399293286219082,849,849,2057
leviticus,verse,normalized,segment,raw,STRICT,855,3,0.5,,0.06890637610976594,0.0566182405165456,826,826,2054
leviticus,verse,normalized,segment,raw,STRICT,855,4,0.7,,0.08034943070278759,0.06450726344719278,849,849,2057
leviticus,verse,normalized,segment,raw,STRICT,855,5,0.9,,0.05799220272904484,0.04846003898635477,855,855,2072
