book,level,coordinate_mode,aggregation,value_mode,equivalence_profile,eligible_segments,bin,normalized_position_midpoint,distance_to_cadence,mean_count,active_rate,n_contributions,n_segments_contributing,n_tokens
leviticus,minor,distance,segment,raw,STRICT,2152,1,,7,0.6190476190476191,0.31746031746031744,63,63,63
leviticus,minor,distance,segment,raw,STRICT,2152,2,,6,0.5658914728682171,0.32558139534883723,129,129,129
leviticus,minor,distance,segment,raw,STRICT,2152,3,,5,0.5833333333333334,0.36904761904761907,252,252,252
leviticus,minor,distance,segment,raw,STRICT,2152,4,,4,0.6358695652173914,0.37681159420289856,552,552,552
leviticus,minor,distance,segment,raw,STRICT,2152,5,,3,0.5979020979020979,0.38636363636363635,1144,1144,1144
leviticus,minor,distance,segment,raw,STRICT,2152,6,,2,0.7072490706319703,0.4200743494423792,2152,2152,2152
leviticus,minor,distance,segment,raw,STRICT,2152,7,,1,0.7179368029739777,0.4247211895910781,2152,2152,2152
leviticus,minor,distance,segment,raw,STRICT,2152,8,,0,0.7137546468401487,0.4242565055762082,2152,2152,2152
leviticus,major,distance,segment,raw,STRICT,1564,1,,7,0.6659340659340659,0.4087912087912088,455,455,455
leviticus,major,distance,segment,raw,STRICT,1564,2,,6,0.7096774193548387,0.41451612903225804,620,620,620
leviticus,major,distance,segment,raw,STRICT,1564,3,,5,0.6823104693140795,0.4055354993983153,831,831,831
leviticus,major,distance,segment,raw,STRICT,1564,4,,4,0.6868592730661697,0.39701770736253494,1073,1073,1073
leviticus,major,distance,segment,raw,STRICT,1564,5,,3,0.6852264291017075,0.40905716406829995,1347,1347,1347
leviticus,major,distance,segment,raw,STRICT,1564,6,,2,0.7257033248081841,0.41815856777493604,1564,1564,1564
leviticus,major,distance,segment,raw,STRICT,1564,7,,1,0.7320971867007673,0.4424552429667519,1564,1564,1564
leviticus,major,distance,segment,raw,STRICT,1564,8,,0,0.7448849104859335,0.4367007672634271,1564,1564,1564
leviticus,verse,distance,segment,raw,STRICT,855,1,,7,0.7414030261348006,0.41815680880330125,727,727,727
leviticus,verse,distance,segment,raw,STRICT,855,2,,6,0.6962190352020861,0.39113428943937417,767,767,767
leviticus,verse,distance,segment,raw,STRICT,855,3,,5,0.6856435643564357,0.4207920792079208,808,808,808
leviticus,verse,distance,segment,raw,STRICT,855,4,,4,0.7658536585365854,0.4304878048780488,820,820,820
leviticus,verse,distance,segment,raw,STRICT,855,5,,3,0.7667844522968198,0.44051825677267376,849,849,849
leviticus,verse,distance,segment,raw,STRICT,855,6,,2,0.7368421052631579,0.41754385964912283,855,855,855
leviticus,verse,distance,segment,raw,STRICT,855,7,,1,0.6970760233918128,0.43859649122807015,855,855,855
leviticus,verse,distance,segment,raw,STRICT,855,8,,0,0.7204678362573099,0.4327485380116959,855,855,855
