book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
deuteronomy,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.0704119850187267,-0.0016127340823970033,0.0720247191011237,-43.66000928936376,0.04186059128759601,1.720585325856728,0.03992015968063872,0.9620758483033932,0.07984031936127745
deuteronomy,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.0735854106698971,-0.001731016311213359,0.07531642698111046,-42.50994643621658,0.04502542799454184,1.672753160508338,0.059880239520958084,0.9421157684630739,0.11976047904191617
deuteronomy,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.00447213939665736,-0.0011242415674056852,0.005596380964063044,-3.9779167808012366,0.03267901438180487,0.1712530524537183,0.4311377245508982,0.5708582834331337,0.8622754491017964
deuteronomy,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0028382607296483678,0.0013916395282361183,0.0014466212014122494,2.0395085595519262,0.0009625138716400499,1.5029614055819454,0.09780439121756487,0.9041916167664671,0.19560878243512975
deuteronomy,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.10033476859688784,0.06698139373853,0.033353374858357834,1.4979498484094969,0.02493259442068618,1.337741844895414,0.10578842315369262,0.8962075848303394,0.21157684630738524
deuteronomy,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.0704119850187267,-0.0018509363295880136,0.0722629213483147,-38.04127883448005,0.038526702227116544,1.8756581064821412,0.031936127744510975,0.9700598802395209,0.06387225548902195
deuteronomy,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.0735854106698971,-0.0003046125577449522,0.07389002322764206,-241.57050915645152,0.04067179624067562,1.8167386262066558,0.04590818363273453,0.9560878243512974,0.09181636726546906
deuteronomy,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.00447213939665736,0.00926712952267224,-0.00479499012601488,0.4825808666768033,0.02904813171111935,-0.1650705172263937,0.5708582834331337,0.4311377245508982,0.8622754491017964
deuteronomy,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0028382607296483678,0.001152544418997984,0.0016857163106503838,2.462604202375069,0.0008233743774098351,2.047326655892909,0.041916167664670656,0.9600798403193613,0.08383233532934131
deuteronomy,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.10033476859688784,0.05775162958088715,0.042583139016000686,1.7373495661513514,0.022399228474905872,1.9010984714811536,0.043912175648702596,0.9580838323353293,0.08782435129740519
deuteronomy,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.019101123595505642,-0.00046591760299625275,0.019567041198501896,-40.99678456591662,0.019094647003633083,1.024739613923155,0.14171656686626746,0.8602794411177644,0.2834331337325349
deuteronomy,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.020255096559567615,-0.0003730227793892631,0.020628119338956877,-54.299891799451395,0.02097619651447706,0.9834060872150987,0.15568862275449102,0.846307385229541,0.31137724550898205
deuteronomy,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.0011005152784535066,-0.0007857727242861557,-0.0003147425541673509,1.4005516410018972,0.01446034370713461,-0.02176591100058428,0.5149700598802395,0.4870259481037924,0.9740518962075848
deuteronomy,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0008028146051798746,0.0007894603585610356,1.3354246618838992e-05,1.016915664572671,0.0005490744209845958,0.02432137813830822,0.40718562874251496,0.5948103792415169,0.8143712574850299
deuteronomy,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.03431718945857615,0.029372408408608455,0.004944781049967692,1.1683478242975294,0.010852982876732361,0.45561493150134563,0.31137724550898205,0.6906187624750499,0.6227544910179641
deuteronomy,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.019101123595505642,-0.0010988764044943813,0.020200000000000023,-17.382413087934594,0.018219754084608762,1.1086867531908176,0.12375249500998003,0.8782435129740519,0.24750499001996007
deuteronomy,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.020255096559567615,-0.00027700037416137827,0.020532096933728993,-73.122993500966,0.019264966865863997,1.0657737994925,0.14770459081836326,0.8542914171656687,0.2954091816367265
deuteronomy,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.0011005152784535066,0.005883510965220047,-0.0069840262436735535,-0.18705077375722146,0.013608193245380162,-0.513222153576086,0.7025948103792415,0.2994011976047904,0.5988023952095808
deuteronomy,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0008028146051798746,0.0008345687140339606,-3.175410885408595e-05,0.9619514746717502,0.0005673576763523415,-0.055968413185558015,0.4231536926147705,0.5788423153692615,0.846307385229541
deuteronomy,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.03431718945857615,0.03014536914697015,0.004171820311605998,1.1383900887485168,0.010410254582956661,0.4007414303235167,0.32934131736526945,0.6726546906187625,0.6586826347305389
deuteronomy,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.03833872707659114,0.0006810571736785302,0.03765766990291261,56.292964171445064,0.03453586171494865,1.0903932328004633,0.13972055888223553,0.8622754491017964,0.27944111776447106
deuteronomy,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.024818649356383893,0.0023507247039030546,0.022467924652480837,10.557871500297736,0.038983385053590655,0.5763461695692682,0.2774451097804391,0.7245508982035929,0.5548902195608783
deuteronomy,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.016823784303295453,0.0008500630829550959,-0.01767384738625055,-19.791218605577487,0.027130192608134568,-0.6514457026357903,0.7465069860279441,0.2554890219560878,0.5109780439121756
deuteronomy,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0023064613767249656,0.0010296712939941808,0.0012767900827307848,2.2399977450842683,0.0007185112225616213,1.7769939322294777,0.059880239520958084,0.9421157684630739,0.11976047904191617
