book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
leviticus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.11960955710955723,-0.002511072261072256,0.12212062937062948,-47.63286145277341,0.04316336742758393,2.829265570521433,0.001996007984031936,1.0,0.003992015968063872
leviticus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.13969502719502735,-0.002653807303807298,0.14234883449883465,-52.639476496508685,0.046900720053096256,3.035109788030582,0.001996007984031936,1.0,0.003992015968063872
leviticus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.048390473731113604,-0.0012397204132097404,0.04963019414432335,-39.03337657063063,0.03511791487684738,1.4132443317995413,0.06986027944111776,0.9321357285429142,0.13972055888223553
leviticus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0053627757572084775,0.0015682019077623306,0.003794573849446147,3.419697253691414,0.0011539841319372242,3.2882374587561216,0.015968063872255488,0.9860279441117764,0.031936127744510975
leviticus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.1356546231546233,0.072329996648954,0.0633246265056693,1.8754960519770059,0.027322454120979184,2.3176771100164943,0.017964071856287425,0.9840319361277445,0.03592814371257485
leviticus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.11960955710955723,-0.00046765734265733893,0.12007721445221457,-255.7632398753917,0.03969902158449423,3.024689517766723,0.003992015968063872,0.998003992015968,0.007984031936127744
leviticus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.13969502719502735,-0.0006012043512043517,0.14029623154623172,-232.35864297253644,0.04422308296377253,3.1724661001396517,0.003992015968063872,0.998003992015968,0.007984031936127744
leviticus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.048390473731113604,-0.02540223065507425,0.07379270438618785,-1.9049694646185458,0.030157079882699438,2.446944620408071,0.007984031936127744,0.9940119760479041,0.015968063872255488
leviticus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0053627757572084775,0.0026791434058310334,0.002683632351377444,2.0016755152175283,0.0012059021060712427,2.225414764487441,0.031936127744510975,0.9700598802395209,0.06387225548902195
leviticus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.1356546231546233,0.09301639296722235,0.04263823018740094,1.4583947928665224,0.0230314850369625,1.8513018209191547,0.033932135728542916,0.9680638722554891,0.06786427145708583
leviticus,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.05579836829836826,-0.0009160839160839188,0.056714452214452184,-60.909669211195705,0.019947404895172056,2.843199529587881,0.001996007984031936,1.0,0.003992015968063872
leviticus,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.06632187257187255,-0.0013786907536907553,0.0677005633255633,-48.104966537513135,0.02164539331865358,3.1277123186863167,0.001996007984031936,1.0,0.003992015968063872
leviticus,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.027974847361695643,-0.0006931706557002801,0.02866801801739592,-40.357806741593635,0.01571428152521073,1.8243289056138685,0.023952095808383235,0.9780439121756487,0.04790419161676647
