book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
deuteronomy,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.17315535780496843,-0.0025420837968112694,0.1756974416017797,-68.11551925320892,0.026550551189298006,6.617468705229736,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.15979705568262137,-0.0034294745583593332,0.16322653024098072,-46.59520079923514,0.03352955541700828,4.868138816960933,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.11363259072442983,-0.0018000846287773273,0.11543267535320716,-63.1262491261939,0.021852119197843217,5.282447633939332,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.013416263150755085,0.001681136737045569,0.011735126413709517,7.980471103339777,0.001203409080489902,9.751568775708593,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.17315535780496843,0.05618403904469729,0.11697131876027114,3.0819314657533687,0.021260401031711517,5.5018397153374226,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.17315535780496843,0.0006096897787665313,0.17254566802620191,284.00567605919287,0.02605788819794287,6.621628994471757,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.15979705568262137,1.1936969777766985e-05,0.1597851187128436,13386.735382395695,0.032957969132101354,4.848148199678101,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.11363259072442983,-0.0019118622552529575,0.11554445297968279,-59.43555316928162,0.021112240749344532,5.472865450497957,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.013416263150755085,0.0014260714740125238,0.011990191676742562,9.40784763964591,0.0010268407563598133,11.676778120151964,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.17315535780496843,0.04915074730348547,0.12400461050148297,3.5229445594347926,0.018477972743209534,6.710942386634562,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.05598813496477567,-0.0013313558274626127,0.05731949079223828,-42.05347196435202,0.012376284994298515,4.631397129158235,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.05199312872257841,-0.0016251136302091792,0.053618242352787594,-31.9935343326645,0.01526113475799821,3.51338502693496,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.037452456514561916,-0.0006754971492277027,0.03812795366378962,-55.44428508304052,0.010425806164932702,3.657074864103397,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.004855611666750832,0.0010523995625335446,0.003803212104217287,4.613848047467297,0.0007788939708717099,4.882836748576793,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.05598813496477567,0.024929180749021885,0.031058954215753786,2.245887481359467,0.00964394118388217,3.2205665322453783,0.003992015968063872,0.998003992015968,0.007984031936127744
deuteronomy,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.05598813496477567,-0.00016104313434680328,0.056149178099122475,-347.6592478894897,0.012212568964702394,4.597654945606341,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.05199312872257841,-0.0004787709745465543,0.052471899697124964,-108.5970776984158,0.014976952103707954,3.503509881969517,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.037452456514561916,-0.00014865215161665045,0.037601108666178565,-251.9469520437596,0.010154635301777277,3.7028517074953515,0.003992015968063872,0.998003992015968,0.007984031936127744
deuteronomy,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.004855611666750832,0.0009428925367625734,0.003912719129988258,5.149697847246305,0.0006688804643912939,5.849653769674643,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.05598813496477567,0.022988478527822605,0.032999656436953066,2.4354867546807886,0.008566724014477245,3.8520741862566883,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.1014046003016591,0.0004205882352941168,0.10098401206636498,241.10184687107804,0.03028891576145209,3.334025320077145,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.09351355391546712,0.0008323250206231351,0.09268122889484398,112.35220808988358,0.03342700470998665,2.772645341661574,0.003992015968063872,0.998003992015968,0.007984031936127744
deuteronomy,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.07469611383599284,0.00017804727237923822,0.0745180665636136,419.5296723046178,0.023179925089746607,3.2147673590444805,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0040195904130822906,0.001352233815609617,0.002667356597472674,2.9725557567647205,0.0009981523985542725,2.6722939316041145,0.017964071856287425,0.9840319361277445,0.03592814371257485
deuteronomy,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.1014046003016591,0.049760069531588694,0.051644530770070404,2.037870952677938,0.019161762858676358,2.695186823413066,0.011976047904191617,0.9900199600798403,0.023952095808383235
deuteronomy,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.1014046003016591,-0.0012560331825037698,0.10266063348416286,-80.7340138096668,0.028274850417521036,3.630810843142332,0.001996007984031936,1.0,0.003992015968063872
