book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
exodus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.013712047012732653,-0.00052051365763413,0.014232560670366783,-26.34329918461213,0.02288382778952864,0.621948425817093,0.27345309381237526,0.7285429141716567,0.5469061876247505
exodus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.014189146249373863,-8.995779055478238e-07,0.014190045827279412,-15773.11554882284,0.026493539658086027,0.5356040004623732,0.2774451097804391,0.7245508982035929,0.5548902195608783
exodus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.03650621481833988,0.00012919092851301629,-0.036635405746852895,-282.5756826622838,0.019554888667396485,-1.8734653195921513,0.9700598802395209,0.031936127744510975,0.06387225548902195
exodus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.004666144625628972,0.0014171651535139502,0.0032489794721150215,3.292590573553811,0.0010390395549289835,3.1269064365283796,0.00998003992015968,0.9920159680638723,0.01996007984031936
exodus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.08723412541384129,0.04633815634985322,0.04089596906398807,1.8825549457605386,0.018297785244984228,2.235022901211415,0.027944111776447105,0.9740518962075848,0.05588822355289421
exodus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.013712047012732653,-0.00025182283164653274,0.013963869844379187,-54.45116681071777,0.022913032212709697,0.6094291543235175,0.2714570858283433,0.7305389221556886,0.5429141716566867
exodus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.014189146249373863,0.00037497954324744627,0.013814166706126417,37.83978754278483,0.027346407320347016,0.5051547190203675,0.3093812375249501,0.6926147704590818,0.6187624750499002
exodus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.03650621481833988,0.0035283650014660824,-0.04003457981980596,-10.346496125874467,0.0179267402723335,-2.233232545996758,0.9900199600798403,0.011976047904191617,0.023952095808383235
exodus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.004666144625628972,0.0013208284319990266,0.0033453161936299455,3.5327409015317217,0.0009780917218155966,3.420247936890985,0.005988023952095809,0.9960079840319361,0.011976047904191617
exodus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.08723412541384129,0.04305292098157609,0.0441812044322652,2.0262068966510296,0.016631696837800684,2.6564459936432776,0.015968063872255488,0.9860279441117764,0.031936127744510975
exodus,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.026281423441070872,-0.00020481009903144986,0.026486233540102322,-128.320935175346,0.011541606843055798,2.2948480138221146,0.015968063872255488,0.9860279441117764,0.031936127744510975
exodus,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.02405496033674517,7.561823006100124e-05,0.02397934210668417,318.1105973697087,0.013546278399166962,1.7701793363525435,0.04790419161676647,0.9540918163672655,0.09580838323353294
exodus,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.00489702154026278,-0.0002080764150380271,-0.004688945125224753,23.53472660208906,0.009771540503163657,-0.4798573084465698,0.6646706586826348,0.3373253493013972,0.6746506986027944
exodus,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0034313673583658373,0.0009203331389585534,0.0025110342194072837,3.7283970478872073,0.0006721322477652694,3.7359228451782585,0.007984031936127744,0.9940119760479041,0.015968063872255488
exodus,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.048483820273942546,0.022750435177407016,0.02573338509653553,2.131116169685001,0.008660786075391861,2.971252825381813,0.011976047904191617,0.9900199600798403,0.023952095808383235
exodus,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.026281423441070872,-0.0003079769289367728,0.026589400370007645,-85.33568904593633,0.011325125185069744,2.347823969757196,0.00998003992015968,0.9920159680638723,0.01996007984031936
exodus,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.02405496033674517,-0.0003908861740597576,0.024445846510804926,-61.539552772894226,0.013884507725921562,1.760656336786501,0.04590818363273453,0.9560878243512974,0.09181636726546906
exodus,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.00489702154026278,7.313676460134e-05,-0.004970158304864121,-66.9570436558942,0.008877570339665805,-0.5598556941483183,0.7105788423153693,0.29141716566866266,0.5828343313373253
exodus,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0034313673583658373,0.000845205822455435,0.002586161535910402,4.059800899616687,0.0006194834536378767,4.174706395664541,0.007984031936127744,0.9940119760479041,0.015968063872255488
exodus,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.048483820273942546,0.021435380931192214,0.027048439342750332,2.2618595129975105,0.007888699414174239,3.4287577612794196,0.00998003992015968,0.9920159680638723,0.01996007984031936
exodus,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.003910402429764592,-0.0015003948367501901,0.005410797266514783,-2.6062489246060094,0.023746699532140786,0.22785470710114275,0.4111776447105788,0.590818363273453,0.8223552894211577
exodus,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.030547539827714902,-0.001438261781339385,0.03198580160905429,-21.239207092930904,0.027343118005695975,1.1697934962059255,0.1317365269461078,0.8702594810379242,0.2634730538922156
exodus,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.011081521683219797,-0.00040329218707897674,-0.01067822949614082,27.47765029489575,0.019568838174537483,-0.5456751903664411,0.7245508982035929,0.2774451097804391,0.5548902195608783
exodus,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0015777062427298858,0.0011003972230746947,0.0004773090196551911,1.4337606544675836,0.0007890819250142588,0.6048915892308216,0.23552894211576847,0.7664670658682635,0.47105788423153694
exodus,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.053274274795900634,0.040994933427978934,0.0122793413679217,1.2995331457116377,0.01577510486362733,0.7783999836498193,0.2315369261477046,0.7704590818363274,0.4630738522954092
exodus,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.003910402429764592,-0.0011429764616552758,0.005053378891419868,-3.4212449345645215,0.025353340469128686,0.1993180700418187,0.42714570858283435,0.5748502994011976,0.8542914171656687
exodus,major,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.030547539827714902,-0.000828194457139035,0.031375734284853934,-36.88450165827017,0.028312165016886527,1.108206817321818,0.13972055888223553,0.8622754491017964,0.27944111776447106
exodus,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.011081521683219797,0.005053868052843532,-0.01613538973606333,-2.1926812428323763,0.019976982419520364,-0.8076990506983052,0.7904191616766467,0.21157684630738524,0.4231536926147705
exodus,major,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0015777062427298858,0.0011961089170041937,0.0003815973257256921,1.319032255592117,0.0008518383791460056,0.44796916300983675,0.24151696606786427,0.7604790419161677,0.48303393213572854
exodus,major,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.053274274795900634,0.04327674713890283,0.009997527656997802,1.231013842720418,0.015988374484630943,0.6252998181027141,0.24151696606786427,0.7604790419161677,0.48303393213572854
exodus,major,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.01113895216400912,-0.0011171146545178438,0.012256066818526963,-9.971180772681553,0.012407504593335995,0.9877946630065833,0.17165668662674652,0.8303393213572854,0.34331337325349304
exodus,major,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.018312827446274185,-0.0010453064210629184,0.019358133867337105,-17.51909973694872,0.013707117553476878,1.4122687568566754,0.09780439121756487,0.9041916167664671,0.19560878243512975
exodus,major,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.009572645770401678,-0.0007325880273042107,-0.008840057743097467,13.066888092107176,0.010019694585106088,-0.8822681837266669,0.8083832335329342,0.1936127744510978,0.3872255489021956
exodus,major,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0018272331112452148,0.0007842445822541851,0.0010429885289910297,2.329927617724979,0.0005828261724966529,1.7895361914225283,0.05189620758483034,0.9500998003992016,0.10379241516966067
exodus,major,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.03681953592793641,0.02108193249363501,0.0157376034343014,1.7464971932270843,0.007917556591436385,1.987684363547608,0.031936127744510975,0.9700598802395209,0.06387225548902195
exodus,major,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.01113895216400912,-5.5277145026575546e-05,0.011194229309035695,-201.51098901098916,0.013017010837050919,0.8599692701471096,0.19161676646706588,0.810379241516966,0.38323353293413176
exodus,major,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.018312827446274185,0.00022642339344832433,0.01808640405282586,80.87868999478468,0.014575738879340865,1.2408567553622194,0.10978043912175649,0.8922155688622755,0.21956087824351297
exodus,major,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.009572645770401678,0.00020944020052156954,-0.009782085970923247,-45.70586614490862,0.009909526060830391,-0.9871396382506245,0.8383233532934131,0.16367265469061876,0.3273453093812375
exodus,major,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0018272331112452148,0.0007827476742567278,0.001044485436988487,2.3343833157732434,0.0005782043323174265,1.8064296280905041,0.05788423153692615,0.9441117764471058,0.1157684630738523
exodus,major,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.03681953592793641,0.021044648719371797,0.01577488720856461,1.7495913768350848,0.008106831511730582,1.945875794475111,0.043912175648702596,0.9580838323353293,0.08782435129740519
exodus,verse,mean_count,exploratory,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.026031812279725397,-0.0005237108143201628,0.02655552309404556,-49.70646312415317,0.02532730458236295,1.048493850093227,0.14171656686626746,0.8602794411177644,0.2834331337325349
exodus,verse,mean_count,exploratory,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.039466641339554465,-0.0009947438875271503,0.04046138522708161,-39.6751785403429,0.027742887196981765,1.4584417598570467,0.07984031936127745,0.9221556886227545,0.1596806387225549
exodus,verse,mean_count,exploratory,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.007669972793064028,-0.00017373819446148554,-0.007496234598602543,44.146727878908145,0.019469471238845067,-0.38502507369826344,0.6646706586826348,0.3373253493013972,0.6746506986027944
exodus,verse,mean_count,exploratory,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0017180109961746014,0.0011476932562494984,0.000570317739925103,1.4969252340027004,0.0008187058187608437,0.696608875686642,0.21756487025948104,0.7844311377245509,0.4351297405189621
exodus,verse,mean_count,exploratory,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.06304317194705156,0.04181618139950047,0.02122699054755109,1.5076262307348003,0.015628847525999214,1.3581929513509643,0.08383233532934131,0.9181636726546906,0.16766467065868262
exodus,verse,mean_count,exploratory,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.026031812279725397,0.0009419820070487849,0.02508983027267661,27.635148107852572,0.026921080077303688,0.9319771049538631,0.16766467065868262,0.8343313373253493,0.33532934131736525
exodus,verse,mean_count,exploratory,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.039466641339554465,0.0010877085027752814,0.038378932836779185,36.28420779910755,0.028646624015207695,1.3397366760008047,0.10778443113772455,0.8942115768463074,0.2155688622754491
exodus,verse,mean_count,exploratory,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.007669972793064028,0.0003001461634005634,-0.007970118956464592,-25.55412571716927,0.021697773241379757,-0.3673242810587034,0.6487025948103793,0.3532934131736527,0.7065868263473054
