book,level,coordinate_mode,aggregation,value_mode,equivalence_profile,eligible_segments,bin,normalized_position_midpoint,distance_to_cadence,mean_count,active_rate,n_contributions,n_segments_contributing,n_tokens
genesis,minor,normalized,segment,raw,STRICT,3900,1,0.1,,0.3367948717948718,0.2308974358974359,3900,3900,3962
genesis,minor,normalized,segment,raw,STRICT,3900,2,0.3,,0.4353288987435329,0.28039541759053954,1804,1804,1898
genesis,minor,normalized,segment,raw,STRICT,3900,3,0.5,,0.4450855436904352,0.292771845217591,2903,2903,3162
genesis,minor,normalized,segment,raw,STRICT,3900,4,0.7,,0.43911677753141165,0.2712490761271249,1804,1804,1898
genesis,minor,normalized,segment,raw,STRICT,3900,5,0.9,,0.405,0.2529487179487179,3900,3900,3962
genesis,major,normalized,segment,raw,STRICT,2783,1,0.1,,0.35621032458977125,0.2425140735417415,2783,2783,3732
genesis,major,normalized,segment,raw,STRICT,2783,2,0.3,,0.4487562189054726,0.28276474769012083,2345,2345,3333
genesis,major,normalized,segment,raw,STRICT,2783,3,0.5,,0.4169493921402318,0.2638535482046932,2358,2358,3583
genesis,major,normalized,segment,raw,STRICT,2783,4,0.7,,0.41531627576403696,0.26862117981520967,2345,2345,3333
genesis,major,normalized,segment,raw,STRICT,2783,5,0.9,,0.4463708228530363,0.26943346508563903,2783,2783,3732
genesis,verse,normalized,segment,raw,STRICT,1526,1,0.1,,0.3825578855395369,0.261260375709917,1526,1526,3608
genesis,verse,normalized,segment,raw,STRICT,1526,2,0.3,,0.41665568730786123,0.2614953886693017,1518,1518,3611
genesis,verse,normalized,segment,raw,STRICT,1526,3,0.5,,0.4271453783366424,0.26399735274652547,1511,1511,3663
genesis,verse,normalized,segment,raw,STRICT,1526,4,0.7,,0.4160079051383399,0.2672485726833553,1518,1518,3611
genesis,verse,normalized,segment,raw,STRICT,1526,5,0.9,,0.44445172564438623,0.2681192660550459,1526,1526,3608
