book,level,coordinate_mode,aggregation,value_mode,equivalence_profile,eligible_segments,bin,normalized_position_midpoint,distance_to_cadence,mean_count,active_rate,n_contributions,n_segments_contributing,n_tokens
genesis,minor,normalized,segment,raw,STRICT,3900,1,0.1,,0.2746153846153846,0.19166666666666668,3900,3900,3962
genesis,minor,normalized,segment,raw,STRICT,3900,2,0.3,,0.361049519586105,0.2302291204730229,1804,1804,1898
genesis,minor,normalized,segment,raw,STRICT,3900,3,0.5,,0.38876449649787576,0.2545355379492479,2903,2903,3162
genesis,minor,normalized,segment,raw,STRICT,3900,4,0.7,,0.3838691796008869,0.24279379157427938,1804,1804,1898
genesis,minor,normalized,segment,raw,STRICT,3900,5,0.9,,0.3466666666666667,0.21935897435897436,3900,3900,3962
genesis,major,normalized,segment,raw,STRICT,2783,1,0.1,,0.28608216552880583,0.1990957000838424,2783,2783,3732
genesis,major,normalized,segment,raw,STRICT,2783,2,0.3,,0.38088130774697937,0.24282160625444205,2345,2345,3333
genesis,major,normalized,segment,raw,STRICT,2783,3,0.5,,0.3578951088493073,0.22967910658750354,2358,2358,3583
genesis,major,normalized,segment,raw,STRICT,2783,4,0.7,,0.36378820184790334,0.23415067519545132,2345,2345,3333
genesis,major,normalized,segment,raw,STRICT,2783,5,0.9,,0.38627380524613725,0.2318840579710145,2783,2783,3732
genesis,verse,normalized,segment,raw,STRICT,1526,1,0.1,,0.32016164263870683,0.22020532983835733,1526,1526,3608
genesis,verse,normalized,segment,raw,STRICT,1526,2,0.3,,0.35154808959156786,0.22231005709266577,1518,1518,3611
genesis,verse,normalized,segment,raw,STRICT,1526,3,0.5,,0.36042356055592323,0.22489521288330025,1511,1511,3663
genesis,verse,normalized,segment,raw,STRICT,1526,4,0.7,,0.35911286780852,0.23089591567852438,1518,1518,3611
genesis,verse,normalized,segment,raw,STRICT,1526,5,0.9,,0.3870249017038008,0.23097422455220618,1526,1526,3608
exodus,minor,normalized,segment,raw,STRICT,3063,1,0.1,,0.34476003917727716,0.21237349004244205,3063,3063,3125
exodus,minor,normalized,segment,raw,STRICT,3063,2,0.3,,0.3933418150975403,0.24533502968617474,1572,1572,1697
exodus,minor,normalized,segment,raw,STRICT,3063,3,0.5,,0.41590493601462525,0.24695307739183425,2188,2188,2409
exodus,minor,normalized,segment,raw,STRICT,3063,4,0.7,,0.42324003392705684,0.2538167938931298,1572,1572,1697
exodus,minor,normalized,segment,raw,STRICT,3063,5,0.9,,0.3664707802807705,0.23196212863206006,3063,3063,3125
exodus,major,normalized,segment,raw,STRICT,2195,1,0.1,,0.39250569476082003,0.23034168564920274,2195,2195,2978
exodus,major,normalized,segment,raw,STRICT,2195,2,0.3,,0.3900121591106479,0.2475508077123502,1919,1919,2776
exodus,major,normalized,segment,raw,STRICT,2195,3,0.5,,0.3947685185185185,0.2411388888888889,1800,1800,2803
exodus,major,normalized,segment,raw,STRICT,2195,4,0.7,,0.4529268716345319,0.2674135834636095,1919,1919,2776
exodus,major,normalized,segment,raw,STRICT,2195,5,0.9,,0.4077296886864085,0.24018982536066819,2195,2195,2978
exodus,verse,normalized,segment,raw,STRICT,1198,1,0.1,,0.3712159154145798,0.2140233722871452,1198,1198,2916
exodus,verse,normalized,segment,raw,STRICT,1198,2,0.3,,0.426316889632107,0.24795150501672242,1196,1196,2921
exodus,verse,normalized,segment,raw,STRICT,1198,3,0.5,,0.42043397068972516,0.2547761133438883,1173,1173,2924
exodus,verse,normalized,segment,raw,STRICT,1198,4,0.7,,0.43606698253437387,0.26537997027127463,1196,1196,2921
exodus,verse,normalized,segment,raw,STRICT,1198,5,0.9,,0.4159594694861807,0.24571044333147837,1198,1198,2916
leviticus,minor,normalized,segment,raw,STRICT,2152,1,0.1,,0.36895910780669144,0.23141263940520446,2152,2152,2217
leviticus,minor,normalized,segment,raw,STRICT,2152,2,0.3,,0.3352272727272727,0.21197552447552448,1144,1144,1242
leviticus,minor,normalized,segment,raw,STRICT,2152,3,0.5,,0.42329059829059834,0.25213675213675213,1560,1560,1735
leviticus,minor,normalized,segment,raw,STRICT,2152,4,0.7,,0.3929195804195804,0.256993006993007,1144,1144,1242
leviticus,minor,normalized,segment,raw,STRICT,2152,5,0.9,,0.418138166047088,0.24953531598513012,2152,2152,2217
leviticus,major,normalized,segment,raw,STRICT,1564,1,0.1,,0.40174765558397274,0.23934356351236147,1564,1564,2108
leviticus,major,normalized,segment,raw,STRICT,1564,2,0.3,,0.3814649839148726,0.2230883444691908,1347,1347,1953
leviticus,major,normalized,segment,raw,STRICT,1564,3,0.5,,0.40968992248062014,0.2501291989664083,1290,1290,1991
leviticus,major,normalized,segment,raw,STRICT,1564,4,0.7,,0.4067062608265281,0.2516703786191537,1347,1347,1953
leviticus,major,normalized,segment,raw,STRICT,1564,5,0.9,,0.4411764705882353,0.24968030690537085,1564,1564,2108
leviticus,verse,normalized,segment,raw,STRICT,855,1,0.1,,0.4342495126705653,0.2520857699805068,855,855,2072
leviticus,verse,normalized,segment,raw,STRICT,855,2,0.3,,0.39401256380054966,0.24764428739693758,849,849,2057
leviticus,verse,normalized,segment,raw,STRICT,855,3,0.5,,0.42750201775625507,0.25807102502017754,826,826,2054
leviticus,verse,normalized,segment,raw,STRICT,855,4,0.7,,0.4595995288574794,0.25531998429524927,849,849,2057
leviticus,verse,normalized,segment,raw,STRICT,855,5,0.9,,0.3647173489278752,0.2143664717348928,855,855,2072
numbers,minor,normalized,segment,raw,STRICT,2976,1,0.1,,0.3799283154121864,0.23784722222222224,2976,2976,3067
numbers,minor,normalized,segment,raw,STRICT,2976,2,0.3,,0.4228374471870136,0.28385590393595733,1499,1499,1613
numbers,minor,normalized,segment,raw,STRICT,2976,3,0.5,,0.43087735557615076,0.2776490577695397,2158,2158,2414
numbers,minor,normalized,segment,raw,STRICT,2976,4,0.7,,0.3960418056482099,0.25928396708917056,1499,1499,1613
numbers,minor,normalized,segment,raw,STRICT,2976,5,0.9,,0.385752688172043,0.23823924731182797,2976,2976,3067
numbers,major,normalized,segment,raw,STRICT,2213,1,0.1,,0.3605964753727971,0.22205904503690316,2213,2213,2937
numbers,major,normalized,segment,raw,STRICT,2213,2,0.3,,0.40554054054054056,0.27193693693693693,1850,1850,2680
numbers,major,normalized,segment,raw,STRICT,2213,3,0.5,,0.40261367704976725,0.25375939849624063,1862,1862,2770
numbers,major,normalized,segment,raw,STRICT,2213,4,0.7,,0.424009009009009,0.26635135135135135,1850,1850,2680
numbers,major,normalized,segment,raw,STRICT,2213,5,0.9,,0.4254405784003615,0.263217352010845,2213,2213,2937
numbers,verse,normalized,segment,raw,STRICT,1281,1,0.1,,0.36528753577933903,0.23676814988290398,1281,1281,2893
numbers,verse,normalized,segment,raw,STRICT,1281,2,0.3,,0.4027689454160042,0.2591414944356121,1258,1258,2893
numbers,verse,normalized,segment,raw,STRICT,1281,3,0.5,,0.43607192254495164,0.27446749654218533,1205,1205,2861
numbers,verse,normalized,segment,raw,STRICT,1281,4,0.7,,0.3780471648118707,0.2442501324854266,1258,1258,2893
numbers,verse,normalized,segment,raw,STRICT,1281,5,0.9,,0.44816549570647934,0.27645068956544366,1281,1281,2893
deuteronomy,minor,normalized,segment,raw,STRICT,2697,1,0.1,,0.3622543566926214,0.2289581015943641,2697,2697,2782
deuteronomy,minor,normalized,segment,raw,STRICT,2697,2,0.3,,0.45955056179775283,0.2591760299625468,1335,1335,1456
deuteronomy,minor,normalized,segment,raw,STRICT,2697,3,0.5,,0.41559512034289486,0.23944939004286186,2022,2022,2252
deuteronomy,minor,normalized,segment,raw,STRICT,2697,4,0.7,,0.45692883895131087,0.2711610486891386,1335,1335,1456
deuteronomy,minor,normalized,segment,raw,STRICT,2697,5,0.9,,0.5400444938820912,0.28661475713756024,2697,2697,2782
deuteronomy,major,normalized,segment,raw,STRICT,1768,1,0.1,,0.41961726998491705,0.24389140271493212,1768,1768,2590
deuteronomy,major,normalized,segment,raw,STRICT,1768,2,0.3,,0.47944983818770226,0.26224379719525354,1545,1545,2393
deuteronomy,major,normalized,segment,raw,STRICT,1768,3,0.5,,0.4621653713298791,0.27083333333333337,1544,1544,2521
deuteronomy,major,normalized,segment,raw,STRICT,1768,4,0.7,,0.4711111111111111,0.2681445523193096,1545,1545,2393
deuteronomy,major,normalized,segment,raw,STRICT,1768,5,0.9,,0.5421285822021116,0.27735671191553546,1768,1768,2590
deuteronomy,verse,normalized,segment,raw,STRICT,950,1,0.1,,0.3981578947368421,0.2427719298245614,950,950,2527
deuteronomy,verse,normalized,segment,raw,STRICT,950,2,0.3,,0.4364860077931279,0.2501948281969536,941,941,2540
deuteronomy,verse,normalized,segment,raw,STRICT,950,3,0.5,,0.5118895966029724,0.2779723991507431,942,942,2530
deuteronomy,verse,normalized,segment,raw,STRICT,950,4,0.7,,0.49309245483528164,0.2784449167552249,941,941,2540
deuteronomy,verse,normalized,segment,raw,STRICT,950,5,0.9,,0.5054385964912281,0.2676140350877193,950,950,2527
