book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
exodus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.02171074110349336,0.0012520404831864193,0.020458700620306938,17.340286831812286,0.02242340570398731,0.912381503968819,0.17964071856287425,0.8223552894211577,0.3592814371257485
exodus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.03665985051825162,0.0011780370904807373,0.03548181342777089,31.119436573335182,0.027352297621824142,1.2972150975521808,0.10778443113772455,0.8942115768463074,0.2155688622754491
exodus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.027840925773354397,0.000330168510699039,-0.028171094284053434,-84.32338297316441,0.017553549673814655,-1.6048659563186471,0.9461077844311377,0.05588822355289421,0.11177644710578842
exodus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.005796021221370811,0.0017012260436355562,0.0040947951777352545,3.4069671358807736,0.0012407128271398594,3.3003569304387215,0.015968063872255488,0.9860279441117764,0.031936127744510975
exodus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.07847999474977968,0.04286518170663425,0.03561481304314543,1.8308564579730526,0.016487066327031293,2.160166783871872,0.031936127744510975,0.9700598802395209,0.06387225548902195
exodus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.02171074110349336,-0.00011796713461747521,0.021828708238110832,-184.04059040590795,0.021543655813387057,1.013231385944564,0.15768463073852296,0.844311377245509,0.3153692614770459
exodus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.03665985051825162,6.99039425665807e-05,0.03658994657568504,524.4318013012582,0.025645065680002424,1.4267831103360067,0.0718562874251497,0.9301397205588823,0.1437125748502994
exodus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.027840925773354397,0.003700084434567973,-0.03154101020792237,-7.52440282531151,0.016542562713260846,-1.9066580405125784,0.9780439121756487,0.023952095808383235,0.04790419161676647
exodus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.005796021221370811,0.0015840211745761729,0.004212000046794638,3.6590553929442375,0.0011876029414258536,3.5466399584171193,0.007984031936127744,0.9940119760479041,0.015968063872255488
exodus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.07847999474977968,0.03919647694684153,0.03928351780293815,2.0022206295788947,0.015321517755416174,2.5639442795444585,0.015968063872255488,0.9860279441117764,0.031936127744510975
