book,level,coordinate_mode,aggregation,value_mode,equivalence_profile,eligible_segments,bin,normalized_position_midpoint,distance_to_cadence,mean_count,active_rate,n_contributions,n_segments_contributing,n_tokens
genesis,minor,normalized,segment,raw,STRICT,3900,1,0.1,,0.42596153846153845,0.28762820512820514,3900,3900,3962
genesis,minor,normalized,segment,raw,STRICT,3900,2,0.3,,0.575110864745011,0.3701034737620103,1804,1804,1898
genesis,minor,normalized,segment,raw,STRICT,3900,3,0.5,,0.6124411528304053,0.39106097140888735,2903,2903,3162
genesis,minor,normalized,segment,raw,STRICT,3900,4,0.7,,0.5680894308943089,0.35338137472283815,1804,1804,1898
genesis,minor,normalized,segment,raw,STRICT,3900,5,0.9,,0.5466666666666666,0.34923076923076923,3900,3900,3962
genesis,major,normalized,segment,raw,STRICT,2783,1,0.1,,0.4736195951610971,0.31994849682596715,2783,2783,3732
genesis,major,normalized,segment,raw,STRICT,2783,2,0.3,,0.5971215351812367,0.38045486851457,2345,2345,3333
genesis,major,normalized,segment,raw,STRICT,2783,3,0.5,,0.5317712750918858,0.3388464800678541,2358,2358,3583
genesis,major,normalized,segment,raw,STRICT,2783,4,0.7,,0.5442430703624733,0.3420753375977256,2345,2345,3333
genesis,major,normalized,segment,raw,STRICT,2783,5,0.9,,0.5740507845250928,0.3506108515989939,2783,2783,3732
genesis,verse,normalized,segment,raw,STRICT,1526,1,0.1,,0.5571865443425076,0.3642966360856269,1526,1526,3608
genesis,verse,normalized,segment,raw,STRICT,1526,2,0.3,,0.5435111989459815,0.3423254281949934,1518,1518,3611
genesis,verse,normalized,segment,raw,STRICT,1526,3,0.5,,0.5480366203397309,0.3413853959849989,1511,1511,3663
genesis,verse,normalized,segment,raw,STRICT,1526,4,0.7,,0.5563460693895477,0.35354633289415893,1518,1518,3611
genesis,verse,normalized,segment,raw,STRICT,1526,5,0.9,,0.551485364788117,0.34316295325469637,1526,1526,3608
exodus,minor,normalized,segment,raw,STRICT,3063,1,0.1,,0.5126782021982805,0.31564914571770597,3063,3063,3125
exodus,minor,normalized,segment,raw,STRICT,3063,2,0.3,,0.6029474130619169,0.3774385072094996,1572,1572,1697
exodus,minor,normalized,segment,raw,STRICT,3063,3,0.5,,0.6390158439975625,0.3872638634978672,2188,2188,2409
exodus,minor,normalized,segment,raw,STRICT,3063,4,0.7,,0.6149279050042409,0.36948685326547925,1572,1572,1697
exodus,minor,normalized,segment,raw,STRICT,3063,5,0.9,,0.5831973011209054,0.3745783001414735,3063,3063,3125
exodus,major,normalized,segment,raw,STRICT,2195,1,0.1,,0.577524677296887,0.34125284738041,2195,2195,2978
exodus,major,normalized,segment,raw,STRICT,2195,2,0.3,,0.6126975855480284,0.38251693590411673,1919,1919,2776
exodus,major,normalized,segment,raw,STRICT,2195,3,0.5,,0.5838796296296297,0.3600925925925926,1800,1800,2803
exodus,major,normalized,segment,raw,STRICT,2195,4,0.7,,0.6549852353656419,0.39048115337849576,1919,1919,2776
exodus,major,normalized,segment,raw,STRICT,2195,5,0.9,,0.6254745634016705,0.37930903568716784,2195,2195,2978
exodus,verse,normalized,segment,raw,STRICT,1198,1,0.1,,0.5861157484696716,0.3497426265998887,1198,1198,2916
exodus,verse,normalized,segment,raw,STRICT,1198,2,0.3,,0.6090370680044593,0.3605629877369008,1196,1196,2921
exodus,verse,normalized,segment,raw,STRICT,1198,3,0.5,,0.6085941623026022,0.37040758332318435,1173,1173,2924
exodus,verse,normalized,segment,raw,STRICT,1198,4,0.7,,0.6449856001486437,0.39032422891118546,1196,1196,2921
exodus,verse,normalized,segment,raw,STRICT,1198,5,0.9,,0.6210327397514376,0.37332127620107586,1198,1198,2916
leviticus,minor,normalized,segment,raw,STRICT,2152,1,0.1,,0.5889869888475836,0.3631505576208178,2152,2152,2217
leviticus,minor,normalized,segment,raw,STRICT,2152,2,0.3,,0.5671620046620047,0.356060606060606,1144,1144,1242
leviticus,minor,normalized,segment,raw,STRICT,2152,3,0.5,,0.6698717948717948,0.40170940170940167,1560,1560,1735
leviticus,minor,normalized,segment,raw,STRICT,2152,4,0.7,,0.6477272727272727,0.3999125874125874,1144,1144,1242
leviticus,minor,normalized,segment,raw,STRICT,2152,5,0.9,,0.6586121437422552,0.39474907063197023,2152,2152,2217
leviticus,major,normalized,segment,raw,STRICT,1564,1,0.1,,0.6106670929241262,0.36833972719522595,1564,1564,2108
leviticus,major,normalized,segment,raw,STRICT,1564,2,0.3,,0.6420440485028459,0.37738183617916354,1347,1347,1953
leviticus,major,normalized,segment,raw,STRICT,1564,3,0.5,,0.6450258397932817,0.38921188630490955,1290,1290,1991
