book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.12070512820512819,-0.0011947863247863204,0.12189991452991451,-101.02653980971492,0.020806797048356536,5.8586583147137015,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.11719441127977709,-0.0021907212841359106,0.119385132563913,-53.49581077631345,0.025306738120908657,4.717523530433814,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.0012659199338507232,-0.0014534819710529574,0.0027194019049036804,-0.8709567501092861,0.017332013368066973,0.15690051970038224,0.45109780439121755,0.5508982035928144,0.9021956087824351
genesis,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.013541352265977327,0.0008979934994860926,0.012643358766491234,15.079566025507788,0.000645547636228219,19.58547759598868,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.1864796143688669,0.042528380895947834,0.14395123347291905,4.384827506721163,0.016241452887515294,8.863199275944918,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.12070512820512819,0.000803760683760687,0.1199013675213675,150.17545725223246,0.019519627503394726,6.142605308452481,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.11719441127977709,0.002237426611329052,0.11495698466844803,52.37910851974829,0.023832721787176617,4.823493753462164,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.0012659199338507232,0.0007149271994506765,0.0005509927344000467,1.7706976805797976,0.01621599959775667,0.033978339175358106,0.47105788423153694,0.530938123752495,0.9421157684630739
genesis,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.013541352265977327,0.0007346264517574985,0.012806725814219828,18.43297669663459,0.000528603617701488,24.22746531684166,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.1864796143688669,0.03755367088188429,0.1489259434869826,4.965682714624411,0.0143293761934869,10.393051412431587,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.061602564102564095,-0.0002755982905982917,0.061878162393162385,-223.52302682586355,0.01071480539954713,5.775015045609481,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.053241514582978024,-0.0004555687266662888,0.05369708330964431,-116.86823846005186,0.012853718379147819,4.177552496930024,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.0013127370247160153,-0.000711614296970649,-0.0006011227277453663,1.8447310998448925,0.00905354299672002,-0.06639640723671884,0.5469061876247505,0.4550898203592814,0.9101796407185628
genesis,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.009767209874714682,0.0005723143741302561,0.009194895500584426,17.066162088900654,0.0003979029707493259,23.10838615572212,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.10343276628068221,0.021825719683856264,0.08160704659682594,4.739031187924029,0.00795874720015949,10.253755339180842,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.061602564102564095,0.00014760683760683713,0.061454957264957255,417.34221192820047,0.010805775218710057,5.687232615994899,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.053241514582978024,0.0007668788257812658,0.052474635757196755,69.42624153005877,0.013055792408078807,4.019260885668335,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.0013127370247160153,0.0011667608174540632,-0.0024794978421700782,-1.1251123667149538,0.008882951715089316,-0.2791299470825895,0.6207584830339321,0.3812375249500998,0.7624750499001997
genesis,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.009767209874714682,0.0005006144852771865,0.009266595389437495,19.510441990719965,0.00039178025458282666,23.652532972353857,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.10343276628068221,0.01996586131123338,0.08346690496944884,5.180481055554958,0.008186148709475448,10.196113939737753,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.10043118936399575,-0.0008636363636363656,0.10129482572763213,-116.28874557936324,0.02187468590479947,4.630687095050233,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.07399195695461408,-0.0007382632293080061,0.07473022018392209,-100.22435632337901,0.024910739978035994,2.999919723372824,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.03736191557591961,-0.00013271901597936275,0.03749463459189897,-281.5113968425537,0.01764370825270525,2.1250994436586224,0.021956087824351298,0.9800399201596807,0.043912175648702596
genesis,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.005962497415608387,0.0007197618709460257,0.005242735544662361,8.28398621306728,0.0005281239589797379,9.927092788576754,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.12350194002013959,0.03805226511241176,0.08544967490772783,3.2455870801724265,0.014268034379260419,5.9888890534168375,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.10043118936399575,-0.0013490837226015065,0.10178027308659726,-74.4440005326943,0.02360234790769486,4.312294415989638,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.07399195695461408,-0.0015907326209668254,0.07558268957558091,-46.51438964622652,0.02573572365543608,2.9368783480706906,0.003992015968063872,0.998003992015968,0.007984031936127744
genesis,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.03736191557591961,-0.00207292925306056,0.03943484482898017,-18.02372923280276,0.018490756692119074,2.1326788019328413,0.017964071856287425,0.9840319361277445,0.03592814371257485
genesis,major,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.005962497415608387,0.0006873765424989843,0.005275120873109403,8.674281193727523,0.0004928174829848186,10.70400514437899,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.12350194002013959,0.03708839075019851,0.08641354926994108,3.3299352579615107,0.01424906964061849,6.064504662368275,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.030662354773026756,-0.00033321355851000003,0.030995568331536758,-92.02012940330744,0.011513883261158498,2.6920169006836066,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.011472589314604568,-0.00015677432610061834,0.011629363640705187,-73.17900577191075,0.013167848599042907,0.8831635292002413,0.20958083832335328,0.7924151696606786,0.41916167664670656
genesis,major,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.005279555847464701,-0.00015820776723068686,0.0054377636146953874,-33.37102810993118,0.009098621008762214,0.5976470071078547,0.281437125748503,0.720558882235529,0.562874251497006
genesis,major,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0032552729199010052,0.00047171172608593984,0.0027835611938150655,6.900979432739257,0.0003264982853337787,8.525500190512288,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.060506371688602845,0.01964859682087903,0.040857774867723816,3.079424563504069,0.007219025701511094,5.659735337854722,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.030662354773026756,-0.00021781051622948923,0.030880165289256245,-140.7753643112453,0.011691624563791352,2.6412210827305636,0.007984031936127744,0.9940119760479041,0.015968063872255488
genesis,major,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.011472589314604568,2.5295382846559428e-05,0.011447293931758008,453.544798439966,0.013358423217195086,0.8569345158209201,0.19161676646706588,0.810379241516966,0.38323353293413176
genesis,major,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.005279555847464701,-0.00028696934863126365,0.005566525196095964,-18.39762982578525,0.009073346271964556,0.6135030042108933,0.27944111776447106,0.7225548902195609,0.5588822355289421
genesis,major,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0032552729199010052,0.0004486435974447453,0.0028066293224562598,7.255810488417642,0.0003147825239057731,8.916090028226584,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.060506371688602845,0.01917991678497661,0.041326454903626235,3.154673316205247,0.007001999928418493,5.902093020009561,0.001996007984031936,1.0,0.003992015968063872
genesis,verse,mean_count,exploratory,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,-0.005701179554390534,-0.001434556574923549,-0.004266622979466985,3.974175472789816,0.02304484273305459,-0.18514437390137248,0.5748502994011976,0.42714570858283435,0.8542914171656687
genesis,verse,mean_count,exploratory,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.0007162556673925285,-0.0014355666759336512,0.0021518223433261794,-0.49893584143467,0.025304224346066818,0.0850380677114353,0.4810379241516966,0.5209580838323353,0.9620758483033932
genesis,verse,mean_count,exploratory,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.00021525653367515662,-0.0012907543243124832,0.0015060108579876398,-0.16676801279733264,0.017719443330178115,0.08499199607601338,0.46706586826347307,0.5349301397205589,0.9341317365269461
genesis,verse,mean_count,exploratory,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,8.650398229814665e-05,0.0007123730001320162,-0.0006258690178338696,0.12143074243706012,0.0004887889285585012,-1.2804484333956467,0.9800399201596807,0.021956087824351298,0.043912175648702596
genesis,verse,mean_count,exploratory,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.01367534539652604,0.037910736509379935,-0.024235391112853895,0.36072486729827746,0.013549830268984951,-1.788612154672357,0.9820359281437125,0.01996007984031936,0.03992015968063872
genesis,verse,mean_count,exploratory,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,-0.005701179554390534,-0.001067256443861948,-0.004633923110528586,5.341902208395562,0.022508667603886073,-0.20587283050590474,0.592814371257485,0.4091816367265469,0.8183632734530938
genesis,verse,mean_count,exploratory,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.0007162556673925285,-0.000984614810133357,0.0017008704775258855,-0.7274475866308756,0.025441319465180568,0.06685464878713254,0.4590818363273453,0.5429141716566867,0.9181636726546906
genesis,verse,mean_count,exploratory,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.00021525653367515662,-0.00249879564123121,0.0027140521749063665,-0.08614411283713266,0.017896745466508608,0.15165059926595906,0.45109780439121755,0.5508982035928144,0.9021956087824351
genesis,verse,mean_count,exploratory,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,8.650398229814665e-05,0.0006900520986025478,-0.0006035481163044012,0.1253586250564694,0.0005238985558159152,-1.1520324108632833,0.9520958083832335,0.0499001996007984,0.0998003992015968
genesis,verse,mean_count,exploratory,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.01367534539652604,0.037482174775501205,-0.023806829378975165,0.36484930446096764,0.01497490115155785,-1.5897820718835611,0.9640718562874252,0.03792415169660679,0.07584830339321358
genesis,verse,active_rate,exploratory,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,-0.021133682830930534,-0.0006000218435998256,-0.02053366098733071,35.22152244348172,0.011763693093283305,-1.745511449891087,0.9740518962075848,0.027944111776447105,0.05588822355289421
genesis,verse,active_rate,exploratory,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,-0.015523230481347766,-0.0008974307149217381,-0.014625799766426029,17.2974138540617,0.012680709490357598,-1.15338970406565,0.874251497005988,0.1277445109780439,0.2554890219560878
genesis,verse,active_rate,exploratory,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.007225495035248164,-0.00039506784235184954,-0.006830427192896314,18.289251264376762,0.009076456742683285,-0.7525433532641975,0.7684630738522954,0.23353293413173654,0.46706586826347307
genesis,verse,active_rate,exploratory,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0006426391180802765,0.00046973309140576025,0.0001729060266745163,1.3680942003831666,0.00037149657723838754,0.4654310087049963,0.24750499001996007,0.7544910179640718,0.49500998003992014
genesis,verse,active_rate,exploratory,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.022911240100628005,0.019607522169579908,0.0033037179310480974,1.1684923725943124,0.007477194657423981,0.44183923014066395,0.3333333333333333,0.6686626746506986,0.6666666666666666
genesis,verse,active_rate,exploratory,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,-0.021133682830930534,-0.00110307994757536,-0.020030602883355175,19.1587952236678,0.011394651163191365,-1.7578952261444298,0.9600798403193613,0.041916167664670656,0.08383233532934131
genesis,verse,active_rate,exploratory,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,-0.015523230481347766,-0.00120122443593724,-0.014322006045410526,12.922839410302176,0.012812364385547744,-1.1178269376701186,0.8562874251497006,0.14570858283433133,0.29141716566866266
genesis,verse,active_rate,exploratory,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.007225495035248164,-0.0014901714252144225,-0.005735323610033741,4.848767673966423,0.009475753735559174,-0.6052630503166293,0.7265469061876247,0.2754491017964072,0.5508982035928144
genesis,verse,active_rate,exploratory,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0006426391180802765,0.0004561587000069477,0.00018648041807332882,1.408806009992769,0.0003236055245481741,0.5762584502650173,0.23353293413173654,0.7684630738522954,0.46706586826347307
genesis,verse,active_rate,exploratory,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.022911240100628005,0.01945868502522524,0.003452555075402767,1.1774300303914191,0.007222949038169287,0.47799798353247747,0.3013972055888224,0.7005988023952096,0.6027944111776448
exodus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.07051909892262487,0.0004411796713461751,0.0700779192512787,159.84213122841624,0.023598969229792915,2.9695330575204806,0.003992015968063872,0.998003992015968,0.007984031936127744
exodus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.07650934489378686,0.0016895893405573697,0.07481975555322949,45.28280515107156,0.028141729774654373,2.6586764975838593,0.003992015968063872,0.998003992015968,0.007984031936127744
exodus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.009195039944594807,0.000583220854700678,-0.009778260799295484,-15.765965620886288,0.01976200265288387,-0.4948011075116693,0.688622754491018,0.313373253493014,0.626746506986028
exodus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.005284535952400984,0.0009652531670320316,0.004319282785368953,5.4747667584970685,0.000701706603278168,6.1553970921614924,0.001996007984031936,1.0,0.003992015968063872
exodus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.12633764179928197,0.04825584373555565,0.07808179806372632,2.6180796359425056,0.01884746123410318,4.1428284209675255,0.001996007984031936,1.0,0.003992015968063872
exodus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.07051909892262487,0.0009952116661225432,0.06952388725650233,70.85839256424237,0.02314015946692073,3.0044688048017973,0.001996007984031936,1.0,0.003992015968063872
exodus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.07650934489378686,0.001274261708531367,0.07523508318525549,60.042096832656654,0.02761965016469043,2.7239694469931295,0.005988023952095809,0.9960079840319361,0.011976047904191617
exodus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.009195039944594807,0.011121217317811526,-0.020316257262406334,-0.8268015705320504,0.018309455095925718,-1.1096046909078783,0.8702594810379242,0.1317365269461078,0.2634730538922156
exodus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.005284535952400984,0.001179353914090965,0.004105182038310019,4.480873713362164,0.0007886508313382527,5.205322653808634,0.001996007984031936,1.0,0.003992015968063872
exodus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.12633764179928197,0.05245094818861999,0.07388669361066198,2.408681752424312,0.01823294505436556,4.052372965001126,0.001996007984031936,1.0,0.003992015968063872
exodus,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.058929154423767505,-0.00018337142235281157,0.05911252584612032,-321.3649851632073,0.011662211095576632,5.06872370613675,0.001996007984031936,1.0,0.003992015968063872
