book,level,coordinate_mode,aggregation,value_mode,equivalence_profile,eligible_segments,bin,normalized_position_midpoint,distance_to_cadence,mean_count,active_rate,n_contributions,n_segments_contributing,n_tokens
genesis,minor,normalized,token,raw,STRICT,3900,1,0.1,,0.48965169106511863,0.32306915699141847,3962,3900,3962
genesis,minor,normalized,token,raw,STRICT,3900,2,0.3,,0.642781875658588,0.40516332982086406,1898,1804,1898
genesis,minor,normalized,token,raw,STRICT,3900,3,0.5,,0.6714104996837444,0.4228336495888678,3162,2903,3162
genesis,minor,normalized,token,raw,STRICT,3900,4,0.7,,0.6195995785036881,0.3746048472075869,1898,1804,1898
genesis,minor,normalized,token,raw,STRICT,3900,5,0.9,,0.6029782937910146,0.3745583038869258,3962,3900,3962
genesis,major,normalized,token,raw,STRICT,2783,1,0.1,,0.5560021436227224,0.36736334405144694,3732,2783,3732
genesis,major,normalized,token,raw,STRICT,2783,2,0.3,,0.6414641464146414,0.4002400240024002,3333,2345,3333
genesis,major,normalized,token,raw,STRICT,2783,3,0.5,,0.5911247557912364,0.36952274630198156,3583,2358,3583
genesis,major,normalized,token,raw,STRICT,2783,4,0.7,,0.5928592859285928,0.36993699369936994,3333,2345,3333
genesis,major,normalized,token,raw,STRICT,2783,5,0.9,,0.642550911039657,0.387459807073955,3732,2783,3732
genesis,verse,normalized,token,raw,STRICT,1526,1,0.1,,0.6236141906873615,0.40022172949002216,3608,1526,3608
genesis,verse,normalized,token,raw,STRICT,1526,2,0.3,,0.5937413458875658,0.3661035724176129,3611,1518,3611
genesis,verse,normalized,token,raw,STRICT,1526,3,0.5,,0.6003276003276004,0.37155337155337154,3663,1511,3663
genesis,verse,normalized,token,raw,STRICT,1526,4,0.7,,0.6050955414012739,0.3821656050955414,3611,1518,3611
genesis,verse,normalized,token,raw,STRICT,1526,5,0.9,,0.6078159645232816,0.3772172949002217,3608,1526,3608
exodus,minor,normalized,token,raw,STRICT,3063,1,0.1,,0.59008,0.35392,3125,3063,3125
exodus,minor,normalized,token,raw,STRICT,3063,2,0.3,,0.6876841484973483,0.41367118444313494,1697,1572,1697
exodus,minor,normalized,token,raw,STRICT,3063,3,0.5,,0.7251971772519717,0.4292237442922374,2409,2188,2409
exodus,minor,normalized,token,raw,STRICT,3063,4,0.7,,0.6758986446670595,0.4036535061873895,1697,1572,1697
exodus,minor,normalized,token,raw,STRICT,3063,5,0.9,,0.64992,0.41184,3125,3063,3125
exodus,major,normalized,token,raw,STRICT,2195,1,0.1,,0.6531229012760241,0.3784419073203492,2978,2195,2978
exodus,major,normalized,token,raw,STRICT,2195,2,0.3,,0.672550432276657,0.41210374639769454,2776,1919,2776
exodus,major,normalized,token,raw,STRICT,2195,3,0.5,,0.6525151623260792,0.3981448448091331,2803,1800,2803
exodus,major,normalized,token,raw,STRICT,2195,4,0.7,,0.6999279538904899,0.41786743515850144,2776,1919,2776
exodus,major,normalized,token,raw,STRICT,2195,5,0.9,,0.6816655473472129,0.41336467427803897,2978,2195,2978
exodus,verse,normalized,token,raw,STRICT,1198,1,0.1,,0.6574074074074074,0.3868312757201646,2916,1198,2916
exodus,verse,normalized,token,raw,STRICT,1198,2,0.3,,0.6480657309140705,0.3892502567613831,2921,1196,2921
exodus,verse,normalized,token,raw,STRICT,1198,3,0.5,,0.6603967168262654,0.40355677154582764,2924,1173,2924
exodus,verse,normalized,token,raw,STRICT,1198,4,0.7,,0.7052379322149949,0.42143101677507705,2921,1196,2921
exodus,verse,normalized,token,raw,STRICT,1198,5,0.9,,0.6934156378600823,0.4176954732510288,2916,1198,2916
leviticus,minor,normalized,token,raw,STRICT,2152,1,0.1,,0.649977447000451,0.39152007216959855,2217,2152,2217
leviticus,minor,normalized,token,raw,STRICT,2152,2,0.3,,0.6304347826086957,0.392109500805153,1242,1144,1242
leviticus,minor,normalized,token,raw,STRICT,2152,3,0.5,,0.7060518731988472,0.4195965417867435,1735,1560,1735
leviticus,minor,normalized,token,raw,STRICT,2152,4,0.7,,0.714170692431562,0.428341384863124,1242,1144,1242
leviticus,minor,normalized,token,raw,STRICT,2152,5,0.9,,0.7126747857465043,0.4230942715381146,2217,2152,2217
leviticus,major,normalized,token,raw,STRICT,1564,1,0.1,,0.6593927893738141,0.39705882352941174,2108,1564,2108
leviticus,major,normalized,token,raw,STRICT,1564,2,0.3,,0.7055811571940604,0.40604198668714797,1953,1347,1953
leviticus,major,normalized,token,raw,STRICT,1564,3,0.5,,0.700652938221999,0.4143646408839779,1991,1290,1991
leviticus,major,normalized,token,raw,STRICT,1564,4,0.7,,0.7035330261136713,0.4244751664106503,1953,1347,1953
leviticus,major,normalized,token,raw,STRICT,1564,5,0.9,,0.7490512333965844,0.4407020872865275,2108,1564,2108
leviticus,verse,normalized,token,raw,STRICT,855,1,0.1,,0.6829150579150579,0.40395752895752896,2072,855,2072
leviticus,verse,normalized,token,raw,STRICT,855,2,0.3,,0.6776859504132231,0.41614000972289744,2057,849,2057
leviticus,verse,normalized,token,raw,STRICT,855,3,0.5,,0.6820837390457644,0.4050632911392405,2054,826,2054
leviticus,verse,normalized,token,raw,STRICT,855,4,0.7,,0.7695673310646572,0.4297520661157025,2057,849,2057
leviticus,verse,normalized,token,raw,STRICT,855,5,0.9,,0.7084942084942085,0.43243243243243246,2072,855,2072
numbers,minor,normalized,token,raw,STRICT,2976,1,0.1,,0.6106944897293772,0.36452559504401694,3067,2976,3067
numbers,minor,normalized,token,raw,STRICT,2976,2,0.3,,0.750154990700558,0.4612523248605084,1613,1499,1613
numbers,minor,normalized,token,raw,STRICT,2976,3,0.5,,0.7750621375310688,0.4627174813587407,2414,2158,2414
numbers,minor,normalized,token,raw,STRICT,2976,4,0.7,,0.6844389336639801,0.4172349659020459,1613,1499,1613
numbers,minor,normalized,token,raw,STRICT,2976,5,0.9,,0.6977502445386371,0.439843495272253,3067,2976,3067
numbers,major,normalized,token,raw,STRICT,2213,1,0.1,,0.6016343207354443,0.35274089206673476,2937,2213,2937
numbers,major,normalized,token,raw,STRICT,2213,2,0.3,,0.7085820895522388,0.44104477611940296,2680,1850,2680
numbers,major,normalized,token,raw,STRICT,2213,3,0.5,,0.7407942238267148,0.45126353790613716,2770,1862,2770
numbers,major,normalized,token,raw,STRICT,2213,4,0.7,,0.7227611940298507,0.42723880597014924,2680,1850,2680
numbers,major,normalized,token,raw,STRICT,2213,5,0.9,,0.7129724208375894,0.44058563159686753,2937,2213,2937
numbers,verse,normalized,token,raw,STRICT,1281,1,0.1,,0.6657449014863464,0.39094365710335294,2893,1281,2893
numbers,verse,normalized,token,raw,STRICT,1281,2,0.3,,0.697200138264777,0.4341513999308676,2893,1258,2893
numbers,verse,normalized,token,raw,STRICT,1281,3,0.5,,0.7500873820342537,0.4494931842013282,2861,1205,2861
numbers,verse,normalized,token,raw,STRICT,1281,4,0.7,,0.7065330107155202,0.4220532319391635,2893,1258,2893
numbers,verse,normalized,token,raw,STRICT,1281,5,0.9,,0.7106809540269616,0.43034911856204633,2893,1281,2893
deuteronomy,minor,normalized,token,raw,STRICT,2697,1,0.1,,0.6096333572969087,0.3803019410496046,2782,2697,2782
deuteronomy,minor,normalized,token,raw,STRICT,2697,2,0.3,,0.7184065934065934,0.4223901098901099,1456,1335,1456
deuteronomy,minor,normalized,token,raw,STRICT,2697,3,0.5,,0.6696269982238011,0.4005328596802842,2252,2022,2252
deuteronomy,minor,normalized,token,raw,STRICT,2697,4,0.7,,0.665521978021978,0.39766483516483514,1456,1335,1456
deuteronomy,minor,normalized,token,raw,STRICT,2697,5,0.9,,0.7307692307692307,0.406901509705248,2782,2697,2782
deuteronomy,major,normalized,token,raw,STRICT,1768,1,0.1,,0.6324324324324324,0.37606177606177604,2590,1768,2590
deuteronomy,major,normalized,token,raw,STRICT,1768,2,0.3,,0.7070622649394066,0.40618470539072293,2393,1545,2393
deuteronomy,major,normalized,token,raw,STRICT,1768,3,0.5,,0.6866322887742959,0.4101547005156684,2521,1544,2521
deuteronomy,major,normalized,token,raw,STRICT,1768,4,0.7,,0.6949435854575846,0.4066025908900961,2393,1545,2393
deuteronomy,major,normalized,token,raw,STRICT,1768,5,0.9,,0.7320463320463321,0.40308880308880307,2590,1768,2590
deuteronomy,verse,normalized,token,raw,STRICT,950,1,0.1,,0.6256430550059359,0.3802928373565493,2527,950,2527
deuteronomy,verse,normalized,token,raw,STRICT,950,2,0.3,,0.6704724409448819,0.3921259842519685,2540,941,2540
deuteronomy,verse,normalized,token,raw,STRICT,950,3,0.5,,0.7300395256916996,0.40830039525691697,2530,942,2530
deuteronomy,verse,normalized,token,raw,STRICT,950,4,0.7,,0.7125984251968503,0.41141732283464566,2540,941,2540
deuteronomy,verse,normalized,token,raw,STRICT,950,5,0.9,,0.7119113573407202,0.407202216066482,2527,950,2527
