book,level,coordinate_mode,aggregation,value_mode,equivalence_profile,eligible_segments,bin,normalized_position_midpoint,distance_to_cadence,mean_count,active_rate,n_contributions,n_segments_contributing,n_tokens
genesis,minor,normalized,segment,raw,EXPANDED_ALL,3900,1,0.1,,0.5308333333333334,0.3457051282051282,3900,3900,3962
genesis,minor,normalized,segment,raw,EXPANDED_ALL,3900,2,0.3,,0.7246858832224685,0.44041019955654104,1804,1804,1898
genesis,minor,normalized,segment,raw,EXPANDED_ALL,3900,3,0.5,,0.7316282007119072,0.44921919853025605,2903,2903,3162
genesis,minor,normalized,segment,raw,EXPANDED_ALL,3900,4,0.7,,0.6826496674057649,0.409830007390983,1804,1804,1898
genesis,minor,normalized,segment,raw,EXPANDED_ALL,3900,5,0.9,,0.6572008547008548,0.40284188034188034,3900,3900,3962
genesis,major,normalized,segment,raw,EXPANDED_ALL,2783,1,0.1,,0.5845610252724877,0.3788777099053779,2783,2783,3732
genesis,major,normalized,segment,raw,EXPANDED_ALL,2783,2,0.3,,0.7324449182658137,0.44349680170575695,2345,2345,3333
genesis,major,normalized,segment,raw,EXPANDED_ALL,2783,3,0.5,,0.6541207237772123,0.4005159739892564,2358,2358,3583
genesis,major,normalized,segment,raw,EXPANDED_ALL,2783,4,0.7,,0.64772565742715,0.3947405828002843,2345,2345,3333
genesis,major,normalized,segment,raw,EXPANDED_ALL,2783,5,0.9,,0.6837046352856629,0.40807282309258597,2783,2783,3732
genesis,verse,normalized,segment,raw,EXPANDED_ALL,1526,1,0.1,,0.6744648318042814,0.4246068152031455,1526,1526,3608
genesis,verse,normalized,segment,raw,EXPANDED_ALL,1526,2,0.3,,0.6675340360122969,0.40754281949934124,1518,1518,3611
genesis,verse,normalized,segment,raw,EXPANDED_ALL,1526,3,0.5,,0.6590668431502317,0.3975623207588794,1511,1511,3663
genesis,verse,normalized,segment,raw,EXPANDED_ALL,1526,4,0.7,,0.6637351778656126,0.4073451910408432,1518,1518,3611
genesis,verse,normalized,segment,raw,EXPANDED_ALL,1526,5,0.9,,0.6611730013106161,0.4006443861948449,1526,1526,3608
