book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
exodus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,H_KH,0.061051256937642906,0.0004864511916421792,0.060564805746000726,125.50335570469856,0.024162899191763097,2.506520648260896,0.00796812749003984,0.9960159362549801,0.01593625498007968
exodus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,H_KH,0.053046591967329026,-0.00018466840123313892,0.05323126036856216,-287.25321502274295,0.03091472483587963,1.7218739824195997,0.055776892430278883,0.9482071713147411,0.11155378486055777
exodus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,H_KH,-0.02437662900268689,0.0029875004919271936,-0.027364129494614083,-8.159539745200805,0.02031013638061754,-1.3473139215711196,0.9123505976095617,0.09163346613545817,0.18326693227091634
exodus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,H_KH,0.005136117702005638,0.0008787376689366743,0.004257380033068963,5.844881679216791,0.0006736971234385708,6.31942735830482,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,H_KH,0.1459193420000029,0.052496894440991135,0.09342244755901176,2.7795804600217404,0.0212374636554766,4.398945612082095,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,H_KH,0.061051256937642906,0.0010364566329306752,0.06001480030471223,58.90382192356176,0.024291334400217874,2.470625916053996,0.01195219123505976,0.9920318725099602,0.02390438247011952
exodus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,H_KH,0.053046591967329026,-0.00045760613212445493,0.05350419809945348,-115.92194300600406,0.02945388120152878,1.8165415190401593,0.027888446215139442,0.9760956175298805,0.055776892430278883
exodus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,H_KH,-0.02437662900268689,0.01025756426331658,-0.03463419326600347,-2.3764539394467503,0.019804009261724573,-1.7488475595162114,0.9840637450199203,0.0199203187250996,0.0398406374501992
exodus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,H_KH,0.005136117702005638,0.0009817302008269658,0.004154387501178672,5.231699806809652,0.0006895447028463207,6.024826938746803,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,H_KH,0.1459193420000029,0.05548330896808222,0.09043603303192067,2.6299682681857646,0.019470746488716644,4.644713189827037,0.00398406374501992,1.0,0.00796812749003984
