book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
exodus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,PB,0.06252040483186416,-0.00273587985634998,0.06525628468821414,-22.852028639618158,0.023230709182147667,2.809052628421791,0.00796812749003984,0.9960159362549801,0.01593625498007968
exodus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,PB,0.0540386406249091,-0.0022638696782329307,0.05630251030314203,-23.870031541342566,0.028295298540493393,1.9898185637648433,0.03187250996015936,0.9721115537848606,0.06374501992031872
exodus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,PB,-0.017484872622646086,-0.0027997454182876955,-0.01468512720435839,6.24516518839049,0.021155271878910625,-0.6941592284142553,0.7569721115537849,0.24701195219123506,0.4940239043824701
exodus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,PB,0.004860734034004856,0.0008425351677501603,0.004018198866254695,5.769176433293079,0.0005807321802533642,6.919194428835714,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,PB,0.1422309541473462,0.05065882002825418,0.09157213411909204,2.8076246953249027,0.01848702517788831,4.953319056903665,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,PB,0.06252040483186416,0.0012584612036130195,0.061261943628251145,49.680041508128504,0.024109204165634373,2.5410189074417833,0.00796812749003984,0.9960159362549801,0.01593625498007968
exodus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,PB,0.0540386406249091,-0.0001758051237830748,0.05421444574869218,-307.3780755763817,0.029606717293289096,1.8311535592289685,0.03187250996015936,0.9721115537848606,0.06374501992031872
exodus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,PB,-0.017484872622646086,0.010810730669731306,-0.028295603292377392,-1.6173627071851435,0.019658035060205584,-1.4393912314083275,0.9322709163346613,0.07171314741035857,0.14342629482071714
exodus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,PB,0.004860734034004856,0.001067738211557027,0.0037929958224478286,4.5523649724183795,0.0007458173910612623,5.085689698185473,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,PB,0.1422309541473462,0.056883431056390134,0.08534752309095608,2.5003933747658205,0.01999557690311665,4.268320114217522,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,PB,0.05860267711394057,-0.0013228860594188738,0.059925563173359446,-44.2991115498518,0.011625863504163322,5.154504278490762,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,250,segment,raw,PB,0.05118113343285493,-0.0010321735912254884,0.05221330702408042,-49.58578079108586,0.014412101558245646,3.622879481737168,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,250,segment,raw,PB,0.012575913737010391,-0.0011622858223245794,0.01373819955933497,-10.819983772888564,0.010005183142389983,1.373108254373569,0.09163346613545817,0.9123505976095617,0.18326693227091634
exodus,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,250,segment,raw,PB,0.00422707109222255,0.0005400382832907646,0.003687032808931785,7.827354509877649,0.00036999001655034725,9.965222422238151,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,250,segment,raw,PB,0.07729248348166068,0.02450214183275642,0.052790341648904254,3.1545194705521586,0.009098451939406381,5.802123482156735,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,250,segment,raw,PB,0.05860267711394057,0.0006764609859614756,0.057926216127979095,86.63127413127413,0.012056188816495849,4.804687203365768,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,250,segment,raw,PB,0.05118113343285493,-0.00045521840335150087,0.05163635183620643,-112.43203933768682,0.015206378336796382,3.395703479983582,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,250,segment,raw,PB,0.012575913737010391,0.003422778233829387,0.009153135503181004,3.67418304017334,0.009139435155452083,1.001499036592075,0.1752988047808765,0.8286852589641435,0.350597609561753
exodus,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,250,segment,raw,PB,0.00422707109222255,0.0005795518552910484,0.0036475192369315014,7.293689173162483,0.00040931820579277094,8.911206941960852,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,250,segment,raw,PB,0.07729248348166068,0.02506243045351478,0.0522300530281459,3.083997923705803,0.008971524385783624,5.821759021344268,0.00398406374501992,1.0,0.00796812749003984
exodus,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,PB,0.03640850417615804,5.251328777524478e-05,0.036355990888382796,693.3198380567085,0.027258554504311704,1.3337461046451335,0.09561752988047809,0.9083665338645418,0.19123505976095617
exodus,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,PB,0.053166364172684,0.0006872014934379127,0.052479162679246086,77.36648520174887,0.029327418629981703,1.78942317908594,0.0398406374501992,0.9641434262948207,0.0796812749003984
exodus,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,PB,0.006943048698827448,-0.001683180010078293,0.008626228708905741,-4.124959099594162,0.021938179950173903,0.3932062153058126,0.3545816733067729,0.649402390438247,0.7091633466135459
exodus,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,PB,0.0009844133516587943,0.0006678748488840229,0.00031653850277477136,1.4739488293408374,0.00043291715167922664,0.7311757031269416,0.2151394422310757,0.7888446215139442,0.4302788844621514
exodus,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,PB,0.06572040851129846,0.045363055419201354,0.020357353092097102,1.448765033659532,0.015614928708247586,1.3037109212893578,0.11952191235059761,0.8844621513944223,0.23904382470119523
exodus,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,PB,0.03640850417615804,-0.002850022779043283,0.03925852695520132,-12.774811641463414,0.029592396500489206,1.3266423675606105,0.099601593625498,0.9043824701195219,0.199203187250996
exodus,major,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,PB,0.053166364172684,-0.0031988155530575293,0.05636517972574153,-16.620640762442807,0.03251689940689427,1.7334118797867586,0.043824701195219126,0.9601593625498008,0.08764940239043825
exodus,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,PB,0.006943048698827448,0.006338044121333566,0.0006050045774938818,1.095456037527013,0.02323060321962959,0.026043429512956424,0.47410358565737054,0.5298804780876494,0.9482071713147411
exodus,major,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,PB,0.0009844133516587943,0.0007595465234661918,0.0002248668281926025,1.296054054946394,0.0005021984765801327,0.44776485528968324,0.27091633466135456,0.7330677290836654,0.5418326693227091
exodus,major,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,PB,0.06572040851129846,0.049894000844151874,0.01582640766714658,1.3172006132877918,0.017525173637832965,0.903067096178772,0.19123505976095617,0.8127490039840638,0.38247011952191234
exodus,major,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,PB,0.03596810933940775,-0.0001702961275626378,0.036138405466970384,-211.2092027822422,0.01393502548281211,2.593350511740693,0.00796812749003984,0.9960159362549801,0.01593625498007968
exodus,major,active_rate,robustness,linear_slope,run_preserving_circular_translation,250,segment,raw,PB,0.03808292608424013,0.0004913505634222497,0.037591575520817884,77.50662952127925,0.015127393177674637,2.485000229669208,0.00398406374501992,1.0,0.00796812749003984
exodus,major,active_rate,robustness,cadence_peak,run_preserving_circular_translation,250,segment,raw,PB,0.005876021255164676,-0.0011474392486525136,0.00702346050381719,-5.120986807855088,0.010959220084627484,0.6408722928804952,0.2908366533864542,0.7131474103585658,0.5816733067729084
exodus,major,active_rate,robustness,profile_energy,run_preserving_circular_translation,250,segment,raw,PB,0.0017213792131790565,0.00046086958643072677,0.0012605096267483298,3.7350679321465634,0.00030332652146253795,4.155619563599577,0.00398406374501992,1.0,0.00796812749003984
exodus,major,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,250,segment,raw,PB,0.04792364490015727,0.02279482474807446,0.02512882015208281,2.1023914607724947,0.007941463440770395,3.1642555984171454,0.00398406374501992,1.0,0.00796812749003984
exodus,major,active_rate,robustness,terminal_contrast,within_segment_value_permutation,250,segment,raw,PB,0.03596810933940775,-0.0012968868640850435,0.037264996203492794,-27.734192037470695,0.014143871329630265,2.6347097859569497,0.01195219123505976,0.9920318725099602,0.02390438247011952
exodus,major,active_rate,robustness,linear_slope,within_segment_value_permutation,250,segment,raw,PB,0.03808292608424013,-0.0011316966608541951,0.039214622745094324,-33.6511782720075,0.015486290547828857,2.532215356800995,0.00796812749003984,0.9960159362549801,0.01593625498007968
exodus,major,active_rate,robustness,cadence_peak,within_segment_value_permutation,250,segment,raw,PB,0.005876021255164676,-0.0009785257566888848,0.0068545470118535606,-6.004973517557509,0.010436020041110723,0.6568161985940398,0.28286852589641437,0.7211155378486056,0.5657370517928287
exodus,major,active_rate,robustness,profile_energy,within_segment_value_permutation,250,segment,raw,PB,0.0017213792131790565,0.0004283502053783817,0.0012930290078006748,4.01862586165561,0.0002864463061385554,4.51403624376022,0.00796812749003984,0.9960159362549801,0.01593625498007968
exodus,major,active_rate,robustness,profile_amplitude,within_segment_value_permutation,250,segment,raw,PB,0.04792364490015727,0.022022586013826572,0.025901058886330697,2.176113416928833,0.007753574179538684,3.340531513154587,0.01195219123505976,0.9920318725099602,0.02390438247011952
exodus,verse,mean_count,exploratory,terminal_contrast,run_preserving_circular_translation,250,segment,raw,PB,0.01648349100352431,-0.0021078464106844773,0.018591337414208785,-7.82006265730322,0.026799313873426336,0.6937243804828743,0.2589641434262948,0.7450199203187251,0.5179282868525896
exodus,verse,mean_count,exploratory,linear_slope,run_preserving_circular_translation,250,segment,raw,PB,0.04329624648475805,-0.002603322070290572,0.04589956855504862,-16.631152548837534,0.030532700846006688,1.5032921190478874,0.0796812749003984,0.9243027888446215,0.1593625498007968
exodus,verse,mean_count,exploratory,cadence_peak,run_preserving_circular_translation,250,segment,raw,PB,-0.0011014457176126147,-0.0022070240920975745,0.0011055783744849598,0.4990637490349239,0.02197624707926364,0.05030787879738402,0.4581673306772908,0.545816733067729,0.9163346613545816
exodus,verse,mean_count,exploratory,profile_energy,run_preserving_circular_translation,250,segment,raw,PB,0.000905853234350281,0.0007016846850700567,0.0002041685492802243,1.290969082872088,0.0005120503202869345,0.3987275101513766,0.2589641434262948,0.7450199203187251,0.5179282868525896
