book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
leviticus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,QK,0.05924721189591087,0.0015170384138785652,0.0577301734820323,39.05452317745558,0.032654821259313294,1.7678912716622943,0.04780876494023904,0.9561752988047809,0.09561752988047809
leviticus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,QK,0.09887425152295047,0.0006283437751839269,0.09824590774776655,157.35693648593607,0.03668790319394071,2.677882876773198,0.00796812749003984,0.9960159362549801,0.01593625498007968
leviticus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,QK,0.03426012881170881,-0.0010047961744987796,0.03526492498620759,-34.0965955894475,0.026092684116954094,1.3515253865083854,0.09561752988047809,0.9083665338645418,0.19123505976095617
leviticus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,QK,0.0028004330226740087,0.0011998540299587458,0.001600578992715263,2.3339780946273065,0.0008902636158056704,1.797870837692015,0.08366533864541832,0.9203187250996016,0.16733067729083664
leviticus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,QK,0.0901515151515151,0.06341860584685864,0.026732909304656452,1.4215310151915084,0.024441095573127753,1.0937688625565738,0.12749003984063745,0.8764940239043825,0.2549800796812749
leviticus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,QK,0.05924721189591087,0.0005588599752168468,0.05868835192069402,106.01441241685268,0.030335021232689725,1.9346731775961339,0.02390438247011952,0.9800796812749004,0.04780876494023904
leviticus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,QK,0.09887425152295047,0.0001016921430490211,0.09877255937990145,972.2899779512734,0.036032955138687865,2.7411728790973164,0.00398406374501992,1.0,0.00796812749003984
leviticus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,QK,0.03426012881170881,0.019054678721732617,0.015205450089976195,1.797990368246607,0.025220953353352338,0.6028895845824601,0.23904382470119523,0.7649402390438247,0.47808764940239046
leviticus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,QK,0.0028004330226740087,0.0023554403957379397,0.000444992626936069,1.1889212003586516,0.0014123426639933408,0.31507412349767205,0.2788844621513944,0.7250996015936255,0.5577689243027888
leviticus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,QK,0.0901515151515151,0.08634365357896955,0.0038078615725455484,1.044101232860883,0.02819311072123366,0.13506354833266607,0.3904382470119522,0.6135458167330677,0.7808764940239044
leviticus,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,QK,0.02811338289962828,0.0005133209417596028,0.02760006195786868,54.767652383826324,0.01390311517911927,1.9851710643468234,0.02390438247011952,0.9800796812749004,0.04780876494023904
