book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
exodus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,TRADITION,0.061051256937642795,0.0005793883991729274,0.06047186853846987,105.37190082644562,0.027717757187117793,2.1817013595376684,0.01195219123505976,0.9960159362549801,0.02390438247011952
exodus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,TRADITION,0.05431885659837221,-0.0008739618976888183,0.05519281849606103,-62.15243106366282,0.03257871895071683,1.6941371629606885,0.043824701195219126,0.9601593625498008,0.08764940239043825
exodus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,TRADITION,-0.024147588986533908,-0.0003067394692038219,-0.023840849517330086,78.72344908600056,0.02320306064369156,-1.027487273486566,0.852589641434263,0.15139442231075698,0.30278884462151395
exodus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,TRADITION,0.005054406293340344,0.0009042933403988444,0.0041501129529415,5.589343709101148,0.0006422284304174542,6.462051127577597,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,TRADITION,0.14507047115191984,0.054187032991791846,0.090883438160128,2.677217465918366,0.020541716708936612,4.424335095644145,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,TRADITION,0.061051256937642795,0.001033844814452054,0.06001741212319074,59.052631578947796,0.02429487968807165,2.470372889010774,0.01195219123505976,0.9920318725099602,0.02390438247011952
exodus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,TRADITION,0.05431885659837221,-0.0004907523017481149,0.05480960890012033,-110.6848738251096,0.029448786551826672,1.861183950777101,0.02390438247011952,0.9800796812749004,0.04780876494023904
exodus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,TRADITION,-0.024147588986533908,0.010273058282574559,-0.03442064726910847,-2.3505745146500048,0.019785363814491756,-1.739702519086211,0.9800796812749004,0.02390438247011952,0.04780876494023904
exodus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,TRADITION,0.005054406293340344,0.0009837765375560138,0.00407062975578433,5.1377585258304235,0.0006890622567044789,5.90749198084451,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,TRADITION,0.14507047115191984,0.05562214752218596,0.08944832362973389,2.608142216983904,0.01949687155842312,4.587829558280598,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,TRADITION,0.05697029056480574,0.00047535096310806436,0.05649493960169767,119.84890109890098,0.013562350431721453,4.165571438823737,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,250,segment,raw,TRADITION,0.050343912278122134,-1.2138434686677088e-05,0.05035605071280881,-4147.479767995015,0.01606132920840217,3.135235574803238,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,250,segment,raw,TRADITION,0.008061149130194234,-0.00016124250687220743,0.008222391637066442,-49.99394568197261,0.010738717551762816,0.7656772419455891,0.2350597609561753,0.7689243027888446,0.4701195219123506
exodus,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,250,segment,raw,TRADITION,0.004183976475354012,0.0005460130531351915,0.003637963422218821,7.662777384770818,0.00036886539410723937,9.862577190315566,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,250,segment,raw,TRADITION,0.07738999395788188,0.025229450997188846,0.05216054296069303,3.067446610966879,0.009094290011189839,5.73552667624558,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,250,segment,raw,TRADITION,0.05697029056480574,0.0005804766568723465,0.05638981390793339,98.14398200224986,0.012023930490136503,4.689798727145937,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,250,segment,raw,TRADITION,0.050343912278122134,-0.0006835182540691283,0.05102743053219126,-73.6540860151345,0.015131928915282297,3.3721695903988,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,250,segment,raw,TRADITION,0.008061149130194234,0.0027974547043239538,0.00526369442587028,2.8816013062639847,0.00908135408527303,0.5796155921732269,0.33067729083665337,0.6733067729083665,0.6613545816733067
exodus,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,250,segment,raw,TRADITION,0.004183976475354012,0.0005145134571444592,0.0036694630182095528,8.131908732912468,0.0003589984894745718,10.22138846205219,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,250,segment,raw,TRADITION,0.07738999395788188,0.02404247593711905,0.053347518020762826,3.2188861979227306,0.008438895873485397,6.3216229730216424,0.00398406374501992,1.0,0.00796812749003984
exodus,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,TRADITION,0.03356112376613518,-0.0024650569476081987,0.03602618071374338,-13.614745817007979,0.0274856152473014,1.3107285534487176,0.08366533864541832,0.9203187250996016,0.16733067729083664
exodus,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,TRADITION,0.04569417917693941,-0.003466481300569809,0.04916066047750922,-13.181718063625022,0.03161487102554611,1.5549853243995648,0.07171314741035857,0.9322709163346613,0.14342629482071714
exodus,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,TRADITION,5.277405513037792e-06,-0.0017241934474189135,0.0017294708529319513,-0.0030607966414313735,0.02086724571749233,0.08287968984244971,0.4541832669322709,0.549800796812749,0.9083665338645418
exodus,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,TRADITION,0.0010438860788412945,0.0006731090078165237,0.0003707770710247709,1.5508425332585023,0.0004731911285141275,0.7835672494305883,0.20717131474103587,0.796812749003984,0.41434262948207173
exodus,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,TRADITION,0.06813964815735862,0.04634609102103513,0.021793557136323492,1.470235065270813,0.01709799178308104,1.274626717149838,0.11952191235059761,0.8844621513944223,0.23904382470119523
exodus,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,TRADITION,0.03356112376613518,-0.0030547304479878502,0.03661585421412303,-10.986607276017391,0.029969159135042667,1.2217845035000812,0.11952191235059761,0.8844621513944223,0.23904382470119523
exodus,major,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,TRADITION,0.04569417917693941,-0.0033625296489605775,0.049056708825899985,-13.589227143637041,0.032891210383083194,1.4914838418695326,0.05976095617529881,0.9442231075697212,0.11952191235059761
exodus,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,TRADITION,5.277405513037792e-06,0.00589946630209119,-0.005894188896578152,0.000894556429819271,0.023409712732030557,-0.251783905426288,0.601593625498008,0.40239043824701193,0.8047808764940239
exodus,major,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,TRADITION,0.0010438860788412945,0.0007424895434194023,0.00030139653542189226,1.4059269764714324,0.0005075675090322974,0.5938058091947604,0.23107569721115537,0.7729083665338645,0.46215139442231074
exodus,major,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,TRADITION,0.06813964815735862,0.04992818602120372,0.018211462136154905,1.364753130194251,0.018260397653946256,0.9973201285799613,0.16334661354581673,0.8406374501992032,0.32669322709163345
exodus,major,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,TRADITION,0.033120728929385,-0.0017587243735763115,0.034879453302961314,-18.832245363174803,0.013123159599511687,2.6578548434524243,0.00398406374501992,1.0,0.00796812749003984
