book,level,coordinate_mode,aggregation,value_mode,equivalence_profile,eligible_segments,bin,normalized_position_midpoint,distance_to_cadence,mean_count,active_rate,n_contributions,n_segments_contributing,n_tokens
numbers,minor,normalized,segment,raw,TRADITION,2976,1,0.1,,0.6171594982078853,0.36861559139784944,2976,2976,3067
numbers,minor,normalized,segment,raw,TRADITION,2976,2,0.3,,0.7649544140538137,0.46920169001556594,1499,1499,1613
numbers,minor,normalized,segment,raw,TRADITION,2976,3,0.5,,0.7789620018535681,0.4652455977757183,2158,2158,2414
numbers,minor,normalized,segment,raw,TRADITION,2976,4,0.7,,0.6721147431621081,0.417500555926173,1499,1499,1613
numbers,minor,normalized,segment,raw,TRADITION,2976,5,0.9,,0.6976366487455197,0.44024417562724016,2976,2976,3067
numbers,major,normalized,segment,raw,TRADITION,2213,1,0.1,,0.6128558517849073,0.3515213134508209,2213,2213,2937
numbers,major,normalized,segment,raw,TRADITION,2213,2,0.3,,0.7247747747747747,0.45180180180180185,1850,1850,2680
numbers,major,normalized,segment,raw,TRADITION,2213,3,0.5,,0.768796992481203,0.46271929824561403,1862,1862,2770
numbers,major,normalized,segment,raw,TRADITION,2213,4,0.7,,0.7214864864864865,0.4304504504504505,1850,1850,2680
numbers,major,normalized,segment,raw,TRADITION,2213,5,0.9,,0.7192348245217653,0.44697996686247926,2213,2213,2937
numbers,verse,normalized,segment,raw,TRADITION,1281,1,0.1,,0.7377049180327869,0.41312776476710905,1281,1281,2893
numbers,verse,normalized,segment,raw,TRADITION,1281,2,0.3,,0.7518018018018018,0.46755431902490724,1258,1258,2893
numbers,verse,normalized,segment,raw,TRADITION,1281,3,0.5,,0.8044260027662518,0.4757399723374827,1205,1205,2861
numbers,verse,normalized,segment,raw,TRADITION,1281,4,0.7,,0.7439321674615792,0.4313990461049285,1258,1258,2893
numbers,verse,normalized,segment,raw,TRADITION,1281,5,0.9,,0.6971636742128545,0.42671090294041114,1281,1281,2893
