book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
exodus,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,TS_S,0.05827619980411369,0.0005463053651104551,0.05772989443900324,106.67330677290911,0.02284638554161179,2.5268721099823677,0.01195219123505976,0.9920318725099602,0.02390438247011952
exodus,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,TS_S,0.05297509717476672,0.0006622934906405639,0.052312803684126157,79.98734386401672,0.027052491481675843,1.9337517847315664,0.0398406374501992,0.9641434262948207,0.0796812749003984
exodus,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,TS_S,-0.02301187572737662,-0.0010176266815103618,-0.021994249045866256,22.613278666418598,0.020537855340635295,-1.0709126479408686,0.8605577689243028,0.14342629482071714,0.2868525896414343
exodus,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,TS_S,0.004917739180383601,0.0008065741188012832,0.004111165061582318,6.097070394091324,0.0005739628747727874,7.162771744095452,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,TS_S,0.14314473250446702,0.049972144672262034,0.09317258783220499,2.86449047650985,0.01894482325239955,4.918102776197912,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,TS_S,0.05827619980411369,0.0010247034497769087,0.05725149635433678,56.871282922684784,0.024168990501034215,2.3687996547430035,0.01195219123505976,0.9920318725099602,0.02390438247011952
exodus,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,TS_S,0.05297509717476672,-0.00045027534581257246,0.053425372520579294,-117.6504502576467,0.029691027698768944,1.799377679432579,0.03187250996015936,0.9721115537848606,0.06374501992031872
exodus,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,TS_S,-0.02301187572737662,0.010868646260682865,-0.033880521988059485,-2.117271569562593,0.019652031799340556,-1.7240213293974205,0.9800796812749004,0.02390438247011952,0.04780876494023904
exodus,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,TS_S,0.004917739180383601,0.0010681116265566233,0.0038496275538269778,4.604143479120625,0.0007387991767829683,5.2106549043406085,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,TS_S,0.14314473250446702,0.05719034899609029,0.08595438350837672,2.502952596324475,0.02007537656045954,4.28158262683214,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,TS_S,0.057296767874632726,-8.901947981281832e-05,0.05738578735444554,-643.643031784851,0.011109770094184606,5.165344275169479,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,250,segment,raw,TS_S,0.05210168729787278,0.00044681597396156665,0.051654871323911215,116.60659048495515,0.013586522005148318,3.8019201164461163,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,250,segment,raw,TS_S,0.009541222295974983,-0.00014222109073461198,0.009683443386709595,-67.08725299948047,0.009380941474762025,1.0322464341944146,0.14342629482071714,0.8605577689243028,0.2868525896414343
exodus,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,250,segment,raw,TS_S,0.004282104328701822,0.0004874261173508882,0.003794678211350934,8.785135174895075,0.00034937674017197843,10.861278886176075,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,250,segment,raw,TS_S,0.0791858429809269,0.023194719434272808,0.055991123546654094,3.4139599405509906,0.008973371134878038,6.239697735116034,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,250,segment,raw,TS_S,0.057296767874632726,0.0005667646098596137,0.056730003264773114,101.09447004608315,0.01206823067192781,4.70077220157335,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,250,segment,raw,TS_S,0.05210168729787278,-0.0006094440415398752,0.05271113133941266,-85.4905188115845,0.015182891413416505,3.471745262752388,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,250,segment,raw,TS_S,0.009541222295974983,0.0034914548325602804,0.006049767463414702,2.7327354222074853,0.009199834041626321,0.657595282267205,0.2788844621513944,0.7250996015936255,0.5577689243027888
exodus,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,250,segment,raw,TS_S,0.004282104328701822,0.000582703668381359,0.003699400660320463,7.348682634170986,0.0004117267794905548,8.98508633540396,0.00398406374501992,1.0,0.00796812749003984
exodus,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,250,segment,raw,TS_S,0.0791858429809269,0.025242497237549625,0.05394334574337728,3.1370051162423636,0.00906058158898649,5.953629489849486,0.00398406374501992,1.0,0.00796812749003984
exodus,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,TS_S,0.032687927107061476,-0.0006799392558845825,0.03336786636294606,-48.07477553937575,0.028358443554479345,1.1766466061102092,0.10358565737051793,0.900398406374502,0.20717131474103587
exodus,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,TS_S,0.05213816160419537,-0.0015598246128413298,0.0536979862170367,-33.42565643275884,0.0338031228619628,1.588551047082716,0.05976095617529881,0.9442231075697212,0.11952191235059761
exodus,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,TS_S,0.002835468486703907,-0.0017762479095359835,0.004611716396239891,-1.596324742442415,0.023248662041684718,0.1983648086058075,0.42231075697211157,0.5816733067729084,0.8446215139442231
exodus,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,TS_S,0.001133044007154573,0.0007061246681128219,0.00042691933904175116,1.6045948517600006,0.0004910080440635194,0.8694752442518491,0.20717131474103587,0.796812749003984,0.41434262948207173
exodus,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,TS_S,0.0704248724836517,0.046937118072759194,0.023487754410892507,1.5004089593758858,0.017028893889050777,1.3792883180741788,0.11155378486055777,0.8924302788844621,0.22310756972111553
exodus,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,TS_S,0.032687927107061476,-0.002530205011389524,0.035218132118451,-12.919082430047872,0.02949589491289182,1.1940011388858778,0.11155378486055777,0.8924302788844621,0.22310756972111553
exodus,major,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,TS_S,0.05213816160419537,-0.002886988058115248,0.05502514966231062,-18.05970809530589,0.03251387780769535,1.6923588748090614,0.043824701195219126,0.9601593625498008,0.08764940239043825
exodus,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,TS_S,0.002835468486703907,0.007024361610893333,-0.004188893124189426,0.4036620897060142,0.023090559427284347,-0.1814115044453939,0.5657370517928287,0.43824701195219123,0.8764940239043825
exodus,major,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,TS_S,0.001133044007154573,0.0007533126302016615,0.0003797313769529116,1.5040820526947194,0.0004998983612601967,0.7596171669689906,0.199203187250996,0.8047808764940239,0.398406374501992
exodus,major,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,TS_S,0.0704248724836517,0.04992929622775649,0.02049557625589521,1.4104919917637733,0.01764316516257662,1.161672300124975,0.15139442231075698,0.852589641434263,0.30278884462151395
exodus,major,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,TS_S,0.03475322703113137,8.294608959756933e-05,0.03467028094153381,418.9857195166653,0.013861998455088448,2.5011026407095778,0.00796812749003984,0.9960159362549801,0.01593625498007968
exodus,major,active_rate,robustness,linear_slope,run_preserving_circular_translation,250,segment,raw,TS_S,0.038865611953834193,-4.567993089921777e-05,0.03891129188473341,-850.8246660789001,0.016177028501096924,2.4053423582764246,0.01195219123505976,0.9920318725099602,0.02390438247011952
exodus,major,active_rate,robustness,cadence_peak,run_preserving_circular_translation,250,segment,raw,TS_S,0.0035411261243616377,-0.00022628493701086461,0.003767411061372502,-15.648969706682763,0.011152431979676154,0.337810718616183,0.3665338645418327,0.6374501992031872,0.7330677290836654
exodus,major,active_rate,robustness,profile_energy,run_preserving_circular_translation,250,segment,raw,TS_S,0.0018978199309674787,0.0004595341590703266,0.0014382857718971522,4.1298778197619,0.0003374002301224837,4.262847631654024,0.00796812749003984,0.9960159362549801,0.01593625498007968
