book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
deuteronomy,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,1000,segment,raw,STRICT,0.11716722284019288,-0.0004771350883697918,0.11764435792856266,-245.56404610801818,0.02829321191696273,4.158041804296914,0.000999000999000999,1.0,0.001998001998001998
deuteronomy,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,1000,segment,raw,STRICT,0.08570654868288947,-0.0008503560621525617,0.08655690474504203,-100.7890135644296,0.03606479903430537,2.400038460292204,0.00999000999000999,0.991008991008991,0.01998001998001998
deuteronomy,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,1000,segment,raw,STRICT,0.06549365607547131,-0.0005858135633637725,0.06607946963883508,-111.79948736489347,0.023825366204604775,2.773492296880783,0.003996003996003996,0.997002997002997,0.007992007992007992
deuteronomy,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,1000,segment,raw,STRICT,0.003995495834838471,0.0010616896746641021,0.0029338061601743687,3.7633368112980543,0.0007580804615624203,3.870045871024997,0.002997002997002997,0.998001998001998,0.005994005994005994
deuteronomy,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,1000,segment,raw,STRICT,0.11716722284019288,0.058324173378888726,0.05884304946130415,2.0088964155401685,0.022063998464548328,2.666925922599711,0.008991008991008992,0.9920079920079921,0.017982017982017984
deuteronomy,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,1000,segment,raw,STRICT,0.11716722284019288,0.0002074527252502769,0.1169597701149426,564.789991063453,0.02709234898573508,4.317077495809809,0.000999000999000999,1.0,0.001998001998001998
deuteronomy,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,1000,segment,raw,STRICT,0.08570654868288947,-0.00034441993392575455,0.08605096861681523,-248.84317149124402,0.03452183696211513,2.4926532360154843,0.004995004995004995,0.996003996003996,0.00999000999000999
deuteronomy,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,1000,segment,raw,STRICT,0.06549365607547131,-0.0035513657112317674,0.06904502178670308,-18.441822498971888,0.022216494927944613,3.1078269551807676,0.003996003996003996,0.997002997002997,0.007992007992007992
deuteronomy,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,1000,segment,raw,STRICT,0.003995495834838471,0.0008956981814359085,0.0030997976534025626,4.46076135650206,0.0006413606193424178,4.833158694060077,0.003996003996003996,0.997002997002997,0.007992007992007992
deuteronomy,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,1000,segment,raw,STRICT,0.11716722284019288,0.052848121756362686,0.06431910108383018,2.217055572577401,0.020109668572757113,3.198416764111383,0.003996003996003996,0.997002997002997,0.007992007992007992
deuteronomy,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,1000,segment,raw,STRICT,0.025398591027067097,2.020763811642673e-05,0.02537838338895067,1256.8807339448867,0.013217500664559281,1.9200591725331968,0.03296703296703297,0.9690309690309691,0.06593406593406594
deuteronomy,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,1000,segment,raw,STRICT,0.012726930602597664,-0.0005108160822331364,0.0132377466848308,-24.91489803327902,0.016970614442956385,0.780039327941075,0.2127872127872128,0.7882117882117882,0.4255744255744256
deuteronomy,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,1000,segment,raw,STRICT,0.005345383796819925,-3.3312328452796694e-05,0.0053786961252727215,-160.46262885508864,0.010855757928150918,0.49546942377231923,0.28771228771228774,0.7132867132867133,0.5754245754245755
deuteronomy,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,1000,segment,raw,STRICT,0.0011631334235028467,0.0006285950839811525,0.0005345383395216943,1.8503699012983716,0.0004495752667021417,1.1889852025063543,0.11188811188811189,0.8891108891108891,0.22377622377622378
deuteronomy,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,1000,segment,raw,STRICT,0.04262038969641674,0.02622786511595836,0.016392524580458378,1.6250041514238358,0.009899702692417524,1.6558602909372115,0.059940059940059943,0.9410589410589411,0.11988011988011989
deuteronomy,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,1000,segment,raw,STRICT,0.025398591027067097,-1.5449264615006286e-05,0.025414040291682104,-1643.9999999997906,0.013115433228255398,1.9377202300059024,0.026973026973026972,0.975024975024975,0.053946053946053944
deuteronomy,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,1000,segment,raw,STRICT,0.012726930602597664,-0.0005590822234165046,0.013286012826014168,-22.763969358253707,0.016074350322960753,0.8265349802060928,0.20679320679320679,0.7942057942057942,0.41358641358641357
deuteronomy,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,1000,segment,raw,STRICT,0.005345383796819925,-0.001798190210466165,0.00714357400728609,-2.9726464785025057,0.010810361620300274,0.6608080523293046,0.26573426573426573,0.7352647352647352,0.5314685314685315
deuteronomy,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,1000,segment,raw,STRICT,0.0011631334235028467,0.0006091763464783521,0.0005539570770244946,1.9093542128267456,0.00043872782758905325,1.262644040768196,0.11688311688311688,0.8841158841158842,0.23376623376623376
deuteronomy,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,1000,segment,raw,STRICT,0.04262038969641674,0.025778053611100287,0.01684233608531645,1.6533594948403696,0.009757686064547633,1.7260584091252236,0.057942057942057944,0.9430569430569431,0.11588411588411589
deuteronomy,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,1000,segment,raw,STRICT,0.0772907239819004,0.0003653092006033152,0.07692541478129708,211.5761767134616,0.03185812126539185,2.4146249598485516,0.007992007992007992,0.993006993006993,0.015984015984015984
deuteronomy,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,1000,segment,raw,STRICT,0.06369849097219166,0.00041294134731313106,0.06328554962487852,154.2555410996164,0.03674582608651523,1.7222513783164801,0.04695304695304695,0.954045954045954,0.0939060939060939
deuteronomy,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,1000,segment,raw,STRICT,0.04982775709931708,0.00011371216659558392,0.049714044932721496,438.1919594983091,0.025865291367678678,1.9220369191295588,0.027972027972027972,0.973026973026973,0.055944055944055944
deuteronomy,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,1000,segment,raw,STRICT,0.0013762264880790944,0.0009252929419897638,0.0004509335460893306,1.487341387387692,0.0006469827252387663,0.6969792677585254,0.19880119880119881,0.8021978021978022,0.39760239760239763
deuteronomy,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,1000,segment,raw,STRICT,0.0772907239819004,0.05438322382326095,0.022907500158639453,1.4212236522256592,0.020167953612434793,1.1358366148023844,0.12987012987012986,0.8711288711288712,0.2597402597402597
deuteronomy,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,1000,segment,raw,STRICT,0.0772907239819004,-0.0009422417043740555,0.07823296568627446,-82.02855342010756,0.030663353225638713,2.551350633787211,0.006993006993006993,0.994005994005994,0.013986013986013986
deuteronomy,major,mean_count,secondary,linear_slope,within_segment_value_permutation,1000,segment,raw,STRICT,0.06369849097219166,-0.0004637357712564715,0.06416222674344813,-137.35945105033286,0.03431698446688194,1.869693032188441,0.03296703296703297,0.968031968031968,0.06593406593406594
deuteronomy,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,1000,segment,raw,STRICT,0.04982775709931708,0.002533559141276319,0.04729419795804076,19.667098465368994,0.02528121607233603,1.870724803060104,0.028971028971028972,0.972027972027972,0.057942057942057944
