book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,1.3305122248036287,0.7645821440424826,0.5659300807611461,1.740182183393628,0.0062916842557024346,89.94890044716063,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.5649408120367297,0.44926872441641774,0.115672087620312,1.2574674828980483,0.002658354461121117,43.512665188948965,0.00398406374501992,1.0,0.00796812749003984
exodus,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,1.4998627881448958,0.8847008781558727,0.6151619099890231,1.695333219597686,0.007417584559135226,82.93291503248348,0.00398406374501992,1.0,0.00796812749003984
exodus,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.5928238199780461,0.48173984632272226,0.11108397365532385,1.2305891333325738,0.002661788334495302,41.73283510778716,0.00398406374501992,1.0,0.00796812749003984
leviticus,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,1.6373711841337741,0.8956367878670037,0.7417343962667704,1.8281642807831082,0.009276169775260783,79.96127865673068,0.00398406374501992,1.0,0.00796812749003984
leviticus,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.6194827921446626,0.495075636787867,0.12440715535679564,1.251289189191312,0.0033477001219320234,37.161977126254016,0.00398406374501992,1.0,0.00796812749003984
numbers,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,1.6494137237216402,0.9780717407895649,0.6713419829320753,1.6863933952228525,0.008730962538166695,76.89209293904975,0.00398406374501992,1.0,0.00796812749003984
numbers,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.6254076181225283,0.5042714216332478,0.12113619648928053,1.24022022921097,0.002609106471626513,46.42823043314304,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,1.5665348101265824,1.066881329113924,0.4996534810126583,1.4683308887105888,0.009167526667814788,54.502539138155335,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.5888449367088607,0.5304949367088608,0.0583499999999999,1.109991624730667,0.002856273507495986,20.428715893931912,0.00398406374501992,1.0,0.00796812749003984
