book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,STRICT,burst_clustering,primary,active_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.041878744052657096,-0.0006422898677890123,0.04252103392044611,-65.20224925362511,0.00750187272479597,5.668055894883575,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,active_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.03685802990836385,-0.000661892074021721,0.03751992198238557,-55.685860814756175,0.007090095260925276,5.291878402419254,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,count_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.16096659222486892,0.0003335319309541702,0.16063306029391475,482.6122397468054,0.007260194654387513,22.125172662807362,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,count_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.14888654326706136,-0.0007560269507229993,0.14964257021778435,-196.9328515665732,0.00756275658333035,19.786775968384728,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,count_lag5_corr,shuffle_observed_thresholded_arrival_stream,250,0.14307998052185755,-0.00023380646825347284,0.14331378699011102,-611.9590342844688,0.00789102092801118,18.161628045033105,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,adjacent_active_ratio,shuffle_observed_thresholded_arrival_stream,250,1.0322098755957563,0.9995073965471623,0.032702479048594024,1.0327185963421242,0.005775809195741579,5.66197357639603,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,run_count,shuffle_observed_thresholded_arrival_stream,250,4258.0,4446.42,-188.42000000000007,0.9576243359826557,33.35019640122079,-5.649741840593865,1.0,0.00398406374501992,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,mean_run_length,shuffle_observed_thresholded_arrival_stream,250,2.3985439173320806,2.2970334352653983,0.10151048206668234,1.0441919915088018,0.017254695908747175,5.883064100551442,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,descriptive,max_run_length,shuffle_observed_thresholded_arrival_stream,250,33.0,16.18,16.82,2.03955500618047,2.14,7.859813084112149,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,mean_run_intensity,shuffle_observed_thresholded_arrival_stream,250,5.6488961953969,5.409825244143603,0.23907095125329736,1.044191991508802,0.04063714879987231,5.883064100551477,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,fano_w5,shuffle_observed_thresholded_arrival_stream,250,3.9763302839237897,2.482546572490953,1.4937837114328367,1.6017142751662439,0.05407375598030847,27.624929771418394,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,primary,fano_w10,shuffle_observed_thresholded_arrival_stream,250,5.667659398990893,2.4886872268429476,3.1789721721479456,2.2773691036220196,0.0784309568066675,40.53211004404957,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,fano_w20,shuffle_observed_thresholded_arrival_stream,250,8.606701735188002,2.4821946683382916,6.124507066849711,3.4673758045535443,0.11782516008131201,51.97962016451447,0.00398406374501992,1.0,0.00796812749003984
