book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.4124696266843384,0.2679991164126353,0.1444705102717031,1.5390708454772046,0.003734386220578973,38.68654759798911,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.2632538104705103,0.21302827479567044,0.05022553567483984,1.2357693396475866,0.002506206905685068,20.04045857543065,0.00398406374501992,1.0,0.00796812749003984
exodus,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.4750787347665343,0.30486238532110094,0.17021634944543335,1.5583383114520684,0.004282445657682552,39.74746279385271,0.00398406374501992,1.0,0.00796812749003984
exodus,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.28905929070245107,0.23417088867588662,0.05488840202656445,1.2343946437447009,0.0025287699267571673,21.705573704347234,0.00398406374501992,1.0,0.00796812749003984
leviticus,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.4669445521519969,0.2967266382318728,0.1702179139201241,1.5736522845889884,0.005225164008612829,32.57656862818998,0.00398406374501992,1.0,0.00796812749003984
leviticus,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.28082590151221404,0.2316614967041489,0.04916440480806514,1.2122251885079212,0.00321821348865684,15.276924598493462,0.00398406374501992,1.0,0.00796812749003984
numbers,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.4904105795194904,0.3434485910129475,0.1469619885065429,1.4279009795122515,0.004677113946217229,31.42151125597513,0.00398406374501992,1.0,0.00796812749003984
numbers,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.3081077338503081,0.25672754967804473,0.051380184172263366,1.2001350623908416,0.0026278207914377165,19.552392742943695,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.525019731649566,0.3369670086819258,0.18805272296764014,1.5580745833345047,0.005004111659731818,37.57964165366332,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.2950276243093923,0.25238326756116813,0.042644356748224144,1.1689666559923144,0.0028200326485796835,15.12193724767764,0.00398406374501992,1.0,0.00796812749003984
