book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,STRICT,boundary_alignment,secondary,run_contained_minor,run_preserving_circular_translation,500,0.9116790682626982,0.9033943707538014,0.008284697508896821,1.0091706322035014,0.004024284994055182,2.0586756457694406,0.015968063872255488,0.9860279441117764,0.031936127744510975
genesis,STRICT,boundary_alignment,secondary,run_contained_major,run_preserving_circular_translation,500,0.9553542542866387,0.9472986088644452,0.008055645422193503,1.008503807930057,0.003420968592291911,2.3547849694803964,0.013972055888223553,0.9900199600798403,0.027944111776447105
genesis,STRICT,boundary_alignment,secondary,run_contained_verse,run_preserving_circular_translation,500,0.9773536072468457,0.9725635716596571,0.004790035587188601,1.004925164510341,0.002615601121149378,1.831332594430036,0.03792415169660679,0.9800399201596807,0.07584830339321358
genesis,STRICT,boundary_alignment,primary,run_ends_minor_boundary,run_preserving_circular_translation,500,0.3338725331607894,0.316747978000647,0.017124555160142385,1.0540636605424751,0.0081709327663968,2.095789507725191,0.017964071856287425,0.9880239520958084,0.03592814371257485
genesis,STRICT,boundary_alignment,primary,run_ends_major_boundary,run_preserving_circular_translation,500,0.1769653833710773,0.16517502426399225,0.011790359107085063,1.0713810042385163,0.006663747070580391,1.7693287248458187,0.04590818363273453,0.9600798403193613,0.09181636726546906
genesis,STRICT,boundary_alignment,primary,run_ends_verse_boundary,run_preserving_circular_translation,500,0.09349725008087997,0.0843202846975089,0.00917696538337108,1.1088346109870546,0.004648070644897053,1.9743601344454897,0.01996007984031936,0.9840319361277445,0.03992015968063872
genesis,STRICT,boundary_alignment,secondary,run_starts_after_minor_boundary,run_preserving_circular_translation,500,0.27984471044969267,0.3174526043351666,-0.03760789388547392,0.8815322559276676,0.008485708471844098,-4.431909723302224,1.0,0.001996007984031936,0.003992015968063872
genesis,STRICT,boundary_alignment,secondary,run_starts_after_major_boundary,run_preserving_circular_translation,500,0.13717243610482044,0.16540925266903914,-0.028236816564218697,0.8292911907369739,0.006573503961780858,-4.295550246625079,1.0,0.001996007984031936,0.003992015968063872
genesis,STRICT,boundary_alignment,secondary,run_starts_after_verse_boundary,run_preserving_circular_translation,500,0.0663215787770948,0.08439663539307668,-0.018075056615981883,0.785832023613294,0.004584827134982537,-3.9423638195795854,1.0,0.001996007984031936,0.003992015968063872
exodus,STRICT,boundary_alignment,secondary,run_contained_minor,run_preserving_circular_translation,500,0.8993808049535603,0.8901640866873065,0.00921671826625381,1.010353954292352,0.004498464796847077,2.0488585956510548,0.01996007984031936,0.9840319361277445,0.03992015968063872
exodus,STRICT,boundary_alignment,secondary,run_contained_major,run_preserving_circular_translation,500,0.9504643962848297,0.9398699690402478,0.010594427244581928,1.0112722265776835,0.0037432549159309705,2.8302713767884087,0.003992015968063872,1.0,0.007984031936127744
exodus,STRICT,boundary_alignment,secondary,run_contained_verse,run_preserving_circular_translation,500,0.9802631578947368,0.9687345201238391,0.011528637770897743,1.0119007194761924,0.0030931173922896043,3.7271905035469577,0.001996007984031936,1.0,0.003992015968063872
exodus,STRICT,boundary_alignment,primary,run_ends_minor_boundary,run_preserving_circular_translation,500,0.31462848297213625,0.3083784829721362,0.006250000000000033,1.020267302503608,0.009022353726850984,0.6927238932563368,0.2375249500998004,0.7744510978043913,0.4750499001996008
exodus,STRICT,boundary_alignment,primary,run_ends_major_boundary,run_preserving_circular_translation,500,0.16524767801857584,0.16061842105263158,0.004629256965944267,1.0288214573123424,0.007009758109455646,0.6604018132522634,0.2694610778443114,0.7465069860279441,0.5389221556886228
exodus,STRICT,boundary_alignment,primary,run_ends_verse_boundary,run_preserving_circular_translation,500,0.08397832817337461,0.08210758513931889,0.0018707430340557246,1.0227840464541915,0.005000539789609183,0.3741082188652943,0.35129740518962077,0.6786427145708582,0.7025948103792415
exodus,STRICT,boundary_alignment,secondary,run_starts_after_minor_boundary,run_preserving_circular_translation,500,0.30108359133126933,0.30760990712074304,-0.006526315789473713,0.9787837919442822,0.009039981812537406,-0.7219390397912605,0.7864271457085829,0.2315369261477046,0.4630738522954092
exodus,STRICT,boundary_alignment,secondary,run_starts_after_major_boundary,run_preserving_circular_translation,500,0.15673374613003097,0.16050851393188856,-0.0037747678018575925,0.9764824450155996,0.006917806280999299,-0.5456596569096634,0.7085828343313373,0.30538922155688625,0.6107784431137725
exodus,STRICT,boundary_alignment,secondary,run_starts_after_verse_boundary,run_preserving_circular_translation,500,0.07352941176470588,0.08217414860681115,-0.00864473684210526,0.8947998003183604,0.0050864373305087255,-1.6995661757697598,0.9620758483033932,0.04590818363273453,0.09181636726546906
leviticus,STRICT,boundary_alignment,secondary,run_contained_minor,run_preserving_circular_translation,500,0.8981681034482759,0.8993060344827586,-0.0011379310344826754,0.9987346565119657,0.005551699038816687,-0.20496987075964027,0.5848303393213573,0.4471057884231537,0.8942115768463074
leviticus,STRICT,boundary_alignment,secondary,run_contained_major,run_preserving_circular_translation,500,0.9461206896551724,0.9434450431034482,0.0026756465517241423,1.0028360385920547,0.004843652428920233,0.5524026735998909,0.313373253493014,0.7365269461077845,0.626746506986028
leviticus,STRICT,boundary_alignment,secondary,run_contained_verse,run_preserving_circular_translation,500,0.9725215517241379,0.9708900862068965,0.0016314655172413595,1.0016803812711852,0.003350722038050639,0.48689968869829103,0.3333333333333333,0.718562874251497,0.6666666666666666
leviticus,STRICT,boundary_alignment,primary,run_ends_minor_boundary,run_preserving_circular_translation,500,0.3114224137931034,0.29742887931034484,0.013993534482758585,1.047048338127776,0.009950725575021234,1.4062828260369067,0.08183632734530938,0.9261477045908184,0.16367265469061876
leviticus,STRICT,boundary_alignment,primary,run_ends_major_boundary,run_preserving_circular_translation,500,0.16109913793103448,0.16113577586206895,-3.6637931034477766e-05,0.9997726269610925,0.008240811472736859,-0.004445913021513394,0.5049900199600799,0.5169660678642715,1.0
