book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,STRICT,burst_clustering,primary,active_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.08700964004119852,-0.00022361595408753433,0.08723325599528604,-389.1030065195556,0.007859263489667104,11.099418680894868,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,active_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.09076310589984359,-0.0004143268982324436,0.09117743279807602,-219.06158226040185,0.007433324960842269,12.266036165294288,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,count_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.14535906664507176,-8.814148923127861e-05,0.14544720813430304,-1649.1560094209124,0.007379871849576706,19.70863601684975,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,count_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.16127531647449284,-0.0003368579519032169,0.16161217442639605,-478.7635724889435,0.007343960286964418,22.006134035509266,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,count_lag5_corr,shuffle_observed_thresholded_arrival_stream,250,0.12485019889410585,0.000959572148152319,0.12389062674595354,130.1102779342941,0.00623298076708749,19.87662586737684,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,adjacent_active_ratio,shuffle_observed_thresholded_arrival_stream,250,1.5365439466718949,0.9986041559265422,0.5379397907453527,1.538691720390681,0.04849684237563166,11.092264246376022,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,run_count,shuffle_observed_thresholded_arrival_stream,250,1984.0,2173.424,-189.42399999999998,0.9128453536907662,17.06962870129283,-11.097136517424849,1.0,0.00398406374501992,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,mean_run_length,shuffle_observed_thresholded_arrival_stream,250,1.2726814516129032,1.1618330909613952,0.11084836065150805,1.0954081627678405,0.009135101878359399,12.134332175769412,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,descriptive,max_run_length,shuffle_observed_thresholded_arrival_stream,250,9.0,4.676,4.324,1.924721984602224,0.6775130995043565,6.3821644233348085,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,burst_clustering,secondary,mean_run_intensity,shuffle_observed_thresholded_arrival_stream,250,3.342741935483871,3.05159487495286,0.2911470605310109,1.0954081627678407,0.023993661646447315,12.134332175769444,0.00398406374501992,1.0,0.00796812749003984
