book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.3662469626684338,0.11623658051689861,0.2500103821515352,3.150875232562338,0.003849212493898752,64.95104714219276,0.00398406374501992,1.0,0.00796812749003984
genesis,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.1394411309918268,0.05227921360724542,0.0871619173845814,2.6672384944310172,0.0015591745933989036,55.90260241130138,0.00398406374501992,1.0,0.00796812749003984
exodus,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.42838559496097495,0.15145693550595646,0.2769286594550185,2.8284316827744576,0.004830919553370906,57.324212584286144,0.00398406374501992,1.0,0.00796812749003984
exodus,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.15931808845679857,0.06714774750102696,0.0921703409557716,2.372649781801868,0.0019226828989648503,47.93839951735932,0.00398406374501992,1.0,0.00796812749003984
leviticus,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.44891430787126796,0.14932105467235363,0.29959325319891433,3.0063697906252678,0.005836141992908952,51.33412681921158,0.00398406374501992,1.0,0.00796812749003984
leviticus,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.1622721985265607,0.06675998449011245,0.09551221403644825,2.4306805905653586,0.0023704239947119465,40.293303750519485,0.00398406374501992,1.0,0.00796812749003984
numbers,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.4496988160354497,0.1799069445406079,0.2697918714948418,2.4996189957188975,0.00509576588015639,52.94432237270717,0.00398406374501992,1.0,0.00796812749003984
numbers,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.169009208613169,0.07884733088693484,0.09016187772623417,2.143499427463488,0.001989401147298577,45.32111477298868,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,STRICT,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.45232833464877664,0.2045136543014996,0.24781468034727705,2.211726821828443,0.006522558573837388,37.993477182602184,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,STRICT,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.16211523283346488,0.08933543804262037,0.07277979479084451,1.8146800014135773,0.00249715774315963,29.145053006846467,0.00398406374501992,1.0,0.00796812749003984
