book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,DT,burst_clustering,primary,active_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.048521068189647326,-0.0002956079037587278,0.04881667609340606,-164.13995557185686,0.007286223287230039,6.699860019245225,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,secondary,active_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.046494324064002425,-0.000284899835627838,0.04677922389963026,-163.19533481492607,0.007475506231510277,6.257666364111833,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,secondary,count_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.13721413810246225,-0.0005518771302288554,0.1377660152326911,-248.63168010887054,0.007289281709332117,18.89980669238176,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,secondary,count_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.15015318961271537,0.00017945674396827664,0.1499737328687471,836.7096509856359,0.0071509727166152335,20.97249406647633,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,secondary,count_lag5_corr,shuffle_observed_thresholded_arrival_stream,250,0.11275416020044127,0.0003657285580990128,0.11238843164234226,308.30012506137297,0.00664705895420587,16.907993808484193,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,secondary,adjacent_active_ratio,shuffle_observed_thresholded_arrival_stream,250,1.0750509919321172,0.9995333100399498,0.07551768189216734,1.075552941691507,0.011290657004222052,6.688510851399356,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,secondary,run_count,shuffle_observed_thresholded_arrival_stream,250,4108.0,4318.688,-210.6880000000001,0.9512148133877696,31.462718509372326,-6.696433429210478,1.0,0.00398406374501992,0.00796812749003984
genesis,DT,burst_clustering,secondary,mean_run_length,shuffle_observed_thresholded_arrival_stream,250,1.7295520934761441,1.6452629381248707,0.08428915535127346,1.051231419244962,0.011992821887565928,7.028300440171121,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,descriptive,max_run_length,shuffle_observed_thresholded_arrival_stream,250,18.0,10.08,7.92,1.7857142857142858,1.3272528018429646,5.967212869321231,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,secondary,mean_run_intensity,shuffle_observed_thresholded_arrival_stream,250,2.784323271665044,2.648630188074915,0.13569308359012888,1.051231419244962,0.019306670900771143,7.028300440171125,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,secondary,fano_w5,shuffle_observed_thresholded_arrival_stream,250,2.581018740180059,1.681840486080618,0.8991782540994409,1.5346394390795628,0.03452768840548505,26.042237277506185,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,primary,fano_w10,shuffle_observed_thresholded_arrival_stream,250,3.520421555125195,1.6889105332596814,1.8315110218655135,2.084433417755176,0.052320866560758926,35.00536482396799,0.00398406374501992,1.0,0.00796812749003984
genesis,DT,burst_clustering,secondary,fano_w20,shuffle_observed_thresholded_arrival_stream,250,5.12836606207342,1.6824771583985583,3.4458889036748617,3.048104419411424,0.07626936605391348,45.180510629117116,0.00398406374501992,1.0,0.00796812749003984
exodus,DT,burst_clustering,primary,active_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.05931647855081507,-0.0009193704417980966,0.06023584899261317,-64.51858342846484,0.00866942935997258,6.948075414366567,0.00398406374501992,1.0,0.00796812749003984
exodus,DT,burst_clustering,secondary,active_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.0440699374689714,-9.179678975597568e-05,0.044161734258727374,-480.0814667497954,0.008368359184214412,5.277227385510831,0.00398406374501992,1.0,0.00796812749003984
exodus,DT,burst_clustering,secondary,count_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.13949558660960876,-0.0008817690697098,0.14037735567931856,-158.19968220876504,0.008759699184692823,16.025362597453302,0.00398406374501992,1.0,0.00796812749003984
exodus,DT,burst_clustering,secondary,count_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.11683881768232703,-0.0005474040125829288,0.11738622169490995,-213.44165369015553,0.008513278807261505,13.78860299920918,0.00398406374501992,1.0,0.00796812749003984
