book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,QK,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.6082946763861277,0.3074172741329799,0.30087740225314774,1.9787264007909873,0.004058770221319382,74.13018866471867,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.3803843605036448,0.2430861497680583,0.1372982107355865,1.5648129721359698,0.0026185813422992354,52.432287864325936,0.00398406374501992,1.0,0.00796812749003984
exodus,QK,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.6737642064904834,0.3551693824455703,0.3185948240449131,1.8970222090969167,0.004669871698190505,68.22346407683173,0.00398406374501992,1.0,0.00796812749003984
exodus,QK,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.4042859099000411,0.2706775297822812,0.13360838011775988,1.4936072093802077,0.0026409271044869937,50.59146838652089,0.00398406374501992,1.0,0.00796812749003984
leviticus,QK,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.7047305157037611,0.35890655292749124,0.34582396277626987,1.9635487565091507,0.005772689720907622,59.90690293361152,0.00398406374501992,1.0,0.00796812749003984
leviticus,QK,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.4179914695618457,0.2762454439705312,0.1417460255913145,1.5131162474717064,0.0032774566180468964,43.24878773705443,0.00398406374501992,1.0,0.00796812749003984
numbers,QK,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.7071245586097071,0.39227362736273624,0.3148509312469709,1.802630891512438,0.004937166201187192,63.771588481518364,0.00398406374501992,1.0,0.00796812749003984
numbers,QK,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.4260887627224261,0.290993560894551,0.1350952018278751,1.4642549526270456,0.0026940737781823657,50.14532375539506,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,QK,local_rhyme_enrichment,primary,mean_arrivals,shuffle_tokens_then_recompute,250,0.6927387529597474,0.4296179952644041,0.2631207576953433,1.6124528315751958,0.005903756188378603,44.568364495351275,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,QK,local_rhyme_enrichment,secondary,active_rate,shuffle_tokens_then_recompute,250,0.4012628255722178,0.31320284135753745,0.08805998421468036,1.281159595593053,0.0029451548713589565,29.89995027801293,0.00398406374501992,1.0,0.00796812749003984
