book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,QK,burst_clustering,primary,active_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.05299130090678045,-0.00030909839488137196,0.05330039930166182,-171.4382920918041,0.007045509440071665,7.565159021505712,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,secondary,active_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.05094080332755873,-0.0003280201753183407,0.05126882350287707,-155.29777483388372,0.007239971741280006,7.081356852618446,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,secondary,count_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.13875998822829472,-0.0004670635996802202,0.13922705182797493,-297.0901357401822,0.007307432888549529,19.052799245838912,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,secondary,count_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.15217626170836548,-0.0001400290856544359,0.15231629079401993,-1086.7475210393534,0.007245040353961186,21.023525522634504,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,secondary,count_lag5_corr,shuffle_observed_thresholded_arrival_stream,250,0.11070065015587845,0.00038064689805618064,0.11032000325782226,290.8224150024201,0.006477377276743761,17.031585245761875,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,secondary,adjacent_active_ratio,shuffle_observed_thresholded_arrival_stream,250,1.0862232757469434,0.9994873290147447,0.08673594673219875,1.0867804365441027,0.011482794178852705,7.553557555872252,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,secondary,run_count,shuffle_observed_thresholded_arrival_stream,250,4042.0,4269.408,-227.40800000000036,0.9467354724589451,30.071141248712195,-7.562333538296927,1.0,0.00398406374501992,0.00796812749003984
genesis,QK,burst_clustering,secondary,mean_run_length,shuffle_observed_thresholded_arrival_stream,250,1.7041068777832755,1.613418538427786,0.09068833935548959,1.0562088120320359,0.011374083317324436,7.973243805710271,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,descriptive,max_run_length,shuffle_observed_thresholded_arrival_stream,250,18.0,9.78,8.22,1.8404907975460123,1.351887569289695,6.080387294572825,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,secondary,mean_run_intensity,shuffle_observed_thresholded_arrival_stream,250,2.7251360712518555,2.5801110918673142,0.14502497938454129,1.056208812032036,0.01818895582757387,7.973243805710282,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,secondary,fano_w5,shuffle_observed_thresholded_arrival_stream,250,2.593882836327104,1.6835934381612154,0.9102893981658884,1.5406824340917407,0.034738435758011756,26.204098667740027,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,primary,fano_w10,shuffle_observed_thresholded_arrival_stream,250,3.5392134771716965,1.690552842282146,1.8486606348895505,2.0935243126703855,0.051773623338536405,35.706611121295545,0.00398406374501992,1.0,0.00796812749003984
genesis,QK,burst_clustering,secondary,fano_w20,shuffle_observed_thresholded_arrival_stream,250,5.2124382127417945,1.6857018945980553,3.5267363181437394,3.0921470928195562,0.0771201726997788,45.73039964359228,0.00398406374501992,1.0,0.00796812749003984
