book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
deuteronomy,VF,burst_clustering,primary,active_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.06454035198777999,0.0005574236773447948,0.0639829283104352,115.78329843326429,0.009017611253192134,7.095330072893302,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,VF,burst_clustering,secondary,active_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.02092029246827054,7.744707487587946e-05,0.02084284539339466,270.1237264518827,0.008742221135701365,2.384159022044973,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,VF,burst_clustering,secondary,count_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.1775496851729643,0.00046044604365581506,0.1770892391293085,385.60367195962544,0.009479854497020417,18.68058620361408,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,VF,burst_clustering,secondary,count_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.12765263691467435,-0.0003762582700721587,0.1280288951847465,-339.26865418849974,0.008808196354969666,14.53519994618551,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,VF,burst_clustering,secondary,count_lag5_corr,shuffle_observed_thresholded_arrival_stream,250,0.12752244431989657,-0.0003749865943733239,0.1278974309142699,-340.0720085287624,0.008886878075967044,14.391716620952117,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,VF,burst_clustering,secondary,adjacent_active_ratio,shuffle_observed_thresholded_arrival_stream,250,1.0964398736750354,1.0008316019813976,0.09560827169363773,1.095528829729554,0.013469053674171807,7.098365928779072,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,VF,burst_clustering,secondary,run_count,shuffle_observed_thresholded_arrival_stream,250,2847.0,3042.04,-195.03999999999996,0.9358851297155856,27.477962078727746,-7.098051865752866,1.0,0.00398406374501992,0.00796812749003984
deuteronomy,VF,burst_clustering,secondary,mean_run_length,shuffle_observed_thresholded_arrival_stream,250,1.7850368809272918,1.6707259430467676,0.11431093788052427,1.068419921505537,0.015109975415419233,7.565262995985666,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,VF,burst_clustering,descriptive,max_run_length,shuffle_observed_thresholded_arrival_stream,250,13.0,9.776,3.224,1.3297872340425532,1.2417020576611766,2.596436061379012,0.02390438247011952,0.9960159362549801,0.04780876494023904
deuteronomy,VF,burst_clustering,secondary,mean_run_intensity,shuffle_observed_thresholded_arrival_stream,250,3.0790305584826134,2.881854312622582,0.19717624586003124,1.0684199215055372,0.02606336963627804,7.565262995985689,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,VF,burst_clustering,secondary,fano_w5,shuffle_observed_thresholded_arrival_stream,250,2.939917104562526,1.8576839309371553,1.0822331736253707,1.5825712090212305,0.04985889304055072,21.7059206016704,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,VF,burst_clustering,primary,fano_w10,shuffle_observed_thresholded_arrival_stream,250,3.9767997578359813,1.8603169834805169,2.1164827743554646,2.1377000764652916,0.07079714870029971,29.89502844690841,0.00398406374501992,1.0,0.00796812749003984
deuteronomy,VF,burst_clustering,secondary,fano_w20,shuffle_observed_thresholded_arrival_stream,250,5.816160271808522,1.8624498268351162,3.953710444973406,3.1228547411083794,0.09995420797189977,39.55521758608619,0.00398406374501992,1.0,0.00796812749003984
