book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
exodus,VF,burst_clustering,primary,active_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.0594133284087651,-0.0010365407718932376,0.06044986918065834,-57.31885326637648,0.008660812138863426,6.979699849325133,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,secondary,active_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.04006266328283907,-0.00026786730862158416,0.040330530591460655,-149.56160006608178,0.008408727678035884,4.796270272470173,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,secondary,count_lag1_corr,shuffle_observed_thresholded_arrival_stream,250,0.12780851160257253,-0.0008356142625129417,0.12864412586508547,-152.95156788996655,0.008476335899690756,15.176855588011659,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,secondary,count_lag2_corr,shuffle_observed_thresholded_arrival_stream,250,0.11570994503889583,-0.000490831706798384,0.1162007767456942,-235.7426047181286,0.00840383867724072,13.827107017224069,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,secondary,count_lag5_corr,shuffle_observed_thresholded_arrival_stream,250,0.10343779779571351,-0.00015348693435262174,0.10359128473006612,-673.9192376992489,0.008445042398418628,12.266520384724659,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,secondary,adjacent_active_ratio,shuffle_observed_thresholded_arrival_stream,250,1.0869902089868022,0.99849125770355,0.08849895128325225,1.0886326751490971,0.012670680657185665,6.984545951212466,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,secondary,run_count,shuffle_observed_thresholded_arrival_stream,250,3313.0,3526.252,-213.25199999999995,0.9395244582633345,30.493220492430773,-6.993423343163598,1.0,0.00398406374501992,0.00796812749003984
exodus,VF,burst_clustering,secondary,mean_run_length,shuffle_observed_thresholded_arrival_stream,250,1.7899185028674918,1.6817979948647133,0.1081205080027785,1.0642886412832688,0.014546480585877972,7.432760616182595,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,descriptive,max_run_length,shuffle_observed_thresholded_arrival_stream,250,19.0,10.176,8.824,1.8671383647798743,1.4727606730219271,5.991469056472167,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,secondary,mean_run_intensity,shuffle_observed_thresholded_arrival_stream,250,2.982191367340779,2.8020512966717317,0.18014007066904725,1.0642886412832688,0.024235957535999043,7.432760616182587,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,secondary,fano_w5,shuffle_observed_thresholded_arrival_stream,250,2.4675967134542964,1.6515117790547136,0.8160849343995829,1.4941441803501339,0.04028185819497138,20.259366647128992,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,primary,fano_w10,shuffle_observed_thresholded_arrival_stream,250,3.3209333924907107,1.6458160578815975,1.6751173346091133,2.017803494252712,0.05634478959085574,29.729764664539097,0.00398406374501992,1.0,0.00796812749003984
exodus,VF,burst_clustering,secondary,fano_w20,shuffle_observed_thresholded_arrival_stream,250,4.75947812101381,1.642692572871695,3.116785548142115,2.8973638766098913,0.07957683770026647,39.16699429401526,0.00398406374501992,1.0,0.00796812749003984
