book,equivalence_profile,family,metric_role,metric,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
deuteronomy,STRICT,burst_clustering,primary,active_lag1_corr,shuffle_observed_thresholded_arrival_stream,500,0.06738772661633291,-2.530456903466025e-05,0.06741303118536757,-2663.065572230469,0.00903147305675965,7.464234323869454,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,secondary,active_lag2_corr,shuffle_observed_thresholded_arrival_stream,500,0.04060674506860481,-0.0004369126411366124,0.04104365770974142,-92.94019271900174,0.009132678168609494,4.49415351685283,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,secondary,count_lag1_corr,shuffle_observed_thresholded_arrival_stream,500,0.2150461181230723,0.00017557005278380906,0.2148705480702885,1224.8450958084106,0.00914521757715164,23.495400328923814,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,secondary,count_lag2_corr,shuffle_observed_thresholded_arrival_stream,500,0.15364658939698872,-0.00048775725130475106,0.15413434664829348,-315.0062638453533,0.008594938752119832,17.933152416039988,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,secondary,count_lag5_corr,shuffle_observed_thresholded_arrival_stream,500,0.1667061526791555,-0.0009738323623537322,0.16767998504150924,-171.18567745708333,0.009107665053648947,18.410864261452936,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,secondary,adjacent_active_ratio,shuffle_observed_thresholded_arrival_stream,500,1.2074855318549877,0.9999199850687612,0.20756554678622652,1.2075821564582019,0.027800284070463113,7.466310281582989,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,secondary,run_count,shuffle_observed_thresholded_arrival_stream,500,2187.0,2345.204,-158.20400000000018,0.9325414761359778,21.17834705542432,-7.470082513331938,1.0,0.001996007984031936,0.003992015968063872
deuteronomy,STRICT,burst_clustering,secondary,mean_run_length,shuffle_observed_thresholded_arrival_stream,500,1.4206675811614082,1.324939441037617,0.09572814012379127,1.0722509551446535,0.011960444825445653,8.003727413225569,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,descriptive,max_run_length,shuffle_observed_thresholded_arrival_stream,500,12.0,6.39,5.61,1.8779342723004695,0.9684523736353792,5.792747431596628,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,secondary,mean_run_intensity,shuffle_observed_thresholded_arrival_stream,500,2.5422953818015546,2.3709891510039105,0.17130623079764407,1.0722509551446537,0.021403306478750498,8.003727413225581,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,secondary,fano_w5,shuffle_observed_thresholded_arrival_stream,500,3.9641139495664723,2.310367906401004,1.6537460431654685,1.7157933758444586,0.0611041658854492,27.064374731269783,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,primary,fano_w10,shuffle_observed_thresholded_arrival_stream,500,5.670673942298411,2.3059739422984107,3.3647,2.4591231662602118,0.08934886579208705,37.65800461115631,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,STRICT,burst_clustering,secondary,fano_w20,shuffle_observed_thresholded_arrival_stream,500,8.58811958550425,2.3031069366278163,6.2850126488764335,3.728927844782961,0.12897623665167968,48.73000493765441,0.001996007984031936,1.0,0.003992015968063872
