book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
deuteronomy,1,minor,robustness,1,184,72,run_preserving_circular_translation,1000,0.391304347826087,0.3042756461745534,0.08702870165153359,1.286019281351252,0.0335501804090358,2.593986100536582,0.005994005994005994,0.995004995004995,0.011988011988011988
deuteronomy,1,major,robustness,1,184,43,run_preserving_circular_translation,1000,0.23369565217391305,0.15502221023591944,0.07867344193799361,1.5074978728419948,0.02513842769876042,3.129608696325626,0.001998001998001998,0.999000999000999,0.003996003996003996
deuteronomy,1,verse,exploratory,1,184,28,run_preserving_circular_translation,1000,0.15217391304347827,0.07861375751635927,0.073560155527119,1.935716061044549,0.01902139968522588,3.8672314732050945,0.001998001998001998,0.999000999000999,0.003996003996003996
deuteronomy,2,minor,robustness,1,203,80,run_preserving_circular_translation,1000,0.39408866995073893,0.30078864488034335,0.09330002507039559,1.3101846650744122,0.03401437655961251,2.7429585518605917,0.004995004995004995,0.996003996003996,0.00999000999000999
deuteronomy,2,major,robustness,1,203,36,run_preserving_circular_translation,1000,0.17733990147783252,0.1314680426284129,0.045871858849419606,1.3489202237464952,0.024040903427470655,1.9080755008983366,0.03296703296703297,0.968031968031968,0.06593406593406594
deuteronomy,2,verse,exploratory,1,203,17,run_preserving_circular_translation,1000,0.08374384236453201,0.06844699818670892,0.015296844177823093,1.2234845147788154,0.01794203497828022,0.8525701904126667,0.18081918081918083,0.8201798201798202,0.36163836163836166
deuteronomy,3,minor,robustness,1,180,77,run_preserving_circular_translation,1000,0.42777777777777776,0.2964790421736302,0.13129873560414757,1.4428600910254348,0.03219711436295357,4.077965935830003,0.000999000999000999,1.0,0.001998001998001998
deuteronomy,3,major,robustness,1,180,45,run_preserving_circular_translation,1000,0.25,0.1430401467785491,0.1069598532214509,1.7477610700934423,0.025088435830459842,4.263312944029419,0.000999000999000999,1.0,0.001998001998001998
deuteronomy,3,verse,exploratory,1,180,23,run_preserving_circular_translation,1000,0.12777777777777777,0.07818774652316525,0.04959003125461252,1.6342430043040073,0.01921102497316475,2.581331882285469,0.012987012987012988,0.988011988011988,0.025974025974025976
deuteronomy,4,minor,robustness,1,190,78,run_preserving_circular_translation,1000,0.4105263157894737,0.3099271125280752,0.10059920326139848,1.3245898767642845,0.034242839276317286,2.9378172309144346,0.002997002997002997,0.998001998001998,0.005994005994005994
deuteronomy,4,major,robustness,1,190,37,run_preserving_circular_translation,1000,0.19473684210526315,0.1391451927336557,0.05559164937160746,1.3995226013881632,0.02438931495509609,2.2793444372652094,0.01898101898101898,0.9820179820179821,0.03796203796203796
deuteronomy,4,verse,exploratory,1,190,19,run_preserving_circular_translation,1000,0.1,0.07005891284405509,0.029941087155944915,1.4273701366532923,0.017942053015359304,1.668765950602968,0.059940059940059943,0.9500499500499501,0.11988011988011989
