book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,1,minor,robustness,1,227,85,run_preserving_circular_translation,500,0.3744493392070485,0.3127268467188908,0.0617224924881577,1.1973687041446743,0.029845577446922227,2.0680615946508594,0.017964071856287425,0.9840319361277445,0.03592814371257485
genesis,1,major,robustness,1,227,44,run_preserving_circular_translation,500,0.19383259911894274,0.15649875053270437,0.037333848586238366,1.2385568476371733,0.022127722941202216,1.6871979410372169,0.043912175648702596,0.9580838323353293,0.08782435129740519
genesis,1,verse,exploratory,1,227,24,run_preserving_circular_translation,500,0.10572687224669604,0.08092268916320827,0.024804183083487766,1.3065170391639067,0.01578439337434778,1.5714372098581006,0.07385229540918163,0.9281437125748503,0.14770459081836326
genesis,2,minor,robustness,1,213,91,run_preserving_circular_translation,500,0.4272300469483568,0.3384269421867866,0.08880310476157022,1.2623996310333871,0.029824399927120254,2.9775319865134584,0.001996007984031936,1.0,0.003992015968063872
genesis,2,major,robustness,1,213,44,run_preserving_circular_translation,500,0.20657276995305165,0.17582596815815768,0.030746801794893974,1.1748706525945976,0.024390441880635792,1.2606086410966035,0.11976047904191617,0.8822355289421158,0.23952095808383234
genesis,2,verse,exploratory,1,213,26,run_preserving_circular_translation,500,0.12206572769953052,0.08867684573780511,0.0333888819617254,1.3765231124756945,0.017216003108584215,1.939409615061994,0.031936127744510975,0.9700598802395209,0.06387225548902195
genesis,3,minor,robustness,1,231,99,run_preserving_circular_translation,500,0.42857142857142855,0.32569759199682186,0.10287383657460669,1.315856914826716,0.03024784236561052,3.4010305704173582,0.001996007984031936,1.0,0.003992015968063872
genesis,3,major,robustness,1,231,61,run_preserving_circular_translation,500,0.26406926406926406,0.18855907781589995,0.07551018625336411,1.4004590345265087,0.024584160477079363,3.071497451530419,0.001996007984031936,1.0,0.003992015968063872
genesis,3,verse,exploratory,1,231,30,run_preserving_circular_translation,500,0.12987012987012986,0.10029392210944396,0.029576207760685896,1.2948953150761358,0.018493070668089553,1.5993129692474861,0.059880239520958084,0.9441117764471058,0.11976047904191617
genesis,4,minor,robustness,1,221,84,run_preserving_circular_translation,500,0.38009049773755654,0.3324722555725148,0.047618242165041735,1.1432247093311394,0.0306641550506524,1.5528959492405328,0.0658682634730539,0.936127744510978,0.1317365269461078
genesis,4,major,robustness,1,221,50,run_preserving_circular_translation,500,0.22624434389140272,0.16867789942521483,0.05756644446618789,1.3412803020570612,0.02249610843731348,2.5589512349035672,0.007984031936127744,0.9940119760479041,0.015968063872255488
genesis,4,verse,exploratory,1,221,23,run_preserving_circular_translation,500,0.10407239819004525,0.08653506611566261,0.01753733207438264,1.2026615667103353,0.016011357953566778,1.0953057276741434,0.12375249500998003,0.8782435129740519,0.24750499001996007
genesis,5,minor,robustness,1,235,100,run_preserving_circular_translation,500,0.425531914893617,0.3224501874887393,0.1030817274048777,1.3196826406201967,0.030550096541004754,3.3741866336337107,0.001996007984031936,1.0,0.003992015968063872
genesis,5,major,robustness,1,235,57,run_preserving_circular_translation,500,0.2425531914893617,0.16952550192666804,0.07302768956269365,1.4307770142705927,0.0229760340523052,3.178428853145207,0.001996007984031936,1.0,0.003992015968063872
genesis,5,verse,exploratory,1,235,25,run_preserving_circular_translation,500,0.10638297872340426,0.08660984456793498,0.019773134155469274,1.2283012312758468,0.01699919081633074,1.1631809048506985,0.12574850299401197,0.8822355289421158,0.25149700598802394
genesis,6,minor,robustness,1,233,86,run_preserving_circular_translation,500,0.36909871244635195,0.3037759170230733,0.06532279542327862,1.2150361228876383,0.028794043890361568,2.2686217910900868,0.011976047904191617,0.9900199600798403,0.023952095808383235
