trim_fraction_of_fixed_blocks,blocks_removed,selection_rule,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
0.0,0,highest_observed_analyzed_arrival_density,minor,robustness,5712,15957,run_preserving_circular_translation,500,0.3579620229366422,0.3079186563890456,0.05004336654759661,1.162521385142602,0.0034060227846647224,14.692610622839013,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,major,robustness,3052,15957,run_preserving_circular_translation,500,0.19126402205928433,0.16078235257253867,0.03048166948674566,1.189583427528177,0.002644624596794454,11.525896538848066,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,verse,exploratory,1558,15957,run_preserving_circular_translation,500,0.09763740051388106,0.08291320423638528,0.014724196277495785,1.1775856621765233,0.0019629124992597336,7.501198491042606,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,minor,robustness,5637,15731,run_preserving_circular_translation,500,0.3583370415103935,0.30773181673672895,0.050605224773664526,1.1644458649427152,0.0034416047373859674,14.703961853591927,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,major,robustness,3012,15731,run_preserving_circular_translation,500,0.1914690738033183,0.1606506952898628,0.03081837851345548,1.1918347035962076,0.0026628644930351414,11.573393461838757,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,verse,exploratory,1541,15731,run_preserving_circular_translation,500,0.09795944313775348,0.08287517228389196,0.01508427085386152,1.1820119396215527,0.0019849910572624385,7.599163129059481,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,minor,robustness,5432,15110,run_preserving_circular_translation,500,0.35949702183984117,0.30763976375615515,0.05185725808368602,1.1685648742234431,0.0034926822076988637,14.847402368694722,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,major,robustness,2891,15110,run_preserving_circular_translation,500,0.19133024487094638,0.1597999472763209,0.03153029759462547,1.1973110638147102,0.002678126523615852,11.773266616266913,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,verse,exploratory,1483,15110,run_preserving_circular_translation,500,0.09814692256783587,0.08241441324418958,0.015732509323646296,1.1908951202143696,0.0020304474509702805,7.7482967195867465,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,minor,robustness,5254,14550,run_preserving_circular_translation,500,0.36109965635738833,0.30768131265202553,0.0534183437053628,1.1736158210095025,0.003552264977635492,15.03782630003009,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,major,robustness,2784,14550,run_preserving_circular_translation,500,0.19134020618556702,0.15925029289482928,0.03208991329073774,1.2015061492661134,0.002721761237204702,11.790127970113446,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,verse,exploratory,1418,14550,run_preserving_circular_translation,500,0.09745704467353952,0.08220021932840682,0.015256825345132702,1.18560565251266,0.0020430392297617127,7.467710420280164,0.001996007984031936,1.0,0.003992015968063872
