trim_fraction_of_fixed_blocks,blocks_removed,selection_rule,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
0.0,0,highest_observed_analyzed_arrival_density,minor,robustness,5600,15888,run_preserving_circular_translation,500,0.35246727089627394,0.30784944612286,0.04461782477341392,1.1449339127789346,0.0033711222770601997,13.23530299598716,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,major,robustness,2982,15888,run_preserving_circular_translation,500,0.18768882175226587,0.16091503021148038,0.02677379154078549,1.1663846534758027,0.002725619502834578,9.823011433892882,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,verse,exploratory,1559,15888,run_preserving_circular_translation,500,0.09812437059415911,0.08291968781470292,0.015204682779456191,1.183366377517405,0.001995223282206957,7.62054197895986,0.001996007984031936,1.0,0.003992015968063872
0.01,2,highest_observed_analyzed_arrival_density,minor,robustness,5514,15651,run_preserving_circular_translation,500,0.35230975656507574,0.3077962399097233,0.044513516655352414,1.1446200794019064,0.003396196222248571,13.106874203481881,0.001996007984031936,1.0,0.003992015968063872
0.01,2,highest_observed_analyzed_arrival_density,major,robustness,2941,15651,run_preserving_circular_translation,500,0.18791131557089003,0.1610459335909408,0.026865381979949227,1.1668181330687164,0.0027344380773307187,9.824827339361239,0.001996007984031936,1.0,0.003992015968063872
0.01,2,highest_observed_analyzed_arrival_density,verse,exploratory,1539,15651,run_preserving_circular_translation,500,0.09833237492811961,0.08300504166676036,0.015327333261359252,1.1846554492785362,0.002021317292409192,7.582843781586971,0.001996007984031936,1.0,0.003992015968063872
0.05,7,highest_observed_analyzed_arrival_density,minor,robustness,5329,15091,run_preserving_circular_translation,500,0.3531243787688026,0.3074544254036242,0.04566995336517837,1.1485421889934522,0.0034685459531934664,13.166887214837203,0.001996007984031936,1.0,0.003992015968063872
0.05,7,highest_observed_analyzed_arrival_density,major,robustness,2842,15091,run_preserving_circular_translation,500,0.1883241667218872,0.15997121562977834,0.028352951092108863,1.1772378298213733,0.002756412183370042,10.286179716940595,0.001996007984031936,1.0,0.003992015968063872
0.05,7,highest_observed_analyzed_arrival_density,verse,exploratory,1493,15091,run_preserving_circular_translation,500,0.09893313895699424,0.08247529953998455,0.016457839417009693,1.1995487074167075,0.0020324288344119867,8.097621495205367,0.001996007984031936,1.0,0.003992015968063872
0.1,14,highest_observed_analyzed_arrival_density,minor,robustness,5059,14270,run_preserving_circular_translation,500,0.35451997196916607,0.3074992051846804,0.04702076678448569,1.1529134579591696,0.0035748345742144015,13.153270678215614,0.001996007984031936,1.0,0.003992015968063872
0.1,14,highest_observed_analyzed_arrival_density,major,robustness,2675,14270,run_preserving_circular_translation,500,0.1874562018220042,0.15927322165185503,0.02818298017014917,1.1769473856173545,0.0027950642114435396,10.083124407218458,0.001996007984031936,1.0,0.003992015968063872
0.1,14,highest_observed_analyzed_arrival_density,verse,exploratory,1407,14270,run_preserving_circular_translation,500,0.09859845830413455,0.08210369309656199,0.016494765207572565,1.2009016231239817,0.0020732545732997064,7.9559767623327495,0.001996007984031936,1.0,0.003992015968063872
