book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
exodus,1,minor,robustness,1,188,62,run_preserving_circular_translation,500,0.32978723404255317,0.3090480491195606,0.020739184922992593,1.0671066683063555,0.03164572698731073,0.6553549846179413,0.27345309381237526,0.7345309381237525,0.5469061876247505
exodus,1,major,robustness,1,188,36,run_preserving_circular_translation,500,0.19148936170212766,0.150311694285526,0.04117766741660167,1.2739485281722809,0.02303890682413848,1.7873099505510706,0.043912175648702596,0.9580838323353293,0.08782435129740519
exodus,1,verse,exploratory,1,188,14,run_preserving_circular_translation,500,0.07446808510638298,0.07531091798834552,-0.0008428328819625464,0.9888086229131747,0.01685563868838038,-0.050003022581610185,0.5029940119760479,0.500998003992016,1.0
exodus,2,minor,robustness,1,219,62,run_preserving_circular_translation,500,0.2831050228310502,0.3060607864611005,-0.022955763630050308,0.9249960640319798,0.03368077938510124,-0.681568658717109,0.7564870259481038,0.24550898203592814,0.49101796407185627
exodus,2,major,robustness,1,219,34,run_preserving_circular_translation,500,0.1552511415525114,0.1586499813966602,-0.0033988398441487933,0.9785764875972413,0.0254939175558497,-0.13331963738813116,0.5369261477045908,0.46506986027944114,0.9301397205588823
exodus,2,verse,exploratory,1,219,19,run_preserving_circular_translation,500,0.0867579908675799,0.08145032716986066,0.005307663697719248,1.065164424528957,0.018472302754149125,0.28733091744758654,0.36926147704590817,0.6327345309381237,0.7385229540918163
exodus,3,minor,robustness,1,200,68,run_preserving_circular_translation,500,0.34,0.3111429354698027,0.02885706453019732,1.0927453631130184,0.030723299149252602,0.9392566986380861,0.18363273453093812,0.8183632734530938,0.36726546906187624
exodus,3,major,robustness,1,200,40,run_preserving_circular_translation,500,0.2,0.15320393502890794,0.046796064971092066,1.3054494975097222,0.023834665551710755,1.9633615109708655,0.03792415169660679,0.9680638722554891,0.07584830339321358
exodus,3,verse,exploratory,1,200,20,run_preserving_circular_translation,500,0.1,0.07723314191597805,0.022766858084021957,1.2947809388460465,0.01760674018379952,1.2930762791042043,0.10978043912175649,0.9001996007984032,0.21956087824351297
exodus,4,minor,robustness,1,192,53,run_preserving_circular_translation,500,0.2760416666666667,0.29235176676091096,-0.016310100094244273,0.9442107011188926,0.03021304141643812,-0.5398364192944302,0.6946107784431138,0.3073852295409182,0.6147704590818364
exodus,4,major,robustness,1,192,23,run_preserving_circular_translation,500,0.11979166666666667,0.14124287185491724,-0.02145120518825057,0.8481253963011672,0.022844686031768424,-0.9390019700170077,0.8243512974051896,0.17764471057884232,0.35528942115768464
exodus,4,verse,exploratory,1,192,7,run_preserving_circular_translation,500,0.036458333333333336,0.07166820369956083,-0.03520987036622749,0.5087100199437082,0.016520141780746227,-2.131329793262648,0.9940119760479041,0.007984031936127744,0.015968063872255488
exodus,5,minor,robustness,1,189,62,run_preserving_circular_translation,500,0.328042328042328,0.2916978537881329,0.036344474254195125,1.124596303271374,0.030306540998295117,1.1992287162114499,0.10578842315369262,0.8962075848303394,0.21157684630738524
exodus,5,major,robustness,1,189,38,run_preserving_circular_translation,500,0.20105820105820105,0.15329111109154803,0.04776708996665302,1.31161030555859,0.02406654252848431,1.9847923693283975,0.029940119760479042,0.9720558882235529,0.059880239520958084
exodus,5,verse,exploratory,1,189,19,run_preserving_circular_translation,500,0.10052910052910052,0.07861370023776466,0.02191540029133586,1.2787732955585784,0.017353009249369503,1.2629164184956638,0.11177644710578842,0.8922155688622755,0.22355289421157684
exodus,6,minor,robustness,1,175,58,run_preserving_circular_translation,500,0.3314285714285714,0.31515490362508763,0.01627366780348377,1.0516370445653707,0.03235240845728249,0.503012560099543,0.3253493013972056,0.6766467065868264,0.6506986027944112
exodus,6,major,robustness,1,175,28,run_preserving_circular_translation,500,0.16,0.15252953790303658,0.0074704620969634206,1.0489771502599872,0.024523616911494857,0.3046231770755569,0.39520958083832336,0.6067864271457086,0.7904191616766467
exodus,6,verse,exploratory,1,175,15,run_preserving_circular_translation,500,0.08571428571428572,0.08125731833425592,0.0044569673800297915,1.054850042696411,0.017523555993663686,0.25434149219721036,0.38922155688622756,0.6147704590818364,0.7784431137724551
exodus,7,minor,robustness,1,197,64,run_preserving_circular_translation,500,0.3248730964467005,0.2962634139027999,0.02860968254390056,1.096568395560604,0.03129928586866421,0.9140682207239625,0.17564870259481039,0.8263473053892215,0.35129740518962077
exodus,7,major,robustness,1,197,34,run_preserving_circular_translation,500,0.17258883248730963,0.15460349813886415,0.017985334348445486,1.116332001312746,0.023859922347353985,0.7537884694934903,0.21157684630738524,0.7904191616766467,0.4231536926147705
exodus,7,verse,exploratory,1,197,17,run_preserving_circular_translation,500,0.08629441624365482,0.07957510005058008,0.00671931619307474,1.0844399339592883,0.0177435948721075,0.3786896759932984,0.35528942115768464,0.6467065868263473,0.7105788423153693
exodus,8,minor,robustness,1,187,74,run_preserving_circular_translation,500,0.39572192513368987,0.29402065850833925,0.10170126662535062,1.3458983703434773,0.03337956993719007,3.0468117718928265,0.003992015968063872,0.998003992015968,0.007984031936127744
exodus,8,major,robustness,1,187,44,run_preserving_circular_translation,500,0.23529411764705882,0.17759690581341991,0.057697211833638906,1.3248773483376706,0.02607650695965571,2.2126127522718133,0.021956087824351298,0.9820359281437125,0.043912175648702596
exodus,8,verse,exploratory,1,187,25,run_preserving_circular_translation,500,0.13368983957219252,0.0940483933688618,0.039641446203330724,1.4215005146111883,0.019547638856114265,2.0279403817065793,0.021956087824351298,0.9820359281437125,0.043912175648702596
exodus,9,minor,robustness,1,211,73,run_preserving_circular_translation,500,0.3459715639810427,0.3345972821521668,0.011374281828875898,1.0339939456642184,0.033457895797019195,0.33995807440733455,0.3772455089820359,0.626746506986028,0.7544910179640718
exodus,9,major,robustness,1,211,28,run_preserving_circular_translation,500,0.13270142180094788,0.17496505489977585,-0.04226363309882797,0.7584452899864057,0.024752157546229378,-1.7074726928306176,0.9560878243512974,0.04590818363273453,0.09181636726546906
exodus,9,verse,exploratory,1,211,11,run_preserving_circular_translation,500,0.052132701421800945,0.09015730254610696,-0.038024601124306015,0.5782415838710345,0.017856584029144817,-2.1294443025745435,0.9840319361277445,0.017964071856287425,0.03592814371257485
exodus,10,minor,robustness,1,218,45,run_preserving_circular_translation,500,0.20642201834862386,0.2965394569814773,-0.09011743863285346,0.6961030429131647,0.03291991386412391,-2.737474921860696,1.0,0.001996007984031936,0.003992015968063872
exodus,10,major,robustness,1,218,20,run_preserving_circular_translation,500,0.09174311926605505,0.16788316310201315,-0.0761400438359581,0.5464700424443869,0.02538814947330751,-2.999038741126442,1.0,0.001996007984031936,0.003992015968063872
exodus,10,verse,exploratory,1,218,13,run_preserving_circular_translation,500,0.05963302752293578,0.08630875894900408,-0.0266757314260683,0.6909267176251511,0.01816487201941331,-1.4685339592571418,0.9341317365269461,0.06786427145708583,0.13572854291417166
exodus,11,minor,robustness,1,197,46,run_preserving_circular_translation,500,0.233502538071066,0.29461007096317066,-0.06110753289210466,0.7925816565186472,0.03010726115351394,-2.0296609705055335,0.9800399201596807,0.021956087824351298,0.043912175648702596
exodus,11,major,robustness,1,197,28,run_preserving_circular_translation,500,0.14213197969543148,0.1641714089682776,-0.022039429272846106,0.8657535473968874,0.024027187522319634,-0.9172704567429278,0.8083832335329342,0.1936127744510978,0.3872255489021956
exodus,11,verse,exploratory,1,197,12,run_preserving_circular_translation,500,0.06091370558375635,0.08477204569867736,-0.02385834011492101,0.7185588725825304,0.01754162714422605,-1.3600984628597668,0.9201596806387226,0.08782435129740519,0.17564870259481039
exodus,12,minor,robustness,1,181,61,run_preserving_circular_translation,500,0.3370165745856354,0.32565453806900035,0.011362036516635032,1.0348898454908915,0.032713714988801906,0.34731721910899827,0.3473053892215569,0.656686626746507,0.6946107784431138
exodus,12,major,robustness,1,181,27,run_preserving_circular_translation,500,0.14917127071823205,0.14574146370527857,0.0034298070129534786,1.0235335018995644,0.02300443204813967,0.14909331409600443,0.41916167664670656,0.5848303393213573,0.8383233532934131
exodus,12,verse,exploratory,1,181,14,run_preserving_circular_translation,500,0.07734806629834254,0.07411767745636927,0.0032303888419732696,1.0435845934847985,0.016918123928924198,0.1909424978528743,0.42115768463073855,0.5808383233532934,0.8423153692614771
exodus,13,minor,robustness,1,213,78,run_preserving_circular_translation,500,0.36619718309859156,0.3223385209454997,0.043858662153091865,1.1360639802665948,0.03232282535240148,1.3568944445579942,0.07584830339321358,0.9261477045908184,0.15169660678642716
