trim_fraction_of_fixed_blocks,blocks_removed,selection_rule,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
0.0,0,highest_observed_analyzed_arrival_density,minor,robustness,4108,12574,run_preserving_circular_translation,500,0.3267059010656911,0.30806934945124864,0.018636551614442443,1.0604946634504178,0.0040782045358323075,4.569793263357981,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,major,robustness,2169,12574,run_preserving_circular_translation,500,0.1724988070621918,0.16110959121997775,0.011389215842214057,1.0706923514358826,0.0031872146436946313,3.573407227136618,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,verse,exploratory,1120,12574,run_preserving_circular_translation,500,0.0890726896771115,0.08300874821059329,0.006063941466518216,1.073051836068338,0.002387548451250379,2.5398192289427595,0.011976047904191617,0.9900199600798403,0.023952095808383235
0.01,1,highest_observed_analyzed_arrival_density,minor,robustness,4024,12341,run_preserving_circular_translation,500,0.3260675796126732,0.3078267795644062,0.018240800048267003,1.0592567029875661,0.00409994401770411,4.449036369643286,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,major,robustness,2127,12341,run_preserving_circular_translation,500,0.17235232152985983,0.16095107664902605,0.011401244880833772,1.0708367108701957,0.0032239623383681784,3.5364075892414295,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,verse,exploratory,1100,12341,run_preserving_circular_translation,500,0.08913378170326554,0.0829565653894435,0.006177216313822037,1.0744632601991513,0.0023851627305821197,2.589851096790546,0.011976047904191617,0.9900199600798403,0.023952095808383235
0.05,4,highest_observed_analyzed_arrival_density,minor,robustness,3823,11747,run_preserving_circular_translation,500,0.3254447944155955,0.30790038246063783,0.01754441195495765,1.0569808059825991,0.004275815100985683,4.103173673462452,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,major,robustness,2023,11747,run_preserving_circular_translation,500,0.17221418234442837,0.16087691953537428,0.011337262809054088,1.0704716552367923,0.0032961108518500663,3.4395878411342333,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,verse,exploratory,1044,11747,run_preserving_circular_translation,500,0.08887375500127692,0.08292793735078569,0.005945817650491236,1.0716986077362614,0.0024197314216436653,2.4572221517264032,0.011976047904191617,0.9900199600798403,0.023952095808383235
0.1,7,highest_observed_analyzed_arrival_density,minor,robustness,3652,11173,run_preserving_circular_translation,500,0.32685939317998747,0.30800273828488034,0.018856654895107128,1.0612223612040295,0.004386952323461459,4.29834962971026,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,major,robustness,1938,11173,run_preserving_circular_translation,500,0.1734538619887228,0.16072186794812218,0.01273199404060063,1.0792175588993917,0.0033814237829242763,3.7652760665183242,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,verse,exploratory,996,11173,run_preserving_circular_translation,500,0.08914347086726931,0.0828775636558429,0.006265907211426419,1.0756043847698782,0.0024949028526070603,2.511483445088385,0.011976047904191617,0.9900199600798403,0.023952095808383235
