scope,level,metric_role,metric,eligible_blocks,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
ALL,minor,robustness,positive_block_difference_share,70,run_preserving_circular_translation,500,0.8714285714285714,0.49634285714285714,0.3750857142857143,1.7556988256965231,0.060801557445143636,6.1690149076218,0.001996007984031936,1.0,0.003992015968063872
ALL,minor,robustness,median_block_hit_rate_difference,70,run_preserving_circular_translation,500,0.044008812089351396,-0.00022631705079703368,0.04423512914014843,-194.45645802807633,0.004505868303084551,9.817226373408804,0.001996007984031936,1.0,0.003992015968063872
ALL,major,robustness,positive_block_difference_share,70,run_preserving_circular_translation,500,0.8428571428571429,0.49248571428571425,0.3503714285714286,1.7114347044149216,0.0614008641832424,5.7062947440901395,0.001996007984031936,1.0,0.003992015968063872
ALL,major,robustness,median_block_hit_rate_difference,70,run_preserving_circular_translation,500,0.022089689235449128,-0.00038997828670310464,0.022479667522152233,-56.64338243597209,0.003493060483841346,6.435521980263899,0.001996007984031936,1.0,0.003992015968063872
ALL,verse,exploratory,positive_block_difference_share,70,run_preserving_circular_translation,500,0.7857142857142857,0.49028571428571427,0.29542857142857143,1.6025641025641026,0.057195689861872546,5.165224375158875,0.001996007984031936,1.0,0.003992015968063872
ALL,verse,exploratory,median_block_hit_rate_difference,70,run_preserving_circular_translation,500,0.014320317302802497,-0.0003806911169100103,0.014701008419712508,-37.616631086739034,0.0023747722338902043,6.190491959572152,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,robustness,positive_block_difference_share,18,run_preserving_circular_translation,500,0.8888888888888888,0.4976666666666667,0.39122222222222214,1.7861129716454565,0.12212415257423616,3.203479524530646,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,robustness,median_block_hit_rate_difference,18,run_preserving_circular_translation,500,0.04933605583363454,-0.00016966078135045759,0.049505716614985,-290.79234128790296,0.009127849447978178,5.423590397401935,0.001996007984031936,1.0,0.003992015968063872
genesis,major,robustness,positive_block_difference_share,18,run_preserving_circular_translation,500,0.9444444444444444,0.49377777777777776,0.45066666666666666,1.9126912691269127,0.12058827001079969,3.7372346964286467,0.001996007984031936,1.0,0.003992015968063872
genesis,major,robustness,median_block_hit_rate_difference,18,run_preserving_circular_translation,500,0.011814157267483028,-0.0006079575437828829,0.01242211481126591,-19.432536676775186,0.006873010625107349,1.8073760523354188,0.023952095808383235,0.9780439121756487,0.04790419161676647
genesis,verse,exploratory,positive_block_difference_share,18,run_preserving_circular_translation,500,0.8333333333333334,0.49422222222222223,0.33911111111111114,1.6861510791366907,0.11707842681165202,2.8964440362411987,0.001996007984031936,1.0,0.003992015968063872
genesis,verse,exploratory,median_block_hit_rate_difference,18,run_preserving_circular_translation,500,0.008615645609606301,-0.0003230086099261461,0.008938654219532447,-26.67311441504985,0.0050307850014657506,1.7767911403345829,0.031936127744510975,0.9700598802395209,0.06387225548902195
exodus,minor,robustness,positive_block_difference_share,15,run_preserving_circular_translation,500,0.9333333333333333,0.4948,0.43853333333333333,1.886284020479655,0.125289283039071,3.5001663565795833,0.003992015968063872,1.0,0.007984031936127744
exodus,minor,robustness,median_block_hit_rate_difference,15,run_preserving_circular_translation,500,0.05132292399012095,-0.0006182278933747964,0.05194115188349575,-83.01618956394577,0.00979733134971892,5.301561213910144,0.001996007984031936,1.0,0.003992015968063872
exodus,major,robustness,positive_block_difference_share,15,run_preserving_circular_translation,500,0.6666666666666666,0.49346666666666666,0.17319999999999997,1.3509862199405565,0.13287247018601456,1.3035055324668003,0.14171656686626746,0.9461077844311377,0.2834331337325349
exodus,major,robustness,median_block_hit_rate_difference,15,run_preserving_circular_translation,500,0.023983758674504474,-0.00029991356731950644,0.02428367224182398,-79.96890200353589,0.007309419982616464,3.32224339271465,0.001996007984031936,1.0,0.003992015968063872
exodus,verse,exploratory,positive_block_difference_share,15,run_preserving_circular_translation,500,0.7333333333333333,0.4866666666666667,0.2466666666666666,1.506849315068493,0.12999145271046775,1.8975606589771068,0.05389221556886228,0.9900199600798403,0.10778443113772455
exodus,verse,exploratory,median_block_hit_rate_difference,15,run_preserving_circular_translation,500,0.015233779260374572,-0.00048757501014525884,0.015721354270519832,-31.24397055508671,0.005328831984193854,2.9502439403516227,0.001996007984031936,1.0,0.003992015968063872
leviticus,minor,robustness,positive_block_difference_share,10,run_preserving_circular_translation,500,0.8,0.489,0.31100000000000005,1.6359918200408998,0.16376507564190845,1.8990618041177354,0.05588822355289421,0.9900199600798403,0.11177644710578842
leviticus,minor,robustness,median_block_hit_rate_difference,10,run_preserving_circular_translation,500,0.04213313500982552,-0.0007948331368028294,0.042927968146628345,-53.008780156428344,0.011187039766647722,3.8372946768823386,0.001996007984031936,1.0,0.003992015968063872
leviticus,major,robustness,positive_block_difference_share,10,run_preserving_circular_translation,500,0.7,0.49439999999999995,0.2056,1.4158576051779936,0.15260615977082967,1.3472588544836706,0.14570858283433133,0.9640718562874252,0.29141716566866266
leviticus,major,robustness,median_block_hit_rate_difference,10,run_preserving_circular_translation,500,0.026047347303894408,-5.909694507548846e-05,0.026106444248969896,-440.7562399481462,0.008510645948098692,3.0675044418693234,0.001996007984031936,1.0,0.003992015968063872
leviticus,verse,exploratory,positive_block_difference_share,10,run_preserving_circular_translation,500,0.7,0.4854,0.21459999999999996,1.442109600329625,0.1600213735724075,1.341070853281336,0.14770459081836326,0.9600798403193613,0.2954091816367265
leviticus,verse,exploratory,median_block_hit_rate_difference,10,run_preserving_circular_translation,500,0.014320317302802497,-0.0004568717360825527,0.01477718903888505,-31.344283683626564,0.006096920205904526,2.423713701316637,0.013972055888223553,0.9880239520958084,0.027944111776447105
numbers,minor,robustness,positive_block_difference_share,14,run_preserving_circular_translation,500,0.8571428571428571,0.49814285714285716,0.35899999999999993,1.7206767995411527,0.12780174378421333,2.8090383540161468,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,robustness,median_block_hit_rate_difference,14,run_preserving_circular_translation,500,0.05468081084737189,0.00019007456274714598,0.054490736284624745,287.68084512241205,0.009562589594562092,5.698324260994292,0.001996007984031936,1.0,0.003992015968063872
numbers,major,robustness,positive_block_difference_share,14,run_preserving_circular_translation,500,0.9285714285714286,0.4918571428571428,0.4367142857142858,1.8878884693581182,0.13265353061141447,3.2921421970559126,0.003992015968063872,1.0,0.007984031936127744
numbers,major,robustness,median_block_hit_rate_difference,14,run_preserving_circular_translation,500,0.05401944251301086,-0.0006188703167401118,0.05463831282975097,-87.28717641129937,0.007217741611380774,7.570001223595827,0.001996007984031936,1.0,0.003992015968063872
numbers,verse,exploratory,positive_block_difference_share,14,run_preserving_circular_translation,500,0.9285714285714286,0.4898571428571428,0.4387142857142858,1.8955963837853604,0.13112223616277496,3.3458420063067447,0.003992015968063872,1.0,0.007984031936127744
numbers,verse,exploratory,median_block_hit_rate_difference,14,run_preserving_circular_translation,500,0.02508285202224498,-0.0004567700094906915,0.02553962203173567,-54.913526503661885,0.005391988011665667,4.736587317419887,0.001996007984031936,1.0,0.003992015968063872
