trim_fraction_of_fixed_blocks,blocks_removed,selection_rule,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
0.0,0,highest_observed_analyzed_arrival_density,minor,robustness,5425,15209,run_preserving_circular_translation,500,0.35669669274771515,0.3081975146294957,0.048499178118219466,1.1573639494676766,0.0035499147292391304,13.662068476955929,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,major,robustness,2871,15209,run_preserving_circular_translation,500,0.18876980735091065,0.16114682096127295,0.0276229863896377,1.1714150252847748,0.0027936074471503615,9.887926959034534,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,verse,exploratory,1509,15209,run_preserving_circular_translation,500,0.0992175685449405,0.08305621671378789,0.01616135183115261,1.1945832891334878,0.001938222049909363,8.338235462705814,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,minor,robustness,5335,14965,run_preserving_circular_translation,500,0.35649849649181425,0.30793873396906607,0.048559762522748184,1.1576929342303077,0.0035926230921859343,13.516520179466408,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,major,robustness,2824,14965,run_preserving_circular_translation,500,0.18870698296024055,0.16098461393248586,0.027722369027754684,1.1722050843901204,0.002829582669476464,9.79733489563814,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,verse,exploratory,1483,14965,run_preserving_circular_translation,500,0.09909789508853993,0.08299962780602649,0.016098267282513443,1.1939558972497533,0.0019434744249595117,8.283241125155952,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,minor,robustness,5124,14289,run_preserving_circular_translation,500,0.3585975225698089,0.30764695911204987,0.05095056345775906,1.1656137398686333,0.003691796573702785,13.801021383650303,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,major,robustness,2718,14289,run_preserving_circular_translation,500,0.19021625026243963,0.16029272812764003,0.029923522134799596,1.1866804719361423,0.002909247727774548,10.285656270904724,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,verse,exploratory,1433,14289,run_preserving_circular_translation,500,0.10028693400517881,0.08267236611953335,0.017614567885645457,1.2130647604808735,0.001993790638495577,8.834712905933094,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,minor,robustness,4924,13708,run_preserving_circular_translation,500,0.35920630288882405,0.3076179752329149,0.05158832765590915,1.1677025785533135,0.003790888468190777,13.608505786647417,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,major,robustness,2606,13708,run_preserving_circular_translation,500,0.1901079661511526,0.15977284380346002,0.03033512234769259,1.1898640696726188,0.002978527605529344,10.184603389734718,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,verse,exploratory,1368,13708,run_preserving_circular_translation,500,0.0997957397140356,0.0824811506680791,0.017314589045956508,1.2099217688612751,0.0020227377957281905,8.559977018535522,0.001996007984031936,1.0,0.003992015968063872
