book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
numbers,1,minor,robustness,1,111,41,run_preserving_circular_translation,500,0.36936936936936937,0.31377100357936194,0.05559836579000743,1.1771940847170888,0.04114078775233523,1.3514171416625722,0.08982035928143713,0.9121756487025948,0.17964071856287425
numbers,1,major,robustness,1,111,31,run_preserving_circular_translation,500,0.27927927927927926,0.18952170624404563,0.08975757303523363,1.4736004904876356,0.03339972163393552,2.6873748835090936,0.007984031936127744,0.9940119760479041,0.015968063872255488
numbers,1,verse,exploratory,1,111,13,run_preserving_circular_translation,500,0.11711711711711711,0.1009113079199653,0.01620580919715181,1.1605945808373126,0.02615574301625865,0.6195889440830693,0.2435129740518962,0.7624750499001997,0.4870259481037924
numbers,2,minor,robustness,1,132,46,run_preserving_circular_translation,500,0.3484848484848485,0.32815660599404156,0.020328242490806947,1.0619467721188465,0.04100929766723071,0.4956983817611349,0.3013972055888224,0.7005988023952096,0.6027944111776448
numbers,2,major,robustness,1,132,27,run_preserving_circular_translation,500,0.20454545454545456,0.1684379639145991,0.03610749063085547,1.214366700901007,0.032043193993538874,1.1268380623397316,0.12574850299401197,0.8762475049900199,0.25149700598802394
numbers,2,verse,exploratory,1,132,14,run_preserving_circular_translation,500,0.10606060606060606,0.08763419595854474,0.018426410102061322,1.2102650671979454,0.023044745848853403,0.799592680384372,0.19560878243512975,0.8063872255489022,0.3912175648702595
numbers,3,minor,robustness,1,119,29,run_preserving_circular_translation,500,0.24369747899159663,0.28619279456226276,-0.04249531557066613,0.8515150752286985,0.03850880912387828,-1.1035219353048216,0.8682634730538922,0.13373253493013973,0.26746506986027946
numbers,3,major,robustness,1,119,15,run_preserving_circular_translation,500,0.12605042016806722,0.14712040666239504,-0.021069986494327814,0.8567840657028755,0.03088389180906242,-0.6822322337026558,0.7584830339321357,0.24550898203592814,0.49101796407185627
numbers,3,verse,exploratory,1,119,8,run_preserving_circular_translation,500,0.06722689075630252,0.08218430982574729,-0.014957419069444769,0.818001524851173,0.02309127373394299,-0.6477520141064427,0.7385229540918163,0.2634730538922156,0.5269461077844312
numbers,4,minor,robustness,1,184,54,run_preserving_circular_translation,500,0.29347826086956524,0.261532158936089,0.031946101933476245,1.1221498039225186,0.037177232068401726,0.8592921031533274,0.1996007984031936,0.8023952095808383,0.3992015968063872
numbers,4,major,robustness,1,184,31,run_preserving_circular_translation,500,0.16847826086956522,0.1420107917415582,0.026467469128007015,1.1863764633900111,0.028448566356057015,0.9303621418649027,0.18562874251497005,0.8163672654690619,0.3712574850299401
numbers,4,verse,exploratory,1,184,15,run_preserving_circular_translation,500,0.08152173913043478,0.0855915483508773,-0.004069809220442519,0.9524508050285692,0.022994933103793965,-0.17698721723052266,0.5688622754491018,0.4351297405189621,0.8702594810379242
numbers,5,minor,robustness,1,125,47,run_preserving_circular_translation,500,0.376,0.3275472720998288,0.04845272790017119,1.147925908799521,0.03939072307091894,1.2300542900148608,0.1157684630738523,0.8882235528942116,0.2315369261477046
