excluded_book,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
NONE,minor,robustness,5682,16095,run_preserving_circular_translation,500,0.35302889095992546,0.30787735321528426,0.0451515377446412,1.146654300074708,0.003629043369760936,12.441718972241318,0.001996007984031936,1.0,0.003992015968063872
NONE,major,robustness,3027,16095,run_preserving_circular_translation,500,0.18807082945013978,0.160981174277726,0.027089655172413768,1.1682784045647379,0.0028234984061831616,9.59435823058738,0.001996007984031936,1.0,0.003992015968063872
NONE,verse,exploratory,1588,16095,run_preserving_circular_translation,500,0.09866418142280212,0.082933706119913,0.01573047530288911,1.1896752965572837,0.002007460323636034,7.836008073323769,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,robustness,4188,11988,run_preserving_circular_translation,500,0.34934934934934936,0.30474357691024356,0.044605772439105795,1.1463714933432168,0.004226666097279211,10.553417613901276,0.001996007984031936,1.0,0.003992015968063872
genesis,major,robustness,2267,11988,run_preserving_circular_translation,500,0.18910577243910578,0.15953703703703703,0.029568735402068752,1.185340883541696,0.003201074825895155,9.237127218293027,0.001996007984031936,1.0,0.003992015968063872
genesis,verse,exploratory,1188,11988,run_preserving_circular_translation,500,0.0990990990990991,0.08250483817150485,0.01659426092759425,1.201130761484549,0.002258310935420152,7.348085096398357,0.001996007984031936,1.0,0.003992015968063872
exodus,minor,robustness,4504,12753,run_preserving_circular_translation,500,0.3531718027130871,0.3078379989022191,0.045333803810868045,1.1472651328703178,0.004071319327053574,11.134917251424799,0.001996007984031936,1.0,0.003992015968063872
exodus,major,robustness,2398,12753,run_preserving_circular_translation,500,0.18803418803418803,0.1610077628793225,0.02702642515486553,1.1678579012064294,0.003260293689232211,8.289567668129362,0.001996007984031936,1.0,0.003992015968063872
exodus,verse,exploratory,1257,12753,run_preserving_circular_translation,500,0.09856504351917196,0.0830526150709637,0.015512428448208257,1.1867783264254084,0.0022956715224604148,6.757250894318982,0.001996007984031936,1.0,0.003992015968063872
leviticus,minor,robustness,4875,13706,run_preserving_circular_translation,500,0.35568364220049614,0.3098143878593317,0.045869254341164456,1.1480539837355486,0.0038000799099690286,12.070602573601748,0.001996007984031936,1.0,0.003992015968063872
leviticus,major,robustness,2576,13706,run_preserving_circular_translation,500,0.18794688457609807,0.1609616226470159,0.026985261929082155,1.1676502851133654,0.0029149369875545125,9.257579853114235,0.001996007984031936,1.0,0.003992015968063872
leviticus,verse,exploratory,1364,13706,run_preserving_circular_translation,500,0.09951845906902086,0.08303093535677807,0.016487523712242796,1.1985708536390332,0.0021331974671410974,7.729018980291266,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,robustness,4440,12714,run_preserving_circular_translation,500,0.3492213308164228,0.307112317130722,0.0421090136857008,1.1371127478022223,0.0040075938152828545,10.507305786609207,0.001996007984031936,1.0,0.003992015968063872
numbers,major,robustness,2309,12714,run_preserving_circular_translation,500,0.1816108227151172,0.15906009123800535,0.02255073147711184,1.1417749185329502,0.0031253698469970617,7.215380124940792,0.001996007984031936,1.0,0.003992015968063872
numbers,verse,exploratory,1204,12714,run_preserving_circular_translation,500,0.0946987572754444,0.08133978291647002,0.013358974358974374,1.1642366610775574,0.0022288593989242796,5.993637088737787,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,robustness,4721,13219,run_preserving_circular_translation,500,0.3571374536651789,0.3094846811407822,0.0476527725243967,1.1539745758941775,0.00403690480759506,11.804284419771912,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,major,robustness,2558,13219,run_preserving_circular_translation,500,0.19350934261290567,0.16413314168999169,0.029376200922913986,1.1789778750375632,0.0031029124018397483,9.467299465333452,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,verse,exploratory,1339,13219,run_preserving_circular_translation,500,0.10129359255616915,0.08464013919358498,0.01665345336258417,1.196755977970395,0.0022312411240551287,7.463762290432176,0.001996007984031936,1.0,0.003992015968063872
