book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
deuteronomy,1,minor,robustness,1,226,93,run_preserving_circular_translation,500,0.41150442477876104,0.3033929319064351,0.10811149287232591,1.356341501408698,0.029469470305332698,3.6685930134537372,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,1,major,robustness,1,226,48,run_preserving_circular_translation,500,0.21238938053097345,0.1541386833397567,0.058250697191216755,1.377910956088933,0.022455265503503952,2.5940774194866334,0.013972055888223553,0.9880239520958084,0.027944111776447105
deuteronomy,1,verse,exploratory,1,226,30,run_preserving_circular_translation,500,0.13274336283185842,0.07887978100189143,0.05386358182996699,1.6828566350694536,0.01639572654367192,3.285220797412978,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,2,minor,robustness,1,239,87,run_preserving_circular_translation,500,0.36401673640167365,0.3044199116812504,0.05959682472042327,1.1957717693014294,0.02935116969803402,2.0304752871370284,0.029940119760479042,0.9720558882235529,0.059880239520958084
deuteronomy,2,major,robustness,1,239,39,run_preserving_circular_translation,500,0.16317991631799164,0.13408137514766016,0.029098541170331477,1.2170215001023523,0.020001780194955094,1.4547975673520697,0.07984031936127745,0.9221556886227545,0.1596806387225549
deuteronomy,2,verse,exploratory,1,239,21,run_preserving_circular_translation,500,0.08786610878661087,0.06931462464552528,0.018551484141085595,1.267641702396252,0.014312849490129396,1.2961419145697926,0.0998003992015968,0.9021956087824351,0.1996007984031936
deuteronomy,3,minor,robustness,1,236,82,run_preserving_circular_translation,500,0.3474576271186441,0.29508501863104925,0.05237260848759484,1.1774831156476886,0.027860829306084498,1.8797935952379292,0.01996007984031936,0.9820359281437125,0.03992015968063872
deuteronomy,3,major,robustness,1,236,40,run_preserving_circular_translation,500,0.1694915254237288,0.14036323607626439,0.02912828934746442,1.2075207879336578,0.020393897045369112,1.4282846129243674,0.0718562874251497,0.9321357285429142,0.1437125748502994
deuteronomy,3,verse,exploratory,1,236,18,run_preserving_circular_translation,500,0.07627118644067797,0.07581491432005213,0.00045627212062583633,1.0060182369751114,0.014318642697638278,0.031865598594837063,0.46706586826347307,0.5349301397205589,0.9341317365269461
deuteronomy,4,minor,robustness,1,243,94,run_preserving_circular_translation,500,0.3868312757201646,0.30928318292416707,0.07754809279599756,1.2507349156937884,0.030373800222560098,2.5531244766138554,0.005988023952095809,0.9960079840319361,0.011976047904191617
deuteronomy,4,major,robustness,1,243,43,run_preserving_circular_translation,500,0.17695473251028807,0.13849503951356465,0.038459692996723416,1.2776972600015508,0.021501973188304116,1.7886587737744628,0.03992015968063872,0.9620758483033932,0.07984031936127745
deuteronomy,4,verse,exploratory,1,243,24,run_preserving_circular_translation,500,0.09876543209876543,0.07066795684867894,0.02809747525008649,1.3975985227682686,0.016655726990544992,1.686955800010211,0.05588822355289421,0.9481037924151696,0.11177644710578842
deuteronomy,5,minor,robustness,1,236,82,run_preserving_circular_translation,500,0.3474576271186441,0.3036366189355019,0.04382100818314216,1.1443205642875722,0.029794169510251132,1.4707913965537749,0.0718562874251497,0.9321357285429142,0.1437125748502994
deuteronomy,5,major,robustness,1,236,36,run_preserving_circular_translation,500,0.15254237288135594,0.13965498590125094,0.012887386980104998,1.09228017816147,0.021616856498039613,0.5961730365964046,0.2694610778443114,0.7325349301397206,0.5389221556886228
deuteronomy,5,verse,exploratory,1,236,17,run_preserving_circular_translation,500,0.07203389830508475,0.06972194516845837,0.0023119531366263824,1.0331596189842434,0.014992740443855708,0.15420483968785453,0.4311377245508982,0.5708582834331337,0.8622754491017964
deuteronomy,6,minor,robustness,1,230,70,run_preserving_circular_translation,500,0.30434782608695654,0.29198989264858993,0.012357933438366608,1.0423231548402923,0.028229279286251924,0.4377700653656115,0.3073852295409182,0.7045908183632734,0.6147704590818364
deuteronomy,6,major,robustness,1,230,38,run_preserving_circular_translation,500,0.16521739130434782,0.14093224367955126,0.024285147624796555,1.1723178953995481,0.02008878532889224,1.2088907929076722,0.11976047904191617,0.8842315369261478,0.23952095808383234
deuteronomy,6,verse,exploratory,1,230,20,run_preserving_circular_translation,500,0.08695652173913043,0.07469729647923988,0.012259225259890552,1.164118727687791,0.015602310478847345,0.7857314002634967,0.21357285429141717,0.7964071856287425,0.42714570858283435
deuteronomy,7,minor,robustness,1,225,71,run_preserving_circular_translation,500,0.31555555555555553,0.29676716798744873,0.0187883875681068,1.0633101959880598,0.028528804942717215,0.6585760464145579,0.2275449101796407,0.7784431137724551,0.4550898203592814
deuteronomy,7,major,robustness,1,225,31,run_preserving_circular_translation,500,0.13777777777777778,0.14316555946341455,-0.005387781685636778,0.9623667751809148,0.020815673454799857,-0.2588329268969396,0.592814371257485,0.41317365269461076,0.8263473053892215
deuteronomy,7,verse,exploratory,1,225,18,run_preserving_circular_translation,500,0.08,0.07223329276927733,0.007766707230722675,1.107522541655834,0.01497536066382263,0.5186323992506858,0.29740518962075846,0.7125748502994012,0.5948103792415169
deuteronomy,8,minor,robustness,1,233,72,run_preserving_circular_translation,500,0.3090128755364807,0.2826394870216982,0.026373388514782492,1.093311054278689,0.02803705457280983,0.9406618818069159,0.16367265469061876,0.8403193612774451,0.3273453093812375
deuteronomy,8,major,robustness,1,233,37,run_preserving_circular_translation,500,0.15879828326180256,0.1444905310269717,0.014307752234830856,1.0990220752400728,0.020948615511546448,0.6829927365340548,0.23552894211576847,0.7664670658682635,0.47105788423153694
deuteronomy,8,verse,exploratory,1,233,20,run_preserving_circular_translation,500,0.08583690987124463,0.07343902014066563,0.01239788973057901,1.1688188337321495,0.016015747660085653,0.7741062105690484,0.23552894211576847,0.7664670658682635,0.47105788423153694
deuteronomy,9,minor,robustness,1,225,63,run_preserving_circular_translation,500,0.28,0.28170540837629565,-0.0017054083762956251,0.993946128382393,0.027667961122800185,-0.06163838270288224,0.5349301397205589,0.47105788423153694,0.9421157684630739
deuteronomy,9,major,robustness,1,225,35,run_preserving_circular_translation,500,0.15555555555555556,0.15568093829833568,-0.0001253827427801224,0.9991946172463333,0.022741539406411267,-0.0055133797470533,0.5129740518962076,0.49101796407185627,0.9820359281437125
deuteronomy,9,verse,exploratory,1,225,18,run_preserving_circular_translation,500,0.08,0.07810579850821413,0.001894201491785874,1.0242517396654829,0.01601527749537548,0.11827465945144175,0.4491017964071856,0.5608782435129741,0.8982035928143712
deuteronomy,10,minor,robustness,1,225,62,run_preserving_circular_translation,500,0.27555555555555555,0.3039164055116394,-0.028360849956083845,0.9066820696686686,0.028346958232931034,-1.0004900604515892,0.846307385229541,0.15568862275449102,0.31137724550898205
deuteronomy,10,major,robustness,1,225,23,run_preserving_circular_translation,500,0.10222222222222223,0.15627466394100914,-0.05405244171878691,0.6541189700514043,0.02188317809821091,-2.4700453232250594,0.9940119760479041,0.00998003992015968,0.01996007984031936
deuteronomy,10,verse,exploratory,1,225,12,run_preserving_circular_translation,500,0.05333333333333334,0.0797458595421054,-0.026412526208772068,0.6687912531079261,0.015221635668361027,-1.7351963208311376,0.9740518962075848,0.029940119760479042,0.059880239520958084
deuteronomy,11,minor,robustness,1,235,72,run_preserving_circular_translation,500,0.30638297872340425,0.29531539288362396,0.011067585839780292,1.0374771722249565,0.02802167666023842,0.3949651540831863,0.3473053892215569,0.656686626746507,0.6946107784431138
deuteronomy,11,major,robustness,1,235,32,run_preserving_circular_translation,500,0.13617021276595745,0.1424328439682677,-0.006262631202310243,0.9560309895679294,0.019284120381996228,-0.32475586535733686,0.6007984031936128,0.40119760479041916,0.8023952095808383
deuteronomy,11,verse,exploratory,1,235,20,run_preserving_circular_translation,500,0.0851063829787234,0.07253730629396152,0.012569076684761885,1.1732774116786884,0.01469842304025258,0.8551309654335474,0.1936127744510978,0.812375249500998,0.3872255489021956
deuteronomy,12,minor,robustness,1,210,76,run_preserving_circular_translation,500,0.3619047619047619,0.31178522095144795,0.050119540953313946,1.1607502138823915,0.029403214920015026,1.7045598955642478,0.0499001996007984,0.9520958083832335,0.0998003992015968
deuteronomy,12,major,robustness,1,210,41,run_preserving_circular_translation,500,0.19523809523809524,0.15208265082929032,0.04315544440880492,1.2837630996927192,0.022434556266447116,1.9236147974697295,0.031936127744510975,0.9700598802395209,0.06387225548902195
deuteronomy,12,verse,exploratory,1,210,21,run_preserving_circular_translation,500,0.1,0.07603491575081868,0.023965084249181326,1.3151852542024194,0.01583796945677496,1.5131412088264797,0.0658682634730539,0.936127744510978,0.1317365269461078
deuteronomy,13,minor,robustness,1,161,47,run_preserving_circular_translation,500,0.2919254658385093,0.3141156350512237,-0.022190169212714383,0.9293566867211313,0.0364517942424753,-0.608753826083474,0.7345309381237525,0.27345309381237526,0.5469061876247505
deuteronomy,13,major,robustness,1,161,24,run_preserving_circular_translation,500,0.14906832298136646,0.15934002158244273,-0.010271698601076268,0.9355359783495343,0.026801522822576206,-0.38325055889824006,0.6327345309381237,0.37325349301397204,0.7465069860279441
