book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
leviticus,1,minor,robustness,1,228,62,run_preserving_circular_translation,500,0.2719298245614035,0.304715323509174,-0.0327854989477705,0.8924061364220056,0.029763658238701984,-1.1015278661256493,0.8622754491017964,0.1437125748502994,0.2874251497005988
leviticus,1,major,robustness,1,228,30,run_preserving_circular_translation,500,0.13157894736842105,0.16593315483847848,-0.034354207470057435,0.7929635731719904,0.022425613666641035,-1.5319182779448592,0.9540918163672655,0.04790419161676647,0.09580838323353294
leviticus,1,verse,exploratory,1,228,17,run_preserving_circular_translation,500,0.07456140350877193,0.08429205649555926,-0.009730652986787339,0.8845602611759747,0.01637389126361909,-0.5942785884017524,0.7005988023952096,0.3013972055888224,0.6027944111776448
leviticus,2,minor,robustness,1,233,61,run_preserving_circular_translation,500,0.26180257510729615,0.27571070162221845,-0.013908126514922292,0.949555362076662,0.02944404995758767,-0.47235779503689496,0.6806387225548902,0.3253493013972056,0.6506986027944112
leviticus,2,major,robustness,1,233,33,run_preserving_circular_translation,500,0.14163090128755365,0.15445115185143254,-0.012820250563878893,0.9169947882537596,0.023188246379463925,-0.5528771065341457,0.7005988023952096,0.3073852295409182,0.6147704590818364
leviticus,2,verse,exploratory,1,233,12,run_preserving_circular_translation,500,0.05150214592274678,0.08144773374061068,-0.029945587817863897,0.6323336888263508,0.016870714047389327,-1.7750041719483625,0.9720558882235529,0.031936127744510975,0.06387225548902195
leviticus,3,minor,robustness,1,232,78,run_preserving_circular_translation,500,0.33620689655172414,0.3045290508303457,0.03167784572137844,1.104022409799669,0.027138977490458367,1.1672453662823468,0.12375249500998003,0.8802395209580839,0.24750499001996007
leviticus,3,major,robustness,1,232,44,run_preserving_circular_translation,500,0.1896551724137931,0.15830080750058953,0.031354364913203564,1.1980682563042946,0.02199378688485951,1.4256010152934537,0.0718562874251497,0.9341317365269461,0.1437125748502994
leviticus,3,verse,exploratory,1,232,26,run_preserving_circular_translation,500,0.11206896551724138,0.0810565858204582,0.03101237969678318,1.3826016033475201,0.0158312151184571,1.9589386831480073,0.027944111776447105,0.9780439121756487,0.05588822355289421
leviticus,4,minor,robustness,1,229,79,run_preserving_circular_translation,500,0.34497816593886466,0.3032593338901143,0.041718832048750376,1.137568171484104,0.029592356367066384,1.4097840513700917,0.08383233532934131,0.9181636726546906,0.16766467065868262
leviticus,4,major,robustness,1,229,49,run_preserving_circular_translation,500,0.21397379912663755,0.16142546533318783,0.052548333793449725,1.3255269153784883,0.021917146537508515,2.3975901107162687,0.00998003992015968,0.9920159680638723,0.01996007984031936
leviticus,4,verse,exploratory,1,229,25,run_preserving_circular_translation,500,0.1091703056768559,0.08579011752068705,0.023380188156168852,1.2725277553155356,0.016223900044794355,1.4410954266000107,0.07584830339321358,0.9281437125748503,0.15169660678642716
leviticus,5,minor,robustness,1,251,97,run_preserving_circular_translation,500,0.38645418326693226,0.28209676328753586,0.1043574199793964,1.3699348364129469,0.026966360495525102,3.8699111805137316,0.001996007984031936,1.0,0.003992015968063872
leviticus,5,major,robustness,1,251,51,run_preserving_circular_translation,500,0.20318725099601595,0.14625318657299502,0.05693406442302093,1.3892842662583977,0.019285072094765043,2.952234979638772,0.003992015968063872,1.0,0.007984031936127744
leviticus,5,verse,exploratory,1,251,30,run_preserving_circular_translation,500,0.11952191235059761,0.07370884988898076,0.04581306246161686,1.6215408669463687,0.014893607525825083,3.0760218692602406,0.003992015968063872,0.998003992015968,0.007984031936127744
leviticus,6,minor,robustness,1,225,89,run_preserving_circular_translation,500,0.39555555555555555,0.2969886964351358,0.09856685912041974,1.3318875778895085,0.029476030399799936,3.3439665308897477,0.001996007984031936,1.0,0.003992015968063872
leviticus,6,major,robustness,1,225,55,run_preserving_circular_translation,500,0.24444444444444444,0.1615800103994451,0.08286443404499932,1.5128384002460982,0.022819127023236827,3.6313586387690497,0.001996007984031936,1.0,0.003992015968063872
leviticus,6,verse,exploratory,1,225,28,run_preserving_circular_translation,500,0.12444444444444444,0.08316538977669989,0.04127905466774455,1.4963489593276642,0.016598416778973148,2.48692723031493,0.011976047904191617,0.9920159680638723,0.023952095808383235
leviticus,7,minor,robustness,1,236,76,run_preserving_circular_translation,500,0.3220338983050847,0.28507280118815415,0.036961097116930575,1.1296549406428131,0.027227242819441482,1.357504223326597,0.08383233532934131,0.9221556886227545,0.16766467065868262
leviticus,7,major,robustness,1,236,49,run_preserving_circular_translation,500,0.2076271186440678,0.1689113556627198,0.03871576298134799,1.2292075794990076,0.021965079349770933,1.7626051954941717,0.03592814371257485,0.9680638722554891,0.0718562874251497
leviticus,7,verse,exploratory,1,236,19,run_preserving_circular_translation,500,0.08050847457627118,0.08538864348119987,-0.004880168904928692,0.9428475648989182,0.016612777479835864,-0.2937599634288792,0.6167664670658682,0.3872255489021956,0.7744510978043913
leviticus,8,minor,robustness,1,212,54,run_preserving_circular_translation,500,0.25471698113207547,0.297044713564017,-0.042327732431941545,0.8575038352843153,0.028969251455907265,-1.4611262046714115,0.9141716566866267,0.08982035928143713,0.17964071856287425
leviticus,8,major,robustness,1,212,33,run_preserving_circular_translation,500,0.15566037735849056,0.15851475247846675,-0.002854375119976188,0.9819930001760313,0.022072159094679824,-0.12932015883594253,0.5688622754491018,0.4351297405189621,0.8702594810379242
leviticus,8,verse,exploratory,1,212,15,run_preserving_circular_translation,500,0.07075471698113207,0.08257585850740429,-0.011821141526272214,0.8568450665855051,0.01659756961401675,-0.712221234866169,0.7664670658682635,0.23552894211576847,0.47105788423153694
leviticus,9,minor,robustness,1,234,98,run_preserving_circular_translation,500,0.4188034188034188,0.3066585295720755,0.1121448892313433,1.365699559662779,0.03151279647023843,3.558709533673284,0.001996007984031936,1.0,0.003992015968063872
leviticus,9,major,robustness,1,234,45,run_preserving_circular_translation,500,0.19230769230769232,0.1654496063787403,0.02685808592895203,1.1623339367001553,0.0228337868660124,1.1762431736160992,0.14570858283433133,0.8582834331337326,0.29141716566866266
leviticus,9,verse,exploratory,1,234,20,run_preserving_circular_translation,500,0.08547008547008547,0.08597344320870569,-0.0005033577386202165,0.994145195076132,0.016510756287475566,-0.03048665547816514,0.5269461077844312,0.48502994011976047,0.9700598802395209
leviticus,10,minor,robustness,1,246,84,run_preserving_circular_translation,500,0.34146341463414637,0.32627113532084917,0.015192279313297197,1.0465633568791104,0.029110941381013514,0.5218752329048958,0.3153692614770459,0.6866267465069861,0.6307385229540918
