scope,level,metric_role,metric,eligible_blocks,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
ALL,minor,robustness,positive_block_difference_share,70,run_preserving_circular_translation,500,0.8285714285714286,0.4944571428571429,0.33411428571428575,1.675719403675026,0.05984581549827073,5.582918085959412,0.001996007984031936,1.0,0.003992015968063872
ALL,minor,robustness,median_block_hit_rate_difference,70,run_preserving_circular_translation,500,0.03986033837545694,-0.0002702602394502773,0.04013059861490722,-147.48872589077416,0.004523711656472481,8.871166347989655,0.001996007984031936,1.0,0.003992015968063872
ALL,major,robustness,positive_block_difference_share,70,run_preserving_circular_translation,500,0.7714285714285715,0.49502857142857143,0.27640000000000003,1.5583516102966641,0.05645821282965276,4.895656205660664,0.001996007984031936,1.0,0.003992015968063872
ALL,major,robustness,median_block_hit_rate_difference,70,run_preserving_circular_translation,500,0.02355084737467804,-0.0003152863413611503,0.023866133716039187,-74.69669403693358,0.0031795166795431044,7.506214346851215,0.001996007984031936,1.0,0.003992015968063872
ALL,verse,exploratory,positive_block_difference_share,70,run_preserving_circular_translation,500,0.7857142857142857,0.4933142857142857,0.2924,1.592725587860535,0.05728727464921589,5.104100374654534,0.001996007984031936,1.0,0.003992015968063872
ALL,verse,exploratory,median_block_hit_rate_difference,70,run_preserving_circular_translation,500,0.012499965690816787,-0.00027549276132313194,0.01277545845213992,-45.37311844704073,0.002364763920978626,5.402424461403727,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,robustness,positive_block_difference_share,18,run_preserving_circular_translation,500,0.9444444444444444,0.49377777777777776,0.45066666666666666,1.9126912691269127,0.11406430934637998,3.950987554732161,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,robustness,median_block_hit_rate_difference,18,run_preserving_circular_translation,500,0.04563207986586801,-0.0002446409116783635,0.04587672077754637,-186.52677327274608,0.0088355137042432,5.192309390625965,0.001996007984031936,1.0,0.003992015968063872
genesis,major,robustness,positive_block_difference_share,18,run_preserving_circular_translation,500,0.8333333333333334,0.49388888888888893,0.33944444444444444,1.6872890888638918,0.117351166574075,2.8925527913706643,0.005988023952095809,1.0,0.011976047904191617
genesis,major,robustness,median_block_hit_rate_difference,18,run_preserving_circular_translation,500,0.014672018921703917,-0.0004991192047974145,0.015171138126501331,-29.39582124005644,0.006705424929869939,2.262517034367216,0.00998003992015968,0.9920159680638723,0.01996007984031936
genesis,verse,exploratory,positive_block_difference_share,18,run_preserving_circular_translation,500,0.7777777777777778,0.4886666666666667,0.2891111111111111,1.591632560254661,0.11887310383267871,2.432098614317777,0.005988023952095809,1.0,0.011976047904191617
genesis,verse,exploratory,median_block_hit_rate_difference,18,run_preserving_circular_translation,500,0.010746424329462323,-0.00032900118457100165,0.011075425514033324,-32.66378613036009,0.004744039270806479,2.334598194030236,0.005988023952095809,0.9960079840319361,0.011976047904191617
exodus,minor,robustness,positive_block_difference_share,15,run_preserving_circular_translation,500,0.8,0.49,0.31000000000000005,1.6326530612244898,0.13083492568033114,2.36939791411219,0.017964071856287425,0.998003992015968,0.03592814371257485
exodus,minor,robustness,median_block_hit_rate_difference,15,run_preserving_circular_translation,500,0.03828638951787389,-0.00052119887885682,0.03880758839673071,-73.45831134911488,0.009704869965917573,3.9987746907499693,0.001996007984031936,1.0,0.003992015968063872
exodus,major,robustness,positive_block_difference_share,15,run_preserving_circular_translation,500,0.7333333333333333,0.49506666666666665,0.23826666666666663,1.4812819822246162,0.1291428838319961,1.844984869446088,0.059880239520958084,0.9860279441117764,0.11976047904191617
exodus,major,robustness,median_block_hit_rate_difference,15,run_preserving_circular_translation,500,0.020832111013181276,-0.0002140255011844708,0.021046136514365748,-97.33471431157105,0.007246541969619519,2.904300644721275,0.005988023952095809,0.9960079840319361,0.011976047904191617
exodus,verse,exploratory,positive_block_difference_share,15,run_preserving_circular_translation,500,0.6666666666666666,0.49,0.17666666666666664,1.3605442176870748,0.13049478491069627,1.3538216625865007,0.12974051896207583,0.9481037924151696,0.25948103792415167
exodus,verse,exploratory,median_block_hit_rate_difference,15,run_preserving_circular_translation,500,0.021572986343460873,-0.00035648285750789844,0.021929469200968773,-60.516195629358954,0.005198809976137076,4.21817094712572,0.001996007984031936,1.0,0.003992015968063872
