book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
deuteronomy,1,minor,robustness,1,221,91,run_preserving_circular_translation,500,0.4117647058823529,0.3028004950583007,0.10896421082405222,1.3598547974734072,0.029715751412524354,3.6668839132274766,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,1,major,robustness,1,221,47,run_preserving_circular_translation,500,0.21266968325791855,0.15230010786060297,0.06036957539731558,1.3963856378392756,0.02183725775394171,2.7645218130201643,0.005988023952095809,0.9960079840319361,0.011976047904191617
deuteronomy,1,verse,exploratory,1,221,30,run_preserving_circular_translation,500,0.13574660633484162,0.07861028515417536,0.057136321180666264,1.7268300969600476,0.016337958536247612,3.49715180473147,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,2,minor,robustness,1,232,86,run_preserving_circular_translation,500,0.3706896551724138,0.30353154020023726,0.06715811497217655,1.221255804019157,0.029388185067286066,2.285207977914046,0.017964071856287425,0.9840319361277445,0.03592814371257485
deuteronomy,2,major,robustness,1,232,40,run_preserving_circular_translation,500,0.1724137931034483,0.13384700025720067,0.038566792846247616,1.2881408830391237,0.01940909841877748,1.9870471061621222,0.027944111776447105,0.9740518962075848,0.05588822355289421
deuteronomy,2,verse,exploratory,1,232,21,run_preserving_circular_translation,500,0.09051724137931035,0.06938563342220164,0.02113160795710871,1.3045530741000215,0.01482961443175835,1.424960038870217,0.08183632734530938,0.9201596806387226,0.16367265469061876
deuteronomy,3,minor,robustness,1,229,83,run_preserving_circular_translation,500,0.3624454148471616,0.29679733731495234,0.06564807753220925,1.2211882294029663,0.02763850925534989,2.3752394503513963,0.013972055888223553,0.9900199600798403,0.027944111776447105
deuteronomy,3,major,robustness,1,229,40,run_preserving_circular_translation,500,0.17467248908296942,0.14166734222363286,0.03300514685933656,1.2329763962624172,0.021045978133058103,1.5682401003493165,0.07584830339321358,0.9261477045908184,0.15169660678642716
deuteronomy,3,verse,exploratory,1,229,17,run_preserving_circular_translation,500,0.07423580786026202,0.07654573758445579,-0.0023099297241937766,0.9698228824087671,0.015703607678529286,-0.14709548095448294,0.5508982035928144,0.4590818363273453,0.9181636726546906
deuteronomy,4,minor,robustness,1,241,91,run_preserving_circular_translation,500,0.3775933609958506,0.3092285774697714,0.06836478352607922,1.221081712710599,0.030301319979299923,2.256165195865461,0.013972055888223553,0.9880239520958084,0.027944111776447105
