book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
leviticus,1,minor,robustness,1,224,65,run_preserving_circular_translation,500,0.29017857142857145,0.30155102859735067,-0.011372457168779215,0.9622867903264081,0.029489625688540758,-0.385642642225818,0.6806387225548902,0.3253493013972056,0.6506986027944112
leviticus,1,major,robustness,1,224,33,run_preserving_circular_translation,500,0.14732142857142858,0.16417626508315078,-0.016854836511722204,0.8973369475594679,0.02290905673486561,-0.7357280881002226,0.7744510978043913,0.2315369261477046,0.4630738522954092
leviticus,1,verse,exploratory,1,224,19,run_preserving_circular_translation,500,0.08482142857142858,0.08277959705099601,0.002041831520432566,1.0246658789505185,0.016715279946466866,0.12215359401528605,0.4251497005988024,0.5788423153692615,0.8502994011976048
leviticus,2,minor,robustness,1,220,57,run_preserving_circular_translation,500,0.2590909090909091,0.2751659179960657,-0.016075008905156618,0.9415806687753152,0.029137854603472787,-0.5516881432732773,0.7065868263473054,0.2954091816367265,0.590818363273453
leviticus,2,major,robustness,1,220,31,run_preserving_circular_translation,500,0.1409090909090909,0.15557468932402466,-0.014665598414933756,0.9057327481825219,0.02292975807413944,-0.6395880134240867,0.7465069860279441,0.2654690618762475,0.530938123752495
leviticus,2,verse,exploratory,1,220,11,run_preserving_circular_translation,500,0.05,0.08250207937387692,-0.03250207937387692,0.6060453309717643,0.01662024186910743,-1.9555719844420294,0.9820359281437125,0.01996007984031936,0.03992015968063872
leviticus,3,minor,robustness,1,223,77,run_preserving_circular_translation,500,0.3452914798206278,0.3038571925875878,0.04143428723303999,1.1363610546131682,0.028727659563158776,1.4423133615164592,0.07385229540918163,0.9281437125748503,0.14770459081836326
leviticus,3,major,robustness,1,223,42,run_preserving_circular_translation,500,0.18834080717488788,0.15674521606057343,0.03159559111431445,1.2015729213841173,0.02255452840244224,1.4008535470372874,0.07984031936127745,0.9241516966067864,0.1596806387225549
leviticus,3,verse,exploratory,1,223,25,run_preserving_circular_translation,500,0.11210762331838565,0.07926033734671774,0.03284728597166792,1.4144227374150604,0.015894921923022373,2.0665270411987087,0.015968063872255488,0.9860279441117764,0.031936127744510975
leviticus,4,minor,robustness,1,226,76,run_preserving_circular_translation,500,0.336283185840708,0.3033179869409836,0.03296519889972438,1.1086819783824373,0.029345607023099057,1.123343568043292,0.1437125748502994,0.8622754491017964,0.2874251497005988
leviticus,4,major,robustness,1,226,47,run_preserving_circular_translation,500,0.2079646017699115,0.1625677872653554,0.0453968145045561,1.2792485231434934,0.021492711441716755,2.112195784494745,0.029940119760479042,0.9720558882235529,0.059880239520958084
leviticus,4,verse,exploratory,1,226,24,run_preserving_circular_translation,500,0.10619469026548672,0.08538379372239295,0.020810896543093774,1.243733566240403,0.016080567865940597,1.2941642805520714,0.10978043912175649,0.8982035928143712,0.21956087824351297
leviticus,5,minor,robustness,1,250,96,run_preserving_circular_translation,500,0.384,0.2813043875668242,0.10269561243317582,1.3650693589298544,0.02853667741775649,3.598723527963179,0.003992015968063872,0.998003992015968,0.007984031936127744
leviticus,5,major,robustness,1,250,51,run_preserving_circular_translation,500,0.204,0.14502160693082025,0.058978393069179735,1.406686936639133,0.02149626774685711,2.7436573531608874,0.001996007984031936,1.0,0.003992015968063872
leviticus,5,verse,exploratory,1,250,30,run_preserving_circular_translation,500,0.12,0.0731130423910849,0.04688695760891509,1.6412940301145544,0.014912989022965418,3.1440348770263973,0.001996007984031936,1.0,0.003992015968063872
leviticus,6,minor,robustness,1,224,90,run_preserving_circular_translation,500,0.4017857142857143,0.29721508608904434,0.10457062819666996,1.3518348599752472,0.03053822907119823,3.424253186157887,0.001996007984031936,1.0,0.003992015968063872
leviticus,6,major,robustness,1,224,55,run_preserving_circular_translation,500,0.24553571428571427,0.1604220177614005,0.08511369652431378,1.5305611892433957,0.023490039327341877,3.6233952331124177,0.001996007984031936,1.0,0.003992015968063872
leviticus,6,verse,exploratory,1,224,27,run_preserving_circular_translation,500,0.12053571428571429,0.083254505934241,0.03728120835147329,1.4477980853182895,0.016912989295216244,2.2042944449812962,0.015968063872255488,0.9860279441117764,0.031936127744510975
leviticus,7,minor,robustness,1,237,77,run_preserving_circular_translation,500,0.32489451476793246,0.28767515398286836,0.037219360785064104,1.12937982397771,0.028882556301533663,1.2886449660651318,0.09381237524950099,0.9101796407185628,0.18762475049900199
leviticus,7,major,robustness,1,237,51,run_preserving_circular_translation,500,0.21518987341772153,0.17132789249908564,0.043861980918635884,1.2560119095544817,0.023490562373924585,1.8672171496125758,0.03792415169660679,0.9640718562874252,0.07584830339321358
leviticus,7,verse,exploratory,1,237,21,run_preserving_circular_translation,500,0.08860759493670886,0.0867405528320695,0.001867042104639366,1.0215244432238515,0.016343980488554673,0.11423423479652427,0.45109780439121755,0.5548902195608783,0.9021956087824351
leviticus,8,minor,robustness,1,215,51,run_preserving_circular_translation,500,0.2372093023255814,0.29735560950350787,-0.06014630717792646,0.7977293676135714,0.028781317588319724,-2.089769066108896,0.9800399201596807,0.021956087824351298,0.043912175648702596
leviticus,8,major,robustness,1,215,30,run_preserving_circular_translation,500,0.13953488372093023,0.15949114328725503,-0.019956259566324797,0.874875437249941,0.021969581550906656,-0.9083586558115955,0.8203592814371258,0.18363273453093812,0.36726546906187624
leviticus,8,verse,exploratory,1,215,12,run_preserving_circular_translation,500,0.05581395348837209,0.08293425912238529,-0.0271203056340132,0.672990318825999,0.015696574546072435,-1.7277849733653632,0.9720558882235529,0.029940119760479042,0.059880239520958084
leviticus,9,minor,robustness,1,237,99,run_preserving_circular_translation,500,0.4177215189873418,0.305048506681089,0.11267301230625276,1.3693609699392695,0.028567911061101316,3.944040992891173,0.001996007984031936,1.0,0.003992015968063872
leviticus,9,major,robustness,1,237,46,run_preserving_circular_translation,500,0.1940928270042194,0.16426997229230744,0.029822854711911956,1.1815478160478665,0.021967316939400232,1.357601148751223,0.10578842315369262,0.8962075848303394,0.21157684630738524
leviticus,9,verse,exploratory,1,237,20,run_preserving_circular_translation,500,0.08438818565400844,0.08552961722963193,-0.0011414315756234916,0.9866545459620268,0.016738737785248536,-0.06819101835918649,0.5209580838323353,0.48902195608782434,0.9780439121756487
leviticus,10,minor,robustness,1,237,87,run_preserving_circular_translation,500,0.3670886075949367,0.3243629841465441,0.04272562344839265,1.1317216375993433,0.029778487537676538,1.4347815144854166,0.08782435129740519,0.9201596806387226,0.17564870259481039
leviticus,10,major,robustness,1,237,47,run_preserving_circular_translation,500,0.19831223628691982,0.17368775147175908,0.024624484815160746,1.1417744464218285,0.022554599186177905,1.091772219576898,0.1377245508982036,0.8642714570858283,0.2754491017964072
leviticus,10,verse,exploratory,1,237,26,run_preserving_circular_translation,500,0.10970464135021098,0.08779408089057998,0.021910560459630996,1.2495676273089378,0.01673508469625656,1.3092590122673313,0.0998003992015968,0.9041916167664671,0.1996007984031936
leviticus,11,minor,robustness,0,71,24,run_preserving_circular_translation,500,0.3380281690140845,0.2942889227053057,0.04373924630877879,1.1486268864852187,0.050874715795920455,0.8597442879923892,0.19760479041916168,0.812375249500998,0.39520958083832336
leviticus,11,major,robustness,0,71,14,run_preserving_circular_translation,500,0.19718309859154928,0.16680099324181585,0.03038210534973343,1.182145829945315,0.03923683205693476,0.7743261562413437,0.21956087824351297,0.7864271457085829,0.43912175648702595
leviticus,11,verse,exploratory,0,71,6,run_preserving_circular_translation,500,0.08450704225352113,0.08130456490964753,0.0032024773438735915,1.0393886536067496,0.02901991830230531,0.1103544576009089,0.437125748502994,0.5788423153692615,0.874251497005988
