book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
numbers,1,minor,robustness,1,258,129,run_preserving_circular_translation,500,0.5,0.3158642482431521,0.18413575175684788,1.5829585107558621,0.030452799929786254,6.046595130214692,0.001996007984031936,1.0,0.003992015968063872
numbers,1,major,robustness,1,258,86,run_preserving_circular_translation,500,0.3333333333333333,0.19111260606933053,0.14222072726400278,1.7441724028001007,0.02529978265527103,5.62142091107538,0.001996007984031936,1.0,0.003992015968063872
numbers,1,verse,exploratory,1,258,38,run_preserving_circular_translation,500,0.14728682170542637,0.10200206812929614,0.045284753576130224,1.4439591706976767,0.018274515042701917,2.4780276505457843,0.013972055888223553,0.9880239520958084,0.027944111776447105
numbers,2,minor,robustness,1,225,77,run_preserving_circular_translation,500,0.3422222222222222,0.330848531187184,0.011373691035038214,1.0343773357379764,0.027607658691214676,0.411975936179534,0.36127744510978044,0.6407185628742516,0.7225548902195609
numbers,2,major,robustness,1,225,48,run_preserving_circular_translation,500,0.21333333333333335,0.1712750531216112,0.04205828021172214,1.2455598725277248,0.022717309342864492,1.8513759520087114,0.023952095808383235,0.9800399201596807,0.04790419161676647
numbers,2,verse,exploratory,1,225,23,run_preserving_circular_translation,500,0.10222222222222223,0.08890499961890305,0.013317222603319176,1.1497916052011057,0.016723519762795423,0.7963169710808016,0.21756487025948104,0.7864271457085829,0.4351297405189621
numbers,3,minor,robustness,1,233,72,run_preserving_circular_translation,500,0.3090128755364807,0.28545889825029797,0.023553977286182748,1.082512674961458,0.028552963011307157,0.8249223478787551,0.21956087824351297,0.782435129740519,0.43912175648702595
numbers,3,major,robustness,1,233,39,run_preserving_circular_translation,500,0.16738197424892703,0.14748472088797007,0.019897253360956962,1.1349106079677975,0.021863092625109087,0.9100841176561445,0.18363273453093812,0.8203592814371258,0.36726546906187624
numbers,3,verse,exploratory,1,233,26,run_preserving_circular_translation,500,0.11158798283261803,0.08164394549344818,0.02994403733916985,1.36676372213752,0.016373637616449856,1.8287956555900826,0.03592814371257485,0.9660678642714571,0.0718562874251497
numbers,4,minor,robustness,1,251,94,run_preserving_circular_translation,500,0.3745019920318725,0.2616679976093475,0.11283399442252501,1.431210524226881,0.02839769448497623,3.973350529643162,0.001996007984031936,1.0,0.003992015968063872
numbers,4,major,robustness,1,251,55,run_preserving_circular_translation,500,0.21912350597609562,0.1410286337598585,0.07809487221623712,1.5537518880684609,0.0215104366635451,3.6305572703035227,0.001996007984031936,1.0,0.003992015968063872
