book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
deuteronomy,1,minor,robustness,1,224,93,run_preserving_circular_translation,500,0.41517857142857145,0.30424695584719913,0.11093161558137232,1.364610437177505,0.029373441982590613,3.7765957304942517,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,1,major,robustness,1,224,48,run_preserving_circular_translation,500,0.21428571428571427,0.15451274415335362,0.05977297013236066,1.3868481558584973,0.021781916389806498,2.7441557052497556,0.003992015968063872,0.998003992015968,0.007984031936127744
deuteronomy,1,verse,exploratory,1,224,31,run_preserving_circular_translation,500,0.13839285714285715,0.07856906002132764,0.05982379712152951,1.761416734593621,0.01614754918396777,3.7048221027204593,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,2,minor,robustness,1,235,86,run_preserving_circular_translation,500,0.3659574468085106,0.3042299084069081,0.0617275384016025,1.2028976661921147,0.03021450711562023,2.042976844381179,0.027944111776447105,0.9740518962075848,0.05588822355289421
deuteronomy,2,major,robustness,1,235,39,run_preserving_circular_translation,500,0.16595744680851063,0.13324471316151912,0.03271273364699151,1.245508680012971,0.02176672135606507,1.5028783210787255,0.0658682634730539,0.936127744510978,0.1317365269461078
deuteronomy,2,verse,exploratory,1,235,21,run_preserving_circular_translation,500,0.08936170212765958,0.06869015841122707,0.02067154371643251,1.3009389437228878,0.01537890834164621,1.3441489641012947,0.09181636726546906,0.9101796407185628,0.18363273453093812
deuteronomy,3,minor,robustness,1,232,83,run_preserving_circular_translation,500,0.3577586206896552,0.29521690037664106,0.06254172031301414,1.2118500676391586,0.030565586682816726,2.0461482045811232,0.029940119760479042,0.9720558882235529,0.059880239520958084
deuteronomy,3,major,robustness,1,232,40,run_preserving_circular_translation,500,0.1724137931034483,0.14228831299072928,0.03012548011271901,1.211721394958712,0.022491776496909036,1.3393997631471684,0.07784431137724551,0.9241516966067864,0.15568862275449102
deuteronomy,3,verse,exploratory,1,232,18,run_preserving_circular_translation,500,0.07758620689655173,0.07691902890407679,0.0006671779924749405,1.0086737703528077,0.016045484223980905,0.04158042120522635,0.46706586826347307,0.5389221556886228,0.9341317365269461
deuteronomy,4,minor,robustness,1,242,90,run_preserving_circular_translation,500,0.371900826446281,0.30848324898310714,0.06341757746317384,1.2055786746029982,0.030301180242599812,2.0929078324815995,0.015968063872255488,0.9860279441117764,0.031936127744510975
deuteronomy,4,major,robustness,1,242,41,run_preserving_circular_translation,500,0.16942148760330578,0.13921005343864715,0.03021143416465863,1.2170204911096703,0.021780430037094033,1.3870908018439414,0.08383233532934131,0.9181636726546906,0.16766467065868262
deuteronomy,4,verse,exploratory,1,242,23,run_preserving_circular_translation,500,0.09504132231404959,0.07047825318254924,0.024563069131500345,1.348519834449902,0.015249582436969179,1.6107371616912418,0.05588822355289421,0.9461077844311377,0.11177644710578842
deuteronomy,5,minor,robustness,1,236,84,run_preserving_circular_translation,500,0.3559322033898305,0.30561297737139004,0.050319226018440466,1.1646501612962954,0.029812358701917938,1.6878646376679765,0.04590818363273453,0.9560878243512974,0.09181636726546906
deuteronomy,5,major,robustness,1,236,36,run_preserving_circular_translation,500,0.15254237288135594,0.14090636098041204,0.011636011900943904,1.0825797488486804,0.020566609212809023,0.5657720132931255,0.2714570858283433,0.7305389221556886,0.5429141716566867
deuteronomy,5,verse,exploratory,1,236,17,run_preserving_circular_translation,500,0.07203389830508475,0.07122911508635306,0.0008047832187316889,1.01129851490863,0.015489781461646377,0.051955750358672274,0.469061876247505,0.5369261477045908,0.93812375249501
deuteronomy,6,minor,robustness,1,228,68,run_preserving_circular_translation,500,0.2982456140350877,0.2930103058260897,0.00523530820899798,1.0178673176502717,0.03050366111416351,0.1716288477440209,0.4411177644710579,0.5608782435129741,0.8822355289421158
deuteronomy,6,major,robustness,1,228,37,run_preserving_circular_translation,500,0.16228070175438597,0.14023096929438045,0.022049732460005522,1.1572386796650997,0.02144220346646164,1.0283333284517207,0.1437125748502994,0.8582834331337326,0.2874251497005988
deuteronomy,6,verse,exploratory,1,228,19,run_preserving_circular_translation,500,0.08333333333333333,0.07485791515778836,0.008475418175544966,1.113220067078814,0.016096355844794158,0.5265426694878931,0.2994011976047904,0.7085828343313373,0.5988023952095808
deuteronomy,7,minor,robustness,1,224,69,run_preserving_circular_translation,500,0.3080357142857143,0.296140575243309,0.0118951390424053,1.040167204486019,0.02969044410050896,0.4006386365302428,0.3532934131736527,0.6506986027944112,0.7065868263473054
deuteronomy,7,major,robustness,1,224,31,run_preserving_circular_translation,500,0.13839285714285715,0.14184062581347404,-0.0034477686706168853,0.9756926575101915,0.022115202658911013,-0.15590038779172818,0.5668662674650699,0.43912175648702595,0.8782435129740519
deuteronomy,7,verse,exploratory,1,224,18,run_preserving_circular_translation,500,0.08035714285714286,0.0705677421193018,0.00978940073784107,1.1387234513085471,0.015908638690682448,0.615351252120311,0.2874251497005988,0.7145708582834331,0.5748502994011976
deuteronomy,8,minor,robustness,1,227,70,run_preserving_circular_translation,500,0.30837004405286345,0.28563868761526423,0.022731356437599215,1.0795808040828727,0.02840862923486875,0.8001567498969203,0.21756487025948104,0.7844311377245509,0.4351297405189621
deuteronomy,8,major,robustness,1,227,35,run_preserving_circular_translation,500,0.15418502202643172,0.14511114560787142,0.009073876418560306,1.0625305270697836,0.02150639217044882,0.4219153239020909,0.3333333333333333,0.6706586826347305,0.6666666666666666
deuteronomy,8,verse,exploratory,1,227,19,run_preserving_circular_translation,500,0.08370044052863436,0.07374063129779641,0.009959809230837946,1.1350654185562359,0.01513774815178589,0.6579452327368075,0.24151696606786427,0.7624750499001997,0.48303393213572854
