book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
exodus,1,minor,robustness,1,225,79,run_preserving_circular_translation,500,0.3511111111111111,0.31022830472677987,0.04088280638433123,1.1317829668067747,0.03051886149656104,1.339591465066219,0.10379241516966067,0.9001996007984032,0.20758483033932135
exodus,1,major,robustness,1,225,43,run_preserving_circular_translation,500,0.19111111111111112,0.15066972702326453,0.04044138408784659,1.268410814082129,0.02263853385352301,1.78639590132084,0.0499001996007984,0.9520958083832335,0.0998003992015968
exodus,1,verse,exploratory,1,225,17,run_preserving_circular_translation,500,0.07555555555555556,0.07589324209877325,-0.00033768654321769676,0.9955505057646871,0.016458123559601315,-0.02051792490163301,0.5209580838323353,0.4930139720558882,0.9860279441117764
exodus,2,minor,robustness,1,238,81,run_preserving_circular_translation,500,0.3403361344537815,0.3080540603635484,0.03228207409023315,1.104793535433799,0.029339056907727416,1.1003105584396133,0.14570858283433133,0.8602794411177644,0.29141716566866266
exodus,2,major,robustness,1,238,37,run_preserving_circular_translation,500,0.15546218487394958,0.15958613338818298,-0.004123948514233394,0.9741584783923416,0.022263173028528028,-0.18523633216832872,0.562874251497006,0.4431137724550898,0.8862275449101796
exodus,2,verse,exploratory,1,238,17,run_preserving_circular_translation,500,0.07142857142857142,0.0812220038618626,-0.009793432433291172,0.87942390032697,0.016991693724292895,-0.5763658757154724,0.716566866267465,0.2954091816367265,0.590818363273453
exodus,3,minor,robustness,1,225,99,run_preserving_circular_translation,500,0.44,0.31164978806812144,0.12835021193187857,1.4118411654553198,0.02824462937676867,4.54423424077383,0.001996007984031936,1.0,0.003992015968063872
exodus,3,major,robustness,1,225,51,run_preserving_circular_translation,500,0.22666666666666666,0.15372534626487977,0.07294132040178689,1.474491176465485,0.022033304255399132,3.310503025614646,0.003992015968063872,0.998003992015968,0.007984031936127744
exodus,3,verse,exploratory,1,225,29,run_preserving_circular_translation,500,0.1288888888888889,0.07703031604884082,0.051858572840048064,1.6732229010610227,0.016164097208678594,3.2082566796371967,0.003992015968063872,0.998003992015968,0.007984031936127744
exodus,4,minor,robustness,1,235,67,run_preserving_circular_translation,500,0.2851063829787234,0.2925821912275986,-0.007475808248875171,0.9744488609593475,0.029559745935986696,-0.2529050237801251,0.5968063872255489,0.405189620758483,0.810379241516966
exodus,4,major,robustness,1,235,31,run_preserving_circular_translation,500,0.13191489361702127,0.14150643945102798,-0.009591545834006704,0.9322183084302244,0.022317635985485706,-0.4297742753867199,0.6926147704590818,0.31137724550898205,0.6227544910179641
exodus,4,verse,exploratory,1,235,10,run_preserving_circular_translation,500,0.0425531914893617,0.07062621259038826,-0.02807302110102656,0.602512720541281,0.01498796570357672,-1.8730374525962004,0.9780439121756487,0.023952095808383235,0.04790419161676647
exodus,5,minor,robustness,1,220,77,run_preserving_circular_translation,500,0.35,0.29116571051489476,0.05883428948510522,1.202064622860512,0.02739373256507808,2.14772811063024,0.013972055888223553,0.9880239520958084,0.027944111776447105
exodus,5,major,robustness,1,220,45,run_preserving_circular_translation,500,0.20454545454545456,0.15262349214265497,0.05192196240279959,1.3401963988235106,0.021525621371026753,2.412100515374017,0.011976047904191617,0.9900199600798403,0.023952095808383235
exodus,5,verse,exploratory,1,220,25,run_preserving_circular_translation,500,0.11363636363636363,0.07805294239616654,0.03558342124019709,1.4558882746481152,0.015973382747573005,2.227669730483584,0.01996007984031936,0.9820359281437125,0.03992015968063872
exodus,6,minor,robustness,1,214,80,run_preserving_circular_translation,500,0.37383177570093457,0.31793412257676673,0.055897653124167834,1.175815205587664,0.02990951345772427,1.8688920902433472,0.04590818363273453,0.9560878243512974,0.09181636726546906
exodus,6,major,robustness,1,214,35,run_preserving_circular_translation,500,0.16355140186915887,0.15129393041167347,0.012257471457485403,1.081017602121464,0.021348123168428185,0.5741709170768239,0.2714570858283433,0.7325349301397206,0.5429141716566867
exodus,6,verse,exploratory,1,214,19,run_preserving_circular_translation,500,0.08878504672897196,0.08036901753620918,0.008416029192762783,1.1047173332555802,0.016189323637481812,0.5198505744414079,0.3153692614770459,0.6926147704590818,0.6307385229540918
exodus,7,minor,robustness,1,243,80,run_preserving_circular_translation,500,0.3292181069958848,0.29555103034027463,0.03366707665561014,1.1139129057234158,0.02816422550474506,1.1953844301501553,0.11976047904191617,0.8822355289421158,0.23952095808383234
exodus,7,major,robustness,1,243,41,run_preserving_circular_translation,500,0.16872427983539096,0.15368535185306106,0.015038927982329892,1.0978553115244754,0.021682009934521747,0.6936131856662031,0.2435129740518962,0.7584830339321357,0.4870259481037924
exodus,7,verse,exploratory,1,243,24,run_preserving_circular_translation,500,0.09876543209876543,0.07757530134121883,0.021190130757546596,1.273155635765316,0.015821042131562726,1.3393637777673713,0.10379241516966067,0.9001996007984032,0.20758483033932135
exodus,8,minor,robustness,1,230,77,run_preserving_circular_translation,500,0.3347826086956522,0.29651334061004786,0.038269268085604324,1.1290642370655868,0.029735247549349236,1.2870001509855216,0.10179640718562874,0.9021956087824351,0.20359281437125748
