book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,1,minor,robustness,1,235,84,run_preserving_circular_translation,500,0.3574468085106383,0.3146583160031329,0.04278849250750544,1.1359839874916238,0.030018164387838293,1.4254200208471435,0.07784431137724551,0.9261477045908184,0.15568862275449102
genesis,1,major,robustness,1,235,41,run_preserving_circular_translation,500,0.17446808510638298,0.15686225265280992,0.017605832453573056,1.1122375342431223,0.022180675335722298,0.7937464566382525,0.2055888223552894,0.7984031936127745,0.4111776447105788
genesis,1,verse,exploratory,1,235,22,run_preserving_circular_translation,500,0.09361702127659574,0.08040856922423846,0.01320845205235728,1.1642667215669809,0.015791854509819174,0.836409178171217,0.20758483033932135,0.7964071856287425,0.4151696606786427
genesis,2,minor,robustness,1,225,101,run_preserving_circular_translation,500,0.4488888888888889,0.33983399702911493,0.10905489185977396,1.3209063625568656,0.03128996200717809,3.485299593357006,0.001996007984031936,1.0,0.003992015968063872
genesis,2,major,robustness,1,225,48,run_preserving_circular_translation,500,0.21333333333333335,0.179140771293893,0.03419256203944035,1.1908697935845383,0.02468650183754727,1.3850711722725617,0.07784431137724551,0.9281437125748503,0.15568862275449102
genesis,2,verse,exploratory,1,225,32,run_preserving_circular_translation,500,0.14222222222222222,0.09015933384387699,0.05206288837834523,1.5774542264087612,0.01723885434652598,3.0200898117592767,0.003992015968063872,0.998003992015968,0.007984031936127744
genesis,3,minor,robustness,1,223,97,run_preserving_circular_translation,500,0.4349775784753363,0.32711214471230504,0.10786543376303126,1.3297506237742986,0.03047741140753455,3.5391927588825682,0.001996007984031936,1.0,0.003992015968063872
genesis,3,major,robustness,1,223,61,run_preserving_circular_translation,500,0.273542600896861,0.18882684214751902,0.08471575874934198,1.4486425647215913,0.02505028014691508,3.381828796025447,0.003992015968063872,1.0,0.007984031936127744
genesis,3,verse,exploratory,1,223,35,run_preserving_circular_translation,500,0.15695067264573992,0.09936358277613946,0.057587089869600455,1.5795593139927424,0.018058102578505448,3.1889889659917174,0.001996007984031936,1.0,0.003992015968063872
genesis,4,minor,robustness,1,220,79,run_preserving_circular_translation,500,0.35909090909090907,0.3293230728139143,0.029767836276994752,1.0903909830023213,0.030184303078961566,0.9862025370975985,0.1596806387225549,0.844311377245509,0.3193612774451098
genesis,4,major,robustness,1,220,42,run_preserving_circular_translation,500,0.19090909090909092,0.17057516356346591,0.020333927345625002,1.119208019038829,0.022906224741118128,0.8877031276622512,0.1936127744510978,0.8083832335329342,0.3872255489021956
genesis,4,verse,exploratory,1,220,20,run_preserving_circular_translation,500,0.09090909090909091,0.08736113075979451,0.0035479601492963975,1.0406125712709897,0.017132058200036073,0.20709479899437458,0.41916167664670656,0.5948103792415169,0.8383233532934131
genesis,5,minor,robustness,1,222,88,run_preserving_circular_translation,500,0.3963963963963964,0.3251264699652191,0.0712699264311773,1.2192067795612012,0.0313672774589034,2.2721106900193466,0.011976047904191617,0.9900199600798403,0.023952095808383235
genesis,5,major,robustness,1,222,50,run_preserving_circular_translation,500,0.22522522522522523,0.16865323139001173,0.0565719938352135,1.3354337973186554,0.02475874955631505,2.284929362306347,0.015968063872255488,0.9860279441117764,0.031936127744510975
genesis,5,verse,exploratory,1,222,24,run_preserving_circular_translation,500,0.10810810810810811,0.08637348735671253,0.02173462075139558,1.251635327188239,0.01749314475913048,1.2424650370569466,0.1217564870259481,0.8822355289421158,0.2435129740518962
genesis,6,minor,robustness,1,216,67,run_preserving_circular_translation,500,0.3101851851851852,0.30505263475661926,0.0051325504285659185,1.0168251306292138,0.030005041497645588,0.17105626829306853,0.4471057884231537,0.5568862275449101,0.8942115768463074
genesis,6,major,robustness,1,216,35,run_preserving_circular_translation,500,0.16203703703703703,0.15594906515005957,0.006087971886977461,1.0390382070012372,0.02509867847726759,0.2425614516912302,0.41317365269461076,0.5888223552894212,0.8263473053892215
genesis,6,verse,exploratory,1,216,15,run_preserving_circular_translation,500,0.06944444444444445,0.07909369428585206,-0.009649249841407609,0.8780022866736467,0.017239674228285307,-0.5597118433697539,0.716566866267465,0.2874251497005988,0.5748502994011976
genesis,7,minor,robustness,1,232,76,run_preserving_circular_translation,500,0.3275862068965517,0.3180666660916937,0.009519540804858007,1.0299293884575558,0.029355050723148757,0.3242897072343024,0.37524950099800397,0.626746506986028,0.7504990019960079
genesis,7,major,robustness,1,232,37,run_preserving_circular_translation,500,0.15948275862068967,0.15210496324913939,0.007377795371550283,1.048504632682274,0.022039700320198363,0.3347502581416171,0.3712574850299401,0.6327345309381237,0.7425149700598802
genesis,7,verse,exploratory,1,232,19,run_preserving_circular_translation,500,0.08189655172413793,0.08091841280045105,0.0009781389236868804,1.0120879647763115,0.016188802588927135,0.060420708592487916,0.4810379241516966,0.5229540918163673,0.9620758483033932
genesis,8,minor,robustness,1,206,79,run_preserving_circular_translation,500,0.38349514563106796,0.32315218396708906,0.0603429616639789,1.1867323343546532,0.030936646746276567,1.9505333644875904,0.029940119760479042,0.9720558882235529,0.059880239520958084
genesis,8,major,robustness,1,206,37,run_preserving_circular_translation,500,0.1796116504854369,0.1717875250573031,0.007824125428133794,1.0455453644001442,0.024709429683618073,0.3166453264326475,0.37325349301397204,0.6287425149700598,0.7465069860279441
genesis,8,verse,exploratory,1,206,20,run_preserving_circular_translation,500,0.0970873786407767,0.08735150143906197,0.009735877201714732,1.1114563234898334,0.01771022923176522,0.5497318569006651,0.3193612774451098,0.6826347305389222,0.6387225548902196
genesis,9,minor,robustness,1,212,71,run_preserving_circular_translation,500,0.33490566037735847,0.3170304826548448,0.01787517772251368,1.056383151464885,0.028719344366594034,0.6224089761361632,0.249500998003992,0.7544910179640718,0.499001996007984
genesis,9,major,robustness,1,212,31,run_preserving_circular_translation,500,0.14622641509433962,0.15563166852751384,-0.009405253433174221,0.9395672261168909,0.021496343529309826,-0.43752805775318715,0.688622754491018,0.31736526946107785,0.6347305389221557
genesis,9,verse,exploratory,1,212,17,run_preserving_circular_translation,500,0.08018867924528301,0.07795686951805367,0.0022318097272293475,1.0286287756425685,0.01636690871053011,0.13636110316870345,0.4471057884231537,0.5608782435129741,0.8942115768463074
genesis,10,minor,robustness,1,221,78,run_preserving_circular_translation,500,0.35294117647058826,0.31703048436562903,0.03591069210495923,1.1132720475660747,0.030727651196817238,1.1686767685217296,0.11976047904191617,0.8822355289421158,0.23952095808383234
