trim_fraction_of_fixed_blocks,blocks_removed,selection_rule,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
0.0,0,highest_observed_analyzed_arrival_density,minor,robustness,5723,16271,run_preserving_circular_translation,500,0.35173007190707395,0.308278163603958,0.04345190830311596,1.140950328090504,0.003467911880895799,12.529703693593236,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,major,robustness,3039,16271,run_preserving_circular_translation,500,0.18677401511892325,0.1611055251674759,0.025668489951447354,1.1593271858600993,0.002620262583034786,9.796151774116518,0.001996007984031936,1.0,0.003992015968063872
0.0,0,highest_observed_analyzed_arrival_density,verse,exploratory,1598,16271,run_preserving_circular_translation,500,0.09821154200725217,0.08308057279822997,0.015130969209022196,1.182124035732991,0.001984133029402803,7.625985246350348,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,minor,robustness,5639,16025,run_preserving_circular_translation,500,0.35188767550702027,0.30803524636497714,0.043852429142043126,1.1423617253529628,0.003454635718444008,12.693792548927435,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,major,robustness,2997,16025,run_preserving_circular_translation,500,0.18702028081123245,0.1609224513190072,0.02609782949222525,1.1621764351606216,0.002620188850408337,9.960285682521738,0.001996007984031936,1.0,0.003992015968063872
0.01,1,highest_observed_analyzed_arrival_density,verse,exploratory,1575,16025,run_preserving_circular_translation,500,0.09828393135725429,0.08301346363463782,0.015270467722616463,1.1839516995679815,0.002005758407605721,7.613313579896623,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,minor,robustness,5402,15314,run_preserving_circular_translation,500,0.3527491184537025,0.3083236197601556,0.044425498693546894,1.1440872377150522,0.0034986875164631516,12.697761227460791,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,major,robustness,2862,15314,run_preserving_circular_translation,500,0.1868878150711767,0.16085811762300242,0.026029697448174266,1.1618177424479077,0.002708427638433926,9.610630566163186,0.001996007984031936,1.0,0.003992015968063872
0.05,4,highest_observed_analyzed_arrival_density,verse,exploratory,1500,15314,run_preserving_circular_translation,500,0.09794958861172783,0.08296343199397872,0.014986156617749102,1.1806356880081428,0.002045477962357931,7.326481582071783,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,minor,robustness,5204,14692,run_preserving_circular_translation,500,0.3542063708140485,0.308745174172476,0.0454611966415725,1.1472450436299817,0.003627716835413811,12.531627661172395,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,major,robustness,2748,14692,run_preserving_circular_translation,500,0.18704056629458207,0.15995471919354845,0.027085847101033622,1.16933446688909,0.00279745196379934,9.682327865336127,0.001996007984031936,1.0,0.003992015968063872
0.1,7,highest_observed_analyzed_arrival_density,verse,exploratory,1433,14692,run_preserving_circular_translation,500,0.0975360740539069,0.08231203824935102,0.015224035804555877,1.184955155143129,0.0020749149352979382,7.337185513279777,0.001996007984031936,1.0,0.003992015968063872
