book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,1,minor,robustness,1,244,87,run_preserving_circular_translation,500,0.35655737704918034,0.31325400107525087,0.04330337597392947,1.1382372637709006,0.029166005853074318,1.4847208147757045,0.07784431137724551,0.9261477045908184,0.15568862275449102
genesis,1,major,robustness,1,244,41,run_preserving_circular_translation,500,0.1680327868852459,0.15586565137344965,0.01216713551179624,1.0780616858466407,0.021780747082589105,0.5586188327544693,0.3073852295409182,0.6946107784431138,0.6147704590818364
genesis,1,verse,exploratory,1,244,23,run_preserving_circular_translation,500,0.0942622950819672,0.08079273709985181,0.013469557982115396,1.1667174360669124,0.016404924713362103,0.8210679547431389,0.21157684630738524,0.7904191616766467,0.4231536926147705
genesis,2,minor,robustness,1,230,102,run_preserving_circular_translation,500,0.4434782608695652,0.3375733345788962,0.105904926290669,1.313724205801917,0.030875089669767156,3.4301091081322737,0.001996007984031936,1.0,0.003992015968063872
genesis,2,major,robustness,1,230,49,run_preserving_circular_translation,500,0.21304347826086956,0.1791888520561711,0.03385462620469845,1.1889326585678772,0.024191175897806876,1.3994617850621989,0.08782435129740519,0.9141716566866267,0.17564870259481039
genesis,2,verse,exploratory,1,230,33,run_preserving_circular_translation,500,0.14347826086956522,0.09162700889816555,0.05185125197139967,1.5658948447070586,0.01774586175112765,2.921878503201165,0.007984031936127744,0.9940119760479041,0.015968063872255488
genesis,3,minor,robustness,1,228,95,run_preserving_circular_translation,500,0.4166666666666667,0.32654789044822136,0.09011877621844533,1.2759741491355152,0.03013148402297469,2.9908509036505286,0.003992015968063872,0.998003992015968,0.007984031936127744
genesis,3,major,robustness,1,228,60,run_preserving_circular_translation,500,0.2631578947368421,0.18783866920477194,0.07531922553207016,1.4009782748724708,0.0245097058888094,3.0730366930457245,0.001996007984031936,1.0,0.003992015968063872
genesis,3,verse,exploratory,1,228,35,run_preserving_circular_translation,500,0.15350877192982457,0.09906593419259284,0.05444283773723173,1.549561644786896,0.017997224069679338,3.0250686176071904,0.003992015968063872,0.998003992015968,0.007984031936127744
genesis,4,minor,robustness,1,227,81,run_preserving_circular_translation,500,0.3568281938325991,0.33213845656574764,0.024689737266851475,1.074335677723498,0.029280456349594086,0.843215589677575,0.1996007984031936,0.8023952095808383,0.3992015968063872
genesis,4,major,robustness,1,227,44,run_preserving_circular_translation,500,0.19383259911894274,0.1722124289341217,0.02162017018482104,1.125543610984615,0.022697032980398154,0.9525549089827237,0.16766467065868262,0.8363273453093812,0.33532934131736525
genesis,4,verse,exploratory,1,227,19,run_preserving_circular_translation,500,0.08370044052863436,0.08763513855644138,-0.003934698027807021,0.9551013658148908,0.01541453575727152,-0.25525893804170524,0.6047904191616766,0.3972055888223553,0.7944111776447106
genesis,5,minor,robustness,1,233,92,run_preserving_circular_translation,500,0.3948497854077253,0.3231620615647265,0.07168772384299882,1.2218321157375103,0.029441875308009367,2.4348898666620222,0.013972055888223553,0.9880239520958084,0.027944111776447105
genesis,5,major,robustness,1,233,54,run_preserving_circular_translation,500,0.2317596566523605,0.16833627444669066,0.06342338220566984,1.3767659847180174,0.022589545798515777,2.807643091692309,0.007984031936127744,0.9940119760479041,0.015968063872255488
genesis,5,verse,exploratory,1,233,26,run_preserving_circular_translation,500,0.11158798283261803,0.08637307059771043,0.0252149122349076,1.2919302516446138,0.016418701567715514,1.5357433796402198,0.0718562874251497,0.9301397205588823,0.1437125748502994
genesis,6,minor,robustness,1,225,69,run_preserving_circular_translation,500,0.30666666666666664,0.30609975422463626,0.0005669124420303873,1.0018520512813427,0.028975437483358086,0.019565276360572325,0.4750499001996008,0.5269461077844312,0.9500998003992016
genesis,6,major,robustness,1,225,37,run_preserving_circular_translation,500,0.16444444444444445,0.15583258290847113,0.00861186153597332,1.0552635487087545,0.022136321433448285,0.38903760780057517,0.34530938123752497,0.656686626746507,0.6906187624750499
genesis,6,verse,exploratory,1,225,16,run_preserving_circular_translation,500,0.07111111111111111,0.07849176876279282,-0.007380657651681707,0.9059690236566521,0.016091201509777896,-0.4586766033100024,0.6666666666666666,0.3373253493013972,0.6746506986027944
genesis,7,minor,robustness,1,244,83,run_preserving_circular_translation,500,0.3401639344262295,0.317335136472729,0.022828797953500513,1.071939080579759,0.028293792289830037,0.8068482909484753,0.20758483033932135,0.7964071856287425,0.4151696606786427
genesis,7,major,robustness,1,244,40,run_preserving_circular_translation,500,0.16393442622950818,0.1518734991589678,0.012060927070540378,1.0794142963540734,0.02329320947321149,0.5177872583171129,0.29141716566866266,0.7105788423153693,0.5828343313373253
genesis,7,verse,exploratory,1,244,20,run_preserving_circular_translation,500,0.08196721311475409,0.08011985915800847,0.0018473539567456232,1.0230573789839341,0.01712122375214053,0.10789847638751077,0.4411177644710579,0.562874251497006,0.8822355289421158
genesis,8,minor,robustness,1,214,82,run_preserving_circular_translation,500,0.38317757009345793,0.3264379182090654,0.056739651884392506,1.173814525578655,0.02968538667269414,1.9113664413401092,0.01996007984031936,0.9820359281437125,0.03992015968063872
genesis,8,major,robustness,1,214,40,run_preserving_circular_translation,500,0.18691588785046728,0.1759081742326591,0.011007713617808196,1.0625764758563705,0.02353146026562315,0.4677871026087252,0.3273453093812375,0.6766467065868264,0.654690618762475
genesis,8,verse,exploratory,1,214,22,run_preserving_circular_translation,500,0.102803738317757,0.08992117643235904,0.012882561885397964,1.143265050531101,0.01620138132984051,0.7951520690195855,0.2155688622754491,0.7864271457085829,0.4311377245508982
genesis,9,minor,robustness,1,221,77,run_preserving_circular_translation,500,0.34841628959276016,0.3152008782165175,0.033215411376242676,1.1053785495909259,0.030932884785220223,1.0737896451259228,0.14570858283433133,0.8562874251497006,0.29141716566866266
genesis,9,major,robustness,1,221,32,run_preserving_circular_translation,500,0.14479638009049775,0.15334666973211242,-0.008550289641614667,0.9442420910962623,0.021329117625505097,-0.40087404419348016,0.6407185628742516,0.3652694610778443,0.7305389221556886
genesis,9,verse,exploratory,1,221,18,run_preserving_circular_translation,500,0.08144796380090498,0.07768083621091863,0.0037671275899863466,1.0484949412717168,0.016267184508555032,0.23157834030868626,0.40718562874251496,0.5968063872255489,0.8143712574850299
genesis,10,minor,robustness,1,234,84,run_preserving_circular_translation,500,0.358974358974359,0.32100635593392857,0.03796800304043041,1.1182780413489546,0.0296787889135553,1.2792975869405894,0.10379241516966067,0.8982035928143712,0.20758483033932135
genesis,10,major,robustness,1,234,42,run_preserving_circular_translation,500,0.1794871794871795,0.1651757068982655,0.014311472588913993,1.0866439312273002,0.02178635391755328,0.6569007665565935,0.25349301397205587,0.7564870259481038,0.5069860279441117
genesis,10,verse,exploratory,1,234,17,run_preserving_circular_translation,500,0.07264957264957266,0.0862874588751068,-0.013637886225534149,0.8419482227970841,0.016538243008873257,-0.82462727257164,0.7944111776447106,0.21157684630738524,0.4231536926147705
genesis,11,minor,robustness,1,233,81,run_preserving_circular_translation,500,0.34763948497854075,0.30066150292977,0.04697798204877074,1.1562487434905961,0.028368705821370608,1.6559790335370697,0.059880239520958084,0.9421157684630739,0.11976047904191617
genesis,11,major,robustness,1,233,36,run_preserving_circular_translation,500,0.15450643776824036,0.15637836275047098,-0.0018719249822306272,0.9880295141264677,0.021815697708396344,-0.08580633116813714,0.5289421157684631,0.47305389221556887,0.9461077844311377
genesis,11,verse,exploratory,1,233,22,run_preserving_circular_translation,500,0.0944206008583691,0.07852560664827547,0.015894994210093633,1.202417974066587,0.015133198962174016,1.050339340004962,0.1536926147704591,0.8562874251497006,0.3073852295409182
genesis,12,minor,robustness,1,241,90,run_preserving_circular_translation,500,0.37344398340248963,0.3193190229018504,0.05412496050063925,1.1695012091944041,0.0314031883377965,1.7235498484558367,0.05389221556886228,0.9481037924151696,0.10778443113772455
genesis,12,major,robustness,1,241,49,run_preserving_circular_translation,500,0.2033195020746888,0.1650025618776575,0.0383169401970313,1.2322202744066586,0.022730094713170258,1.685736055240884,0.0499001996007984,0.9520958083832335,0.0998003992015968
genesis,12,verse,exploratory,1,241,27,run_preserving_circular_translation,500,0.11203319502074689,0.08357122334221395,0.02846197167853294,1.340571437634515,0.016628455344870702,1.711642548164431,0.0499001996007984,0.9520958083832335,0.0998003992015968
genesis,13,minor,robustness,1,236,84,run_preserving_circular_translation,500,0.3559322033898305,0.32119581241610795,0.03473639097372255,1.1081470854567732,0.029791043843798354,1.166001136309753,0.1157684630738523,0.8862275449101796,0.2315369261477046
genesis,13,major,robustness,1,236,42,run_preserving_circular_translation,500,0.17796610169491525,0.1763157935977948,0.0016503080971204398,1.009359956152794,0.023274026162476067,0.07090771857003307,0.48303393213572854,0.5229540918163673,0.9660678642714571
genesis,13,verse,exploratory,1,236,18,run_preserving_circular_translation,500,0.07627118644067797,0.09284481293264733,-0.016573626491969362,0.8214910885329435,0.01693047179003024,-0.9789228969820549,0.8363273453093812,0.1656686626746507,0.3313373253493014
genesis,14,minor,robustness,1,234,93,run_preserving_circular_translation,500,0.3974358974358974,0.3192003831044411,0.07823551433145631,1.2450984349409693,0.02923944879269859,2.6756836247539857,0.007984031936127744,0.9940119760479041,0.015968063872255488
genesis,14,major,robustness,1,234,49,run_preserving_circular_translation,500,0.2094017094017094,0.16255448635776457,0.04684722304394484,1.2881939717175155,0.02259675004917605,2.0731841057671496,0.02594810379241517,0.9760479041916168,0.05189620758483034
genesis,14,verse,exploratory,1,234,29,run_preserving_circular_translation,500,0.12393162393162394,0.08203692620738173,0.0418946977242422,1.510680978201649,0.01664946231627436,2.5162793205214418,0.013972055888223553,0.9880239520958084,0.027944111776447105
