book,run_label,feature_set,model_role,n_words,n_candidates,n_minor_boundaries_candidates,evaluation_mode,folds,split_mode,test_frac,include_edges,pos_cap,len_cap,alpha,test_candidates,gold_boundaries,predicted_boundaries,tp,fp,fn,precision,recall,f1,fold_f1_mean,fold_f1_sd,fold_f1_min,fold_f1_max,random_f1_mean,random_f1_sd,model_vs_random_f1_z,model_vs_random_empirical_p
genesis,control_include_edges,structure,geometry_baseline,20596,17600,2751,cross_validation,5,major_unit,NA,True,10,30,1.0,17600,2751,2751,815,1936,1936,0.29625591,0.29625591,0.29625591,0.29638152,0.00933964,0.28055077,0.30297723,0.15657288,0.00649172,21.517102,0.00199601
genesis,control_include_edges,current_only,ablation,20596,17600,2751,cross_validation,5,major_unit,NA,True,10,30,1.0,17600,2751,2751,1360,1391,1391,0.49436569,0.49436569,0.49436569,0.49372536,0.01821679,0.46259843,0.50892857,0.15657288,0.00649172,52.034399,0.00199601
genesis,control_include_edges,adjacent_only,strict_adjacency_primary,20596,17600,2751,cross_validation,5,major_unit,NA,True,10,30,1.0,17600,2751,2751,1848,903,903,0.67175573,0.67175573,0.67175573,0.6716186,0.01641185,0.6496063,0.69491525,0.15657288,0.00649172,79.359979,0.00199601
genesis,control_include_edges,local_taam,ablation,20596,17600,2751,cross_validation,5,major_unit,NA,True,10,30,1.0,17600,2751,2751,1978,773,773,0.71901127,0.71901127,0.71901127,0.71913869,0.01737708,0.70223752,0.73822976,0.15657288,0.00649172,86.639334,0.00199601
genesis,control_include_edges,structure_current,ablation,20596,17600,2751,cross_validation,5,major_unit,NA,True,10,30,1.0,17600,2751,2751,1636,1115,1115,0.59469284,0.59469284,0.59469284,0.5944705,0.00976893,0.57874016,0.60263653,0.15657288,0.00649172,67.48903,0.00199601
genesis,control_include_edges,structure_local,maximal_reconstruction,20596,17600,2751,cross_validation,5,major_unit,NA,True,10,30,1.0,17600,2751,2751,1974,777,777,0.71755725,0.71755725,0.71755725,0.71739418,0.01238299,0.70472441,0.7375,0.15657288,0.00649172,86.415354,0.00199601
exodus,control_include_edges,structure,geometry_baseline,16701,14351,2159,cross_validation,5,major_unit,NA,True,10,30,1.0,14351,2159,2159,641,1518,1518,0.29689671,0.29689671,0.29689671,0.29680204,0.01318507,0.27951807,0.31627907,0.1514516,0.00713501,20.384705,0.00199601
exodus,control_include_edges,current_only,ablation,16701,14351,2159,cross_validation,5,major_unit,NA,True,10,30,1.0,14351,2159,2159,1005,1154,1154,0.46549328,0.46549328,0.46549328,0.4652555,0.01127211,0.45301205,0.47835498,0.1514516,0.00713501,44.014178,0.00199601
exodus,control_include_edges,adjacent_only,strict_adjacency_primary,16701,14351,2159,cross_validation,5,major_unit,NA,True,10,30,1.0,14351,2159,2159,1423,736,736,0.65910144,0.65910144,0.65910144,0.65933291,0.01661359,0.64502165,0.68445476,0.1514516,0.00713501,71.149122,0.00199601
exodus,control_include_edges,local_taam,ablation,16701,14351,2159,cross_validation,5,major_unit,NA,True,10,30,1.0,14351,2159,2159,1502,657,657,0.69569245,0.69569245,0.69569245,0.69617883,0.01939753,0.67099567,0.72048193,0.1514516,0.00713501,76.277496,0.00199601
exodus,control_include_edges,structure_current,ablation,16701,14351,2159,cross_validation,5,major_unit,NA,True,10,30,1.0,14351,2159,2159,1261,898,898,0.5840667,0.5840667,0.5840667,0.58431563,0.0175504,0.57007126,0.61445783,0.1514516,0.00713501,60.632708,0.00199601
exodus,control_include_edges,structure_local,maximal_reconstruction,16701,14351,2159,cross_validation,5,major_unit,NA,True,10,30,1.0,14351,2159,2159,1540,619,619,0.71329319,0.71329319,0.71329319,0.71377136,0.02120209,0.69264069,0.74698795,0.1514516,0.00713501,78.744309,0.00199601
leviticus,control_include_edges,structure,geometry_baseline,11945,10275,1408,cross_validation,5,major_unit,NA,True,10,30,1.0,10275,1408,1408,387,1021,1021,0.27485795,0.27485795,0.27485795,0.2744665,0.02314902,0.24535316,0.31010453,0.13670313,0.00837223,16.501549,0.00199601
leviticus,control_include_edges,current_only,ablation,11945,10275,1408,cross_validation,5,major_unit,NA,True,10,30,1.0,10275,1408,1408,571,837,837,0.40553977,0.40553977,0.40553977,0.40538661,0.01358183,0.38675958,0.4222973,0.13670313,0.00837223,32.110503,0.00199601
leviticus,control_include_edges,adjacent_only,strict_adjacency_primary,11945,10275,1408,cross_validation,5,major_unit,NA,True,10,30,1.0,10275,1408,1408,902,506,506,0.640625,0.640625,0.640625,0.6406837,0.01965414,0.61824324,0.66898955,0.13670313,0.00837223,60.189654,0.00199601
leviticus,control_include_edges,local_taam,ablation,11945,10275,1408,cross_validation,5,major_unit,NA,True,10,30,1.0,10275,1408,1408,967,441,441,0.68678977,0.68678977,0.68678977,0.68678412,0.00507261,0.67944251,0.69256757,0.13670313,0.00837223,65.703687,0.00199601
leviticus,control_include_edges,structure_current,ablation,11945,10275,1408,cross_validation,5,major_unit,NA,True,10,30,1.0,10275,1408,1408,803,605,605,0.5703125,0.5703125,0.5703125,0.56997599,0.0300131,0.53903346,0.6097561,0.13670313,0.00837223,51.791358,0.00199601
leviticus,control_include_edges,structure_local,maximal_reconstruction,11945,10275,1408,cross_validation,5,major_unit,NA,True,10,30,1.0,10275,1408,1408,983,425,425,0.69815341,0.69815341,0.69815341,0.69804235,0.01705334,0.67730496,0.7189781,0.13670313,0.00837223,67.060987,0.00199601
numbers,control_include_edges,structure,geometry_baseline,16404,13969,2060,cross_validation,5,major_unit,NA,True,10,30,1.0,13969,2060,2060,641,1419,1419,0.31116505,0.31116505,0.31116505,0.31030508,0.028353,0.27791563,0.35388128,0.14625825,0.00705025,23.390199,0.00199601
