fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_current=munah+pashta+pashta,2,0,2.76692298,positive,1
0,has_visible_taam=0,1321,1260,1.71555138,positive,2
0,taam_current=NONE,1321,1260,1.71555138,positive,3
0,taam_current=tipeha+munah,2,3,1.38062862,positive,4
0,taam_current=mahapakh+merkha,0,1,0.97516352,positive,5
0,taam_current=mahapakh+meteg,0,1,0.97516352,positive,6
0,taam_current=merkha+meteg,0,1,0.97516352,positive,7
0,taam_current=merkha+qadma,0,1,0.97516352,positive,8
0,taam_current=merkha+tevir,0,1,0.97516352,positive,9
0,taam_current=merkha+tipeha,0,1,0.97516352,positive,10
0,taam_current=meteg+meteg,0,1,0.97516352,positive,11
0,taam_current=meteg+meteg+mahapakh,0,1,0.97516352,positive,12
0,taam_current=meteg+telisha_gedola,0,1,0.97516352,positive,13
0,taam_current=munah+merkha,0,1,0.97516352,positive,14
0,taam_current=munah+pashta,0,1,0.97516352,positive,15
0,taam_current=munah+tevir,0,1,0.97516352,positive,16
0,taam_current=telisha_qetana+telisha_qetana,0,1,0.97516352,positive,17
0,taam_current=tevir+telisha_qetana,0,1,0.97516352,positive,18
0,taam_current=tipeha+geresh,0,1,0.97516352,positive,19
0,taam_current=tipeha+pashta+pashta,0,1,0.97516352,positive,20
0,taam_current=tipeha+zinor,0,1,0.97516352,positive,21
0,taam_current=zarqa,0,1,0.97516352,positive,22
0,taam_current=meteg,108,284,0.7071694,positive,23
0,taam_current=mahapakh+munah,0,2,0.56969841,positive,24
0,taam_current=merkha+telisha_qetana,0,2,0.56969841,positive,25
0,taam_current=meteg+pashta+pashta,0,2,0.56969841,positive,26
0,taam_current=munah+meteg,0,2,0.56969841,positive,27
0,taam_current=tipeha+qadma,0,2,0.56969841,positive,28
0,taam_current=meteg+pazer,0,3,0.28201633,positive,29
0,taam_current=meteg+qadma,0,3,0.28201633,positive,30
0,taam_current=meteg+segol,0,3,0.28201633,positive,31
0,taam_current=meteg+zinor,1,7,0.28201633,positive,32
0,taam_current=merkha+munah,0,4,0.05887278,positive,33
0,taam_current=meteg+telisha_qetana,0,4,0.05887278,positive,34
0,taam_current=meteg+darga,0,5,-0.12344877,positive,35
0,taam_current=meteg+mahapakh,0,8,-0.52891388,positive,36
0,taam_current=pazer,2,26,-0.52891388,positive,37
0,taam_current=qadma+geresh,0,9,-0.6342744,positive,38
0,taam_current=munah,111,1316,-0.79630213,positive,39
0,taam_current=meteg+geresh,0,12,-0.89663866,positive,40
0,taam_current=meteg+gershayim,0,12,-0.89663866,positive,41
0,taam_current=meteg+munah,0,16,-1.16490265,positive,42
0,taam_current=meteg+tevir,0,17,-1.22206106,positive,43
0,taam_current=meteg+merkha,0,20,-1.37621174,positive,44
0,has_visible_taam=1,241,7157,-1.71873747,positive,45
0,taam_current=qadma,7,326,-2.04220793,positive,46
0,taam_current=zinor,0,42,-2.09288942,positive,47
0,taam_current=segol,0,47,-2.20289031,positive,48
0,taam_current=meteg+tipeha,0,48,-2.2235096,positive,49
0,taam_current=darga,2,153,-2.27002962,positive,50
0,taam_current=yetiv,0,52,-2.30198122,positive,51
0,taam_current=telisha_gedola,0,60,-2.44256317,positive,52
0,taam_current=gershayim,0,80,-2.72613846,positive,53
0,taam_current=telisha_qetana,0,87,-2.80902612,positive,54
0,taam_current=meteg+pashta,0,103,-2.9760802,positive,55
0,taam_current=pashta+pashta,0,137,-3.25894299,positive,56
0,taam_current=mahapakh,2,453,-3.35117421,positive,57
0,taam_current=geresh,0,166,-3.44968312,positive,58
0,taam_current=merkha,4,1246,-3.85074734,positive,59
0,taam_current=tevir,0,354,-4.20380709,positive,60
0,taam_current=pashta,0,599,-4.72861896,positive,61
0,taam_current=tipeha,0,1424,-5.5936164,positive,62
1,taam_current=munah+pashta+pashta,3,0,3.04398725,positive,1
1,has_visible_taam=0,1323,1248,1.71600711,positive,2
1,taam_current=NONE,1323,1248,1.71600711,positive,3
1,taam_current=tipeha+munah,2,3,1.37001082,positive,4
1,taam_current=mahapakh+meteg,0,1,0.96454571,positive,5
1,taam_current=mahapakh+munah,0,1,0.96454571,positive,6
1,taam_current=mahapakh+pashta+pashta,0,1,0.96454571,positive,7
1,taam_current=mahapakh+qadma,0,1,0.96454571,positive,8
1,taam_current=merkha+meteg,0,1,0.96454571,positive,9
1,taam_current=merkha+qadma,0,1,0.96454571,positive,10
1,taam_current=merkha+tevir,0,1,0.96454571,positive,11
1,taam_current=meteg+meteg,0,1,0.96454571,positive,12
1,taam_current=meteg+meteg+mahapakh,0,1,0.96454571,positive,13
1,taam_current=meteg+meteg+qadma,0,1,0.96454571,positive,14
1,taam_current=meteg+qadma+merkha,0,1,0.96454571,positive,15
1,taam_current=meteg+telisha_gedola,0,1,0.96454571,positive,16
1,taam_current=munah+merkha,0,1,0.96454571,positive,17
1,taam_current=munah+tevir,0,1,0.96454571,positive,18
1,taam_current=qadma+geresh+telisha_qetana,0,1,0.96454571,positive,19
1,taam_current=telisha_qetana+telisha_qetana,0,1,0.96454571,positive,20
1,taam_current=tevir+telisha_qetana,0,1,0.96454571,positive,21
1,taam_current=tipeha+geresh,0,1,0.96454571,positive,22
1,taam_current=tipeha+pashta,0,1,0.96454571,positive,23
1,taam_current=tipeha+pashta+pashta,0,1,0.96454571,positive,24
1,taam_current=tipeha+zinor,0,1,0.96454571,positive,25
1,taam_current=meteg,107,259,0.77914248,positive,26
1,taam_current=merkha+telisha_qetana,0,2,0.5590806,positive,27
1,taam_current=meteg+pazer,0,2,0.5590806,positive,28
1,taam_current=tipeha+qadma,0,2,0.5590806,positive,29
1,taam_current=zarqa,0,2,0.5590806,positive,30
1,taam_current=mahapakh+merkha,0,3,0.27139853,positive,31
1,taam_current=merkha+munah,0,3,0.27139853,positive,32
