fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,46,3,4.19811303,positive,1
0,taam_prev=munah,802,355,2.54768378,positive,2
0,taam_current=tipeha+munah,1,0,2.42740697,positive,3
0,taam_next=darga+meteg,1,0,2.42740697,positive,4
0,taam_next=mahapakh+qadma,1,0,2.42740697,positive,5
0,taam_next=qadma+geresh,3,1,2.42740697,positive,6
0,taam_next=tipeha+pashta,1,0,2.42740697,positive,7
0,taam_prev=START,1,0,2.42740697,positive,8
0,taam_prev=merkha+munah,3,1,2.42740697,positive,9
0,taam_prev=meteg+geresh+pashta,1,0,2.42740697,positive,10
0,taam_prev=munah+meteg,1,0,2.42740697,positive,11
0,taam_prev=pazer+geresh,1,0,2.42740697,positive,12
0,taam_prev=meteg+geresh,4,2,2.24508542,positive,13
0,taam_prev=meteg+munah,9,7,1.95740334,positive,14
0,taam_next=meteg+merkha,6,5,1.88841047,positive,15
0,taam_next=meteg+mahapakh,3,3,1.73425979,positive,16
0,taam_next=meteg+qadma,1,1,1.73425979,positive,17
0,taam_next=meteg+tipeha,23,24,1.6934378,positive,18
0,has_visible_taam=0,1448,1636,1.61226816,positive,19
0,taam_current=NONE,1448,1636,1.61226816,positive,20
0,taam_next=meteg+tevir,4,6,1.39778756,positive,21
0,taam_next=telisha_gedola,9,13,1.39778756,positive,22
0,taam_prev=meteg+pashta,31,46,1.34984809,positive,23
0,taam_next=merkha+munah,1,2,1.32879469,positive,24
0,taam_next=meteg+zinor,1,2,1.32879469,positive,25
0,taam_prev=pashta+pashta,61,102,1.22666519,positive,26
0,taam_next=darga,41,73,1.16786432,positive,27
0,taam_current=darga+meteg,0,1,1.04111261,positive,28
0,taam_current=mahapakh+qadma,0,1,1.04111261,positive,29
0,taam_current=merkha+mahapakh,0,1,1.04111261,positive,30
0,taam_current=merkha+tipeha,0,1,1.04111261,positive,31
0,taam_current=merkha_kefula,0,1,1.04111261,positive,32
0,taam_current=meteg+geresh+pashta,0,1,1.04111261,positive,33
0,taam_current=meteg+telisha_gedola,0,1,1.04111261,positive,34
0,taam_current=meteg+tipeha+pashta,0,1,1.04111261,positive,35
0,taam_current=munah+qadma,0,1,1.04111261,positive,36
0,taam_current=pazer+geresh,0,1,1.04111261,positive,37
0,taam_current=tipeha+pashta,0,1,1.04111261,positive,38
0,taam_current=tipeha+pashta+pashta,0,1,1.04111261,positive,39
0,taam_current=tipeha+zinor,0,1,1.04111261,positive,40
0,taam_next=merkha_kefula,0,1,1.04111261,positive,41
0,taam_next=meteg+darga,0,1,1.04111261,positive,42
0,taam_next=meteg+geresh+pashta,0,1,1.04111261,positive,43
0,taam_next=meteg+telisha_gedola,0,1,1.04111261,positive,44
0,taam_next=munah+qadma,0,1,1.04111261,positive,45
0,taam_next=pazer+geresh,0,1,1.04111261,positive,46
0,taam_next=tipeha+munah,0,1,1.04111261,positive,47
0,taam_next=tipeha+pashta+pashta,0,1,1.04111261,positive,48
0,taam_next=tipeha+zinor,0,1,1.04111261,positive,49
0,taam_prev=darga+meteg,0,1,1.04111261,positive,50
0,taam_prev=mahapakh+qadma,0,1,1.04111261,positive,51
0,taam_prev=merkha+mahapakh,0,1,1.04111261,positive,52
0,taam_prev=merkha_kefula,0,1,1.04111261,positive,53
0,taam_prev=meteg+pashta+pashta,1,3,1.04111261,positive,54
0,taam_prev=meteg+telisha_gedola,0,1,1.04111261,positive,55
0,taam_prev=meteg+tipeha+pashta,0,1,1.04111261,positive,56
0,taam_prev=munah+qadma,0,1,1.04111261,positive,57
0,taam_prev=tipeha+munah,0,1,1.04111261,positive,58
0,taam_prev=tipeha+pashta,0,1,1.04111261,positive,59
0,taam_prev=tipeha+zinor,0,1,1.04111261,positive,60
0,taam_next=mahapakh,99,222,0.93225821,positive,61
0,taam_prev=pashta,202,458,0.91841556,positive,62
0,taam_current=meteg,118,290,0.84006002,positive,63
0,taam_next=merkha,324,881,0.73589292,positive,64
0,taam_next=gershayim,7,22,0.67820712,positive,65
0,taam_current=meteg+darga,0,2,0.6356475,positive,66
0,taam_current=meteg+meteg,0,2,0.6356475,positive,67
0,taam_current=meteg+telisha_qetana,0,2,0.6356475,positive,68
0,taam_current=munah+meteg,0,2,0.6356475,positive,69
0,taam_current=munah+tipeha,0,2,0.6356475,positive,70
0,taam_next=meteg+pashta+pashta,0,2,0.6356475,positive,71
0,taam_next=meteg+pazer,0,2,0.6356475,positive,72
0,taam_next=meteg+telisha_qetana,0,2,0.6356475,positive,73
0,taam_next=munah+meteg,0,2,0.6356475,positive,74
0,taam_prev=meteg+darga,0,2,0.6356475,positive,75
0,taam_prev=meteg+telisha_qetana,0,2,0.6356475,positive,76
0,taam_next=tipeha,415,1254,0.6300542,positive,77
0,taam_next=meteg+pashta,14,45,0.6136686,positive,78
0,taam_next=pashta+pashta,32,101,0.60579454,positive,79
0,taam_next=qadma,42,133,0.59762011,positive,80
0,taam_current=tipeha,0,1816,-5.77068227,negative,1
0,taam_current=pashta,0,660,-4.75949405,negative,2
0,taam_prev=merkha,1,1136,-4.60874152,negative,3
0,taam_current=mahapakh,0,518,-4.51764409,negative,4
0,next_major=1,3,1871,-4.4142085,negative,5
0,taam_current=tevir,0,465,-4.40992584,negative,6
0,taam_prev=mahapakh,1,517,-3.82256827,negative,7
0,taam_prev=tipeha,3,1014,-3.80208974,negative,8
0,taam_current=merkha,5,1486,-3.77849668,negative,9
0,taam_prev=tevir,1,464,-3.71463043,negative,10
0,taam_current=darga,0,173,-3.42479551,negative,11
0,taam_prev=darga,0,173,-3.42479551,negative,12
0,taam_current=geresh,0,169,-3.40153864,negative,13
0,taam_current=pashta+pashta,0,163,-3.36560663,negative,14
0,taam_current=meteg+pashta,0,77,-2.62244903,negative,15
0,taam_next=geresh,1,155,-2.62244903,negative,16
0,taam_current=yetiv,0,70,-2.52842008,negative,17
0,taam_current=gershayim,0,64,-2.44012748,negative,18
0,taam_current=telisha_qetana,0,64,-2.44012748,negative,19
0,taam_prev=telisha_qetana,0,64,-2.44012748,negative,20
0,taam_current=segol,0,55,-2.2910919,negative,21
0,taam_current=zinor,0,52,-2.23603212,negative,22
0,taam_prev=zinor,0,52,-2.23603212,negative,23
0,taam_current=meteg+tipeha,0,51,-2.21698393,negative,24
0,taam_prev=telisha_gedola,0,36,-1.87665812,negative,25
0,taam_prev=qadma,8,304,-1.78882741,negative,26
0,has_visible_taam=1,249,8103,-1.74439233,negative,27
0,taam_next=segol,1,55,-1.59794472,negative,28
0,taam_prev=meteg+tipeha,0,27,-1.59794472,negative,29
0,taam_current=qadma,12,300,-1.40790111,negative,30
0,taam_current=pazer,0,21,-1.35678266,negative,31
0,taam_next=meteg+meteg,0,21,-1.35678266,negative,32
0,taam_prev=pazer,0,21,-1.35678266,negative,33
0,taam_next=meteg,56,1238,-1.34474882,negative,34
0,taam_prev=meteg+merkha,0,19,-1.26147248,negative,35
0,taam_current=telisha_gedola,1,35,-1.15611196,negative,36
0,taam_current=meteg+munah,0,16,-1.09895355,negative,37
0,taam_current=meteg+tevir,0,16,-1.09895355,negative,38
0,taam_prev=meteg+tevir,0,16,-1.09895355,negative,39
0,taam_next=zinor,2,44,-0.97379041,negative,40
0,taam_next=NONE,250,3433,-0.88176831,negative,41
0,taam_current=munah,111,1443,-0.82241365,negative,42
0,taam_prev=meteg,108,1257,-0.71167076,negative,43
0,prev_major=1,156,1717,-0.6584105,negative,44
0,taam_current=meteg+merkha,1,20,-0.61711546,negative,45
0,taam_current=meteg+gershayim,0,9,-0.5683253,negative,46
0,taam_current=meteg+mahapakh,0,9,-0.5683253,negative,47
0,taam_prev=meteg+gershayim,0,9,-0.5683253,negative,48
0,taam_prev=meteg+mahapakh,0,9,-0.5683253,negative,49
0,taam_next=munah,117,1145,-0.53908848,negative,50
0,taam_current=qadma+geresh,0,8,-0.46296478,negative,51
0,taam_prev=qadma+geresh,0,8,-0.46296478,negative,52
0,taam_prev=NONE,393,3291,-0.38863986,negative,53
0,taam_next=pazer,0,7,-0.34518175,negative,54
0,taam_prev=gershayim,7,57,-0.24674168,negative,55
0,taam_current=meteg+geresh,0,6,-0.21165036,negative,56
0,taam_next=meteg+geresh,0,6,-0.21165036,negative,57
0,taam_next=meteg+gershayim,0,6,-0.21165036,negative,58
0,taam_next=telisha_qetana,4,34,-0.21165036,negative,59
0,taam_prev=yetiv,8,62,-0.21165036,negative,60
0,taam_next=meteg+munah,1,10,0.0295117,negative,61
0,taam_prev=meteg+meteg,3,20,0.07603172,negative,62
0,prev_major=0,1541,8022,0.08502765,negative,63
0,taam_current=merkha+munah,0,4,0.12482188,negative,64
0,taam_current=meteg+pashta+pashta,0,4,0.12482188,negative,65
0,taam_current=meteg+zinor,0,4,0.12482188,negative,66
