fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,46,3,4.19906899,positive,1
0,taam_prev=munah,802,355,2.54863973,positive,2
0,taam_current=tipeha+munah,1,0,2.42836293,positive,3
0,taam_next=darga+meteg,1,0,2.42836293,positive,4
0,taam_next=mahapakh+qadma,1,0,2.42836293,positive,5
0,taam_next=qadma+geresh,3,1,2.42836293,positive,6
0,taam_next=tipeha+pashta,1,0,2.42836293,positive,7
0,taam_prev=START,1,0,2.42836293,positive,8
0,taam_prev=merkha+munah,3,1,2.42836293,positive,9
0,taam_prev=meteg+geresh+pashta,1,0,2.42836293,positive,10
0,taam_prev=munah+meteg,1,0,2.42836293,positive,11
0,taam_prev=pazer+geresh,1,0,2.42836293,positive,12
0,taam_prev=meteg+geresh,4,2,2.24604137,positive,13
0,taam_prev=meteg+munah,9,7,1.9583593,positive,14
0,taam_next=meteg+merkha,6,5,1.88936643,positive,15
0,taam_next=meteg+mahapakh,3,3,1.73521575,positive,16
0,taam_next=meteg+qadma,1,1,1.73521575,positive,17
0,taam_next=meteg+tipeha,23,24,1.69439375,positive,18
0,has_visible_taam=0,1448,1636,1.61322411,positive,19
0,taam_current=NONE,1448,1636,1.61322411,positive,20
0,pos_dist_combo=9_5,7,9,1.5120722,positive,21
0,pos_dist_combo=8_4,19,26,1.43511115,positive,22
0,taam_next=meteg+tevir,4,6,1.39874351,positive,23
0,taam_next=telisha_gedola,9,13,1.39874351,positive,24
0,taam_prev=meteg+pashta,31,46,1.35080405,positive,25
0,taam_next=merkha+munah,1,2,1.32975064,positive,26
0,taam_next=meteg+zinor,1,2,1.32975064,positive,27
0,pos_dist_combo=10+_9,4,7,1.26521212,positive,28
0,pos_dist_combo=4_4,50,82,1.24820077,positive,29
0,pos_dist_combo=3_3,78,130,1.22946628,positive,30
0,taam_prev=pashta+pashta,61,102,1.22762114,positive,31
0,pos_dist_combo=10+_5,20,34,1.22439012,positive,32
0,taam_next=darga,41,73,1.16882027,positive,33
0,pos_dist_combo=9_3,16,29,1.16723171,positive,34
0,pos_dist_combo=2_3,74,140,1.10394397,positive,35
0,pos_dist_combo=8_5,12,24,1.08128928,positive,36
0,pos_dist_combo=4_3,55,110,1.05103724,positive,37
0,pos_dist_combo=10+_7,7,15,1.04206857,positive,38
0,pos_dist_combo=5_9,5,11,1.04206857,positive,39
0,pos_dist_combo=6_3,37,75,1.04206857,positive,40
0,taam_current=darga+meteg,0,1,1.04206857,positive,41
0,taam_current=mahapakh+qadma,0,1,1.04206857,positive,42
0,taam_current=merkha+mahapakh,0,1,1.04206857,positive,43
0,taam_current=merkha+tipeha,0,1,1.04206857,positive,44
0,taam_current=merkha_kefula,0,1,1.04206857,positive,45
0,taam_current=meteg+geresh+pashta,0,1,1.04206857,positive,46
0,taam_current=meteg+telisha_gedola,0,1,1.04206857,positive,47
0,taam_current=meteg+tipeha+pashta,0,1,1.04206857,positive,48
0,taam_current=munah+qadma,0,1,1.04206857,positive,49
0,taam_current=pazer+geresh,0,1,1.04206857,positive,50
0,taam_current=tipeha+pashta,0,1,1.04206857,positive,51
0,taam_current=tipeha+pashta+pashta,0,1,1.04206857,positive,52
0,taam_current=tipeha+zinor,0,1,1.04206857,positive,53
0,taam_next=merkha_kefula,0,1,1.04206857,positive,54
0,taam_next=meteg+darga,0,1,1.04206857,positive,55
0,taam_next=meteg+geresh+pashta,0,1,1.04206857,positive,56
