fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,44,1,4.80357959,positive,1
0,taam_prev=munah+meteg,4,0,3.29950219,positive,2
0,taam_next=meteg+pashta+pashta,3,0,3.07635864,positive,3
0,taam_prev=munah,1018,395,2.6352271,positive,4
0,taam_prev=meteg+munah,21,9,2.47852164,positive,5
0,taam_next=munah+pazer,1,0,2.38321146,positive,6
0,taam_next=qadma+geresh,1,0,2.38321146,positive,7
0,taam_next=telisha_qetana+telisha_qetana,1,0,2.38321146,positive,8
0,taam_prev=munah+munah,1,0,2.38321146,positive,9
0,taam_next=merkha+meteg,1,1,1.69006428,positive,10
0,taam_next=meteg+darga,1,1,1.69006428,positive,11
0,taam_next=meteg+pazer,1,1,1.69006428,positive,12
0,taam_next=meteg+gershayim,1,2,1.28459917,positive,13
0,taam_next=meteg+mahapakh,5,8,1.28459917,positive,14
0,taam_next=meteg+qadma,1,2,1.28459917,positive,15
0,taam_next=meteg+merkha,8,13,1.24823152,positive,16
0,taam_next=meteg+pashta,31,50,1.22397455,positive,17
0,taam_next=meteg+tipeha,27,45,1.19362739,positive,18
0,taam_next=mahapakh,138,245,1.11920667,positive,19
0,taam_prev=pashta,269,519,1.03465742,positive,20
0,taam_next=darga+meteg,0,1,0.9969171,positive,21
0,taam_next=merkha_kefula,0,1,0.9969171,positive,22
0,taam_next=meteg+telisha_gedola,0,1,0.9969171,positive,23
0,taam_next=tipeha+pashta,0,1,0.9969171,positive,24
0,taam_prev=START,0,1,0.9969171,positive,25
0,taam_prev=darga+meteg,0,1,0.9969171,positive,26
0,taam_prev=merkha+meteg,0,1,0.9969171,positive,27
0,taam_prev=merkha_kefula,0,1,0.9969171,positive,28
0,taam_prev=meteg+geresh,2,5,0.9969171,positive,29
0,taam_prev=munah+pazer,0,1,0.9969171,positive,30
0,taam_prev=telisha_qetana+telisha_qetana,0,1,0.9969171,positive,31
0,taam_prev=tipeha+pashta,0,1,0.9969171,positive,32
0,taam_prev=pashta+pashta,69,146,0.94812693,positive,33
0,taam_next=merkha,471,1047,0.8924044,positive,34
0,taam_prev=segol,15,39,0.77377354,positive,35
0,taam_next=qadma,55,140,0.76665608,positive,36
0,taam_prev=geresh,51,136,0.72132707,positive,37
0,taam_next=darga,33,99,0.61125461,positive,38
0,taam_next=mahapakh+meteg,0,2,0.59145199,positive,39
0,taam_next=meteg+zinor,0,2,0.59145199,positive,40
0,taam_prev=mahapakh+meteg,0,2,0.59145199,positive,41
0,taam_prev=meteg+telisha_gedola,0,2,0.59145199,positive,42
0,taam_prev=meteg+telisha_qetana,0,2,0.59145199,positive,43
0,taam_prev=meteg+zinor,0,2,0.59145199,positive,44
0,taam_next=tipeha,485,1578,0.51172589,positive,45
0,taam_next=meteg+tevir,2,9,0.48609147,positive,46
