fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,has_visible_taam=0,1921,1954,1.67294747,positive,1
0,taam_current=NONE,1921,1954,1.67294747,positive,2
0,taam_current=darga+meteg,0,1,0.99682417,positive,3
0,taam_current=merkha_kefula,0,1,0.99682417,positive,4
0,taam_current=munah+munah,0,1,0.99682417,positive,5
0,taam_current=munah+pazer,0,1,0.99682417,positive,6
0,taam_current=telisha_qetana+telisha_qetana,0,1,0.99682417,positive,7
0,taam_current=tipeha+pashta,0,1,0.99682417,positive,8
0,taam_current=mahapakh+meteg,0,2,0.59135906,positive,9
0,taam_current=merkha+meteg,0,2,0.59135906,positive,10
0,taam_current=meteg+telisha_gedola,0,2,0.59135906,positive,11
0,taam_current=meteg+telisha_qetana,0,2,0.59135906,positive,12
0,taam_current=meteg+zinor,0,2,0.59135906,positive,13
0,taam_current=meteg,111,381,0.46304961,positive,14
0,taam_current=meteg+darga,0,3,0.30367699,positive,15
0,taam_current=meteg+pazer,0,3,0.30367699,positive,16
0,taam_current=meteg+segol,0,3,0.30367699,positive,17
0,taam_current=qadma+geresh,0,3,0.30367699,positive,18
0,taam_current=meteg+pashta+pashta,0,5,-0.10178812,positive,19
0,taam_current=meteg+qadma,0,5,-0.10178812,positive,20
0,taam_current=munah+meteg,0,6,-0.2559388,positive,21
0,taam_current=meteg+geresh,0,7,-0.38947019,positive,22
0,taam_current=meteg+meteg,0,9,-0.61261374,positive,23
0,taam_current=meteg+gershayim,0,10,-0.70792392,positive,24
0,taam_current=meteg+munah,1,30,-1.05086868,positive,25
0,taam_current=munah,107,1746,-1.09355273,positive,26
0,taam_current=meteg+mahapakh,0,18,-1.25446763,positive,27
0,taam_current=meteg+tevir,0,18,-1.25446763,positive,28
0,taam_current=qadma,15,348,-1.39251185,positive,29
0,taam_current=pazer,0,22,-1.44552287,positive,30
0,taam_current=darga,7,193,-1.49844527,positive,31
0,taam_current=meteg+merkha,0,36,-1.92094656,positive,32
0,has_visible_taam=1,249,9912,-1.99017004,positive,33
0,taam_current=telisha_gedola,0,43,-2.09421829,positive,34
0,taam_current=segol,0,54,-2.31736184,positive,35
0,taam_current=zinor,0,56,-2.35307992,positive,36
0,taam_current=yetiv,0,71,-2.58669477,positive,37
0,taam_current=telisha_qetana,0,75,-2.64076199,positive,38
0,taam_current=gershayim,0,81,-2.7167479,positive,39
0,taam_current=meteg+tipeha,0,92,-2.84262814,positive,40
0,taam_current=meteg+pashta,0,116,-3.07220259,positive,41
0,taam_current=mahapakh,4,618,-3.12869601,positive,42
0,taam_current=geresh,0,187,-3.54647061,positive,43
0,taam_current=pashta+pashta,0,215,-3.68530706,positive,44
0,taam_current=pashta,1,787,-4.28637956,positive,45
0,taam_current=merkha,3,1888,-4.46753716,positive,46
0,taam_current=tevir,0,486,-4.49829277,positive,47
0,taam_current=tipeha,0,2281,-6.04283618,positive,48
1,has_visible_taam=0,1975,1987,1.66595774,positive,1
1,taam_current=NONE,1975,1987,1.66595774,positive,2
1,taam_current=darga+meteg,0,1,0.97886507,positive,3
1,taam_current=merkha_kefula,0,1,0.97886507,positive,4
1,taam_current=meteg+telisha_qetana,0,1,0.97886507,positive,5
1,taam_current=meteg+zarqa,0,1,0.97886507,positive,6
1,taam_current=munah+munah,0,1,0.97886507,positive,7
1,taam_current=munah+pazer,0,1,0.97886507,positive,8
1,taam_current=qadma+geresh,0,1,0.97886507,positive,9
1,taam_current=qadma+meteg,0,1,0.97886507,positive,10
1,taam_current=telisha_qetana+telisha_qetana,0,1,0.97886507,positive,11
1,taam_current=tipeha+pashta,0,1,0.97886507,positive,12
1,taam_current=zarqa,0,1,0.97886507,positive,13
1,taam_current=mahapakh+meteg,0,2,0.57339996,positive,14
1,taam_current=meteg+segol,0,2,0.57339996,positive,15
1,taam_current=meteg+telisha_gedola,0,2,0.57339996,positive,16
1,taam_current=meteg+zinor,0,2,0.57339996,positive,17
1,taam_current=meteg,107,373,0.42988768,positive,18
1,taam_current=meteg+pazer,0,3,0.28571789,positive,19
1,taam_current=merkha+meteg,0,4,0.06257434,positive,20
1,taam_current=meteg+darga,0,4,0.06257434,positive,21
1,taam_current=munah+meteg,0,5,-0.11974722,positive,22
1,taam_current=meteg+pashta+pashta,0,6,-0.2738979,positive,23
1,taam_current=meteg+qadma,0,6,-0.2738979,positive,24
1,taam_current=meteg+meteg,0,7,-0.40742929,positive,25
1,taam_current=meteg+geresh,0,10,-0.72588302,positive,26
1,taam_current=meteg+gershayim,0,13,-0.96704508,positive,27
1,taam_current=meteg+tevir,0,14,-1.03603795,positive,28
1,taam_current=meteg+munah,1,31,-1.10057647,positive,29
1,taam_current=munah,109,1780,-1.11243767,positive,30
1,taam_current=meteg+mahapakh,0,18,-1.27242673,positive,31
1,taam_current=pazer,0,20,-1.37251019,positive,32
1,taam_current=darga,7,186,-1.47965483,positive,33
1,taam_current=qadma,12,336,-1.58312132,positive,34
1,taam_current=meteg+merkha,0,33,-1.85434828,positive,35
1,taam_current=telisha_gedola,0,34,-1.88333581,positive,36
1,has_visible_taam=1,245,9940,-2.02707911,positive,37
1,taam_current=zinor,0,55,-2.35333944,positive,38
1,taam_current=segol,0,56,-2.37103902,positive,39
1,taam_current=yetiv,0,62,-2.47112248,positive,40
1,taam_current=telisha_qetana,0,66,-2.53268037,positive,41
1,taam_current=gershayim,0,78,-2.6974356,positive,42
1,taam_current=meteg+tipeha,0,97,-2.91295523,positive,43
1,taam_current=mahapakh,5,634,-2.98985328,positive,44
1,taam_current=meteg+pashta,0,121,-3.1320088,positive,45
1,taam_current=geresh,0,173,-3.48704305,positive,46
1,taam_current=pashta+pashta,0,201,-3.63625545,positive,47
1,taam_current=pashta,1,835,-4.36346918,positive,48
1,taam_current=merkha,3,1896,-4.48972236,positive,49
1,taam_current=tevir,0,481,-4.50593187,positive,50
1,taam_current=tipeha,0,2283,-6.06167132,positive,51
2,has_visible_taam=0,1928,1974,1.66278187,positive,1
2,taam_current=NONE,1928,1974,1.66278187,positive,2
2,taam_current=darga+meteg,0,1,0.99320136,positive,3
2,taam_current=merkha_kefula,0,1,0.99320136,positive,4
2,taam_current=meteg+telisha_gedola,0,1,0.99320136,positive,5
2,taam_current=meteg+zarqa,0,1,0.99320136,positive,6
2,taam_current=munah+pazer,0,1,0.99320136,positive,7
2,taam_current=qadma+meteg,0,1,0.99320136,positive,8
2,taam_current=telisha_qetana+telisha_qetana,0,1,0.99320136,positive,9
2,taam_current=zarqa,0,1,0.99320136,positive,10
2,taam_current=meteg+darga,0,2,0.58773625,positive,11
2,taam_current=meteg+pazer,0,2,0.58773625,positive,12
2,taam_current=meteg+telisha_qetana,0,2,0.58773625,positive,13
2,taam_current=meteg+zinor,0,2,0.58773625,positive,14
2,taam_current=meteg,112,369,0.50023335,positive,15
2,taam_current=meteg+segol,0,3,0.30005418,positive,16
2,taam_current=qadma+geresh,0,3,0.30005418,positive,17
2,taam_current=merkha+meteg,0,4,0.07691063,positive,18
2,taam_current=munah+meteg,0,5,-0.10541093,positive,19
2,taam_current=meteg+qadma,0,6,-0.25956161,positive,20
2,taam_current=meteg+meteg,0,7,-0.393093,positive,21
2,taam_current=meteg+pashta+pashta,0,7,-0.393093,positive,22
2,taam_current=meteg+geresh,0,10,-0.71154673,positive,23
2,taam_current=meteg+gershayim,0,12,-0.87860082,positive,24
2,taam_current=munah,113,1773,-1.05844518,positive,25
2,taam_current=meteg+munah,1,34,-1.17585234,positive,26
2,taam_current=meteg+mahapakh,0,17,-1.20402322,positive,27
2,taam_current=meteg+tevir,0,20,-1.3581739,positive,28
2,taam_current=qadma,14,343,-1.44624292,positive,29
2,taam_current=pazer,0,22,-1.44914568,positive,30
2,taam_current=darga,7,200,-1.53751483,positive,31
2,taam_current=meteg+merkha,0,33,-1.84001199,positive,32
2,has_visible_taam=1,252,9903,-1.98095597,positive,33
2,taam_current=telisha_gedola,0,44,-2.12031395,positive,34
2,taam_current=zinor,0,53,-2.30263551,positive,35
2,taam_current=segol,0,54,-2.32098465,positive,36
2,taam_current=yetiv,0,58,-2.3911889,positive,37
2,taam_current=telisha_qetana,0,71,-2.59031758,positive,38
2,taam_current=gershayim,0,82,-2.73249207,positive,39
2,taam_current=meteg+tipeha,0,88,-2.80228783,positive,40
2,taam_current=meteg+pashta,0,118,-3.09277495,positive,41
2,taam_current=mahapakh,3,603,-3.3309313,positive,42
2,taam_current=geresh,0,178,-3.50103727,positive,43
2,taam_current=pashta+pashta,0,227,-3.74299709,positive,44
2,taam_current=tevir,0,479,-4.48743756,positive,45
2,taam_current=merkha,2,1892,-4.76095732,positive,46
2,taam_current=pashta,0,785,-4.98060825,positive,47
2,taam_current=tipeha,0,2287,-6.04908481,positive,48
3,has_visible_taam=0,1940,1983,1.65474173,positive,1
3,taam_current=NONE,1940,1983,1.65474173,positive,2
3,taam_current=darga+meteg,0,1,0.98350625,positive,3
3,taam_current=merkha_kefula,0,1,0.98350625,positive,4
3,taam_current=meteg+telisha_qetana,0,1,0.98350625,positive,5
3,taam_current=meteg+zarqa,0,1,0.98350625,positive,6
3,taam_current=munah+munah,0,1,0.98350625,positive,7
3,taam_current=qadma+meteg,0,1,0.98350625,positive,8
3,taam_current=tipeha+pashta,0,1,0.98350625,positive,9
3,taam_current=zarqa,0,1,0.98350625,positive,10
3,taam_current=mahapakh+meteg,0,2,0.57804115,positive,11
3,taam_current=merkha+meteg,0,2,0.57804115,positive,12
3,taam_current=meteg+pazer,0,2,0.57804115,positive,13
3,taam_current=meteg+telisha_gedola,0,2,0.57804115,positive,14
3,taam_current=meteg,104,368,0.41981714,positive,15
3,taam_current=meteg+darga,0,3,0.29035907,positive,16
3,taam_current=meteg+segol,0,3,0.29035907,positive,17
3,taam_current=qadma+geresh,0,3,0.29035907,positive,18
3,taam_current=meteg+meteg,0,5,-0.11510604,positive,19
3,taam_current=meteg+pashta+pashta,0,5,-0.11510604,positive,20
3,taam_current=meteg+qadma,0,5,-0.11510604,positive,21
3,taam_current=munah+meteg,0,6,-0.26925671,positive,22
3,taam_current=meteg+geresh,0,10,-0.72124184,positive,23
3,taam_current=meteg+gershayim,0,13,-0.9624039,positive,24
3,taam_current=munah,117,1770,-1.03196158,positive,25
3,taam_current=meteg+mahapakh,0,15,-1.09593529,positive,26
3,taam_current=pazer,0,19,-1.31907884,positive,27
3,taam_current=qadma,15,340,-1.38264032,positive,28
3,taam_current=meteg+tevir,0,22,-1.45884078,positive,29
3,taam_current=darga,7,193,-1.51176318,positive,30
