fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,44,1,4.80354861,positive,1
0,taam_prev=munah+meteg,4,0,3.29947121,positive,2
0,taam_next=meteg+pashta+pashta,3,0,3.07632766,positive,3
0,taam_prev=munah,1018,395,2.63519612,positive,4
0,taam_prev=meteg+munah,21,9,2.47849066,positive,5
0,taam_next=munah+pazer,1,0,2.38318048,positive,6
0,taam_next=qadma+geresh,1,0,2.38318048,positive,7
0,taam_next=telisha_qetana+telisha_qetana,1,0,2.38318048,positive,8
0,taam_prev=munah+munah,1,0,2.38318048,positive,9
0,taam_next=merkha+meteg,1,1,1.6900333,positive,10
0,taam_next=meteg+darga,1,1,1.6900333,positive,11
0,taam_next=meteg+pazer,1,1,1.6900333,positive,12
0,has_visible_taam=0,1921,1954,1.67300942,positive,13
0,taam_current=NONE,1921,1954,1.67300942,positive,14
0,taam_next=meteg+gershayim,1,2,1.28456819,positive,15
0,taam_next=meteg+mahapakh,5,8,1.28456819,positive,16
0,taam_next=meteg+qadma,1,2,1.28456819,positive,17
0,taam_next=meteg+merkha,8,13,1.24820055,positive,18
0,taam_next=meteg+pashta,31,50,1.22394357,positive,19
0,taam_next=meteg+tipeha,27,45,1.19359641,positive,20
0,taam_next=mahapakh,138,245,1.1191757,positive,21
0,taam_prev=pashta,269,519,1.03462645,positive,22
0,taam_current=darga+meteg,0,1,0.99688612,positive,23
0,taam_current=merkha_kefula,0,1,0.99688612,positive,24
0,taam_current=munah+munah,0,1,0.99688612,positive,25
0,taam_current=munah+pazer,0,1,0.99688612,positive,26
0,taam_current=telisha_qetana+telisha_qetana,0,1,0.99688612,positive,27
0,taam_current=tipeha+pashta,0,1,0.99688612,positive,28
0,taam_next=darga+meteg,0,1,0.99688612,positive,29
0,taam_next=merkha_kefula,0,1,0.99688612,positive,30
0,taam_next=meteg+telisha_gedola,0,1,0.99688612,positive,31
0,taam_next=tipeha+pashta,0,1,0.99688612,positive,32
0,taam_prev=START,0,1,0.99688612,positive,33
0,taam_prev=darga+meteg,0,1,0.99688612,positive,34
0,taam_prev=merkha+meteg,0,1,0.99688612,positive,35
0,taam_prev=merkha_kefula,0,1,0.99688612,positive,36
0,taam_prev=meteg+geresh,2,5,0.99688612,positive,37
0,taam_prev=munah+pazer,0,1,0.99688612,positive,38
0,taam_prev=telisha_qetana+telisha_qetana,0,1,0.99688612,positive,39
0,taam_prev=tipeha+pashta,0,1,0.99688612,positive,40
0,taam_prev=pashta+pashta,69,146,0.94809595,positive,41
0,taam_next=merkha,471,1047,0.89237342,positive,42
0,taam_prev=segol,15,39,0.77374257,positive,43
0,taam_next=qadma,55,140,0.7666251,positive,44
0,taam_prev=geresh,51,136,0.72129609,positive,45
0,taam_next=darga,33,99,0.61122364,positive,46
0,taam_current=mahapakh+meteg,0,2,0.59142101,positive,47
0,taam_current=merkha+meteg,0,2,0.59142101,positive,48
0,taam_current=meteg+telisha_gedola,0,2,0.59142101,positive,49
0,taam_current=meteg+telisha_qetana,0,2,0.59142101,positive,50
0,taam_current=meteg+zinor,0,2,0.59142101,positive,51
0,taam_next=mahapakh+meteg,0,2,0.59142101,positive,52
0,taam_next=meteg+zinor,0,2,0.59142101,positive,53
0,taam_prev=mahapakh+meteg,0,2,0.59142101,positive,54
0,taam_prev=meteg+telisha_gedola,0,2,0.59142101,positive,55
0,taam_prev=meteg+telisha_qetana,0,2,0.59142101,positive,56
0,taam_prev=meteg+zinor,0,2,0.59142101,positive,57
0,taam_next=tipeha,485,1578,0.51169491,positive,58
0,taam_next=meteg+tevir,2,9,0.48606049,positive,59
0,taam_next=telisha_qetana,8,29,0.48606049,positive,60
0,taam_next=tevir,98,332,0.47701066,positive,61
0,taam_current=meteg,111,381,0.46311156,positive,62
0,taam_prev=meteg+pashta,25,91,0.42634126,positive,63
0,taam_current=meteg+darga,0,3,0.30373894,positive,64
0,taam_current=meteg+pazer,0,3,0.30373894,positive,65
0,taam_current=meteg+segol,0,3,0.30373894,positive,66
0,taam_current=qadma+geresh,0,3,0.30373894,positive,67
0,taam_next=meteg+segol,0,3,0.30373894,positive,68
0,taam_next=pashta+pashta,31,127,0.30373894,positive,69
0,taam_next=pazer,1,7,0.30373894,positive,70
0,taam_prev=meteg+darga,0,3,0.30373894,positive,71
0,taam_prev=meteg+pazer,0,3,0.30373894,positive,72
0,taam_prev=meteg+segol,0,3,0.30373894,positive,73
0,taam_prev=qadma+geresh,0,3,0.30373894,positive,74
0,taam_next=zinor,9,40,0.27904633,positive,75
0,next_major=0,2166,9490,0.21303304,positive,76
0,taam_next=gershayim,7,35,0.1859559,positive,77
