fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,20,0,4.88710996,positive,1
0,taam_current=qadma+merkha,1,0,2.53573471,positive,2
0,taam_next=telisha_gedola+gershayim,1,0,2.53573471,positive,3
0,taam_prev=munah,531,280,2.48087635,positive,4
0,taam_next=meteg+tevir,3,2,2.1302696,positive,5
0,taam_next=qadma+geresh,1,1,1.84258753,positive,6
0,taam_prev=qadma+geresh,1,1,1.84258753,positive,7
0,pos_dist_combo=5_3,43,55,1.60142547,positive,8
0,taam_prev=meteg+geresh,2,3,1.55490545,positive,9
0,has_visible_taam=0,972,1299,1.55285206,positive,10
0,taam_current=NONE,972,1299,1.55285206,positive,11
0,pos_dist_combo=9_3,12,20,1.36301445,positive,12
0,pos_dist_combo=6_8,6,11,1.30359103,positive,13
0,pos_dist_combo=9_5,6,11,1.30359103,positive,14
0,pos_dist_combo=7_3,23,44,1.21397887,positive,15
0,pos_dist_combo=10+_4,24,46,1.21131575,positive,16
0,taam_prev=meteg+pashta,18,36,1.17610859,positive,17
0,pos_dist_combo=3_4,32,64,1.16470782,positive,18
0,pos_dist_combo=8_9,2,5,1.14944035,positive,19
0,taam_current=geresh_muqdam,0,1,1.14944035,positive,20
0,taam_current=mahapakh+tipeha,0,1,1.14944035,positive,21
0,taam_current=merkha+meteg,0,1,1.14944035,positive,22
0,taam_current=merkha+tipeha,0,1,1.14944035,positive,23
0,taam_current=meteg+meteg+pashta,0,1,1.14944035,positive,24
0,taam_current=meteg+telisha_qetana,0,1,1.14944035,positive,25
0,taam_current=munah+meteg,0,1,1.14944035,positive,26
0,taam_current=qadma+mahapakh,0,1,1.14944035,positive,27
0,taam_current=telisha_gedola+gershayim,0,1,1.14944035,positive,28
0,taam_next=geresh_muqdam,0,1,1.14944035,positive,29
0,taam_next=mahapakh+tipeha,0,1,1.14944035,positive,30
0,taam_next=merkha+meteg,0,1,1.14944035,positive,31
0,taam_next=merkha+tipeha,0,1,1.14944035,positive,32
0,taam_next=meteg+gershayim,0,1,1.14944035,positive,33
0,taam_next=meteg+meteg+meteg,0,1,1.14944035,positive,34
0,taam_next=meteg+meteg+pashta,0,1,1.14944035,positive,35
0,taam_next=meteg+telisha_qetana,0,1,1.14944035,positive,36
0,taam_next=munah+meteg,0,1,1.14944035,positive,37
